date,RO,Alba County,Arad County,Argeș County,Bacău County,Bihor County,Bistrița-Năsăud County,Botoșani County,Brăila County,Brașov County,Bucharest,Buzău County,Călărași County,Caraș-Severin County,Cluj County,Constanța County,Covasna County,Dâmbovița County,Dolj County,Galați,Giurgiu County,Gorj County,Harghita County,Hunedoara County,Ialomița County,Iași County,Ilfov County,Maramureș County,Mehedinți County,Mureș County,Neamț County,Olt County,Prahova,Sălaj,Satu Mare County,Sibiu,Suceava County,Teleorman County,Timiș County,Tulcea County,Vâlcea County,Vaslui County,Vrancea County
2020-02-15,-1,-1,-2,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-2,-1,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,0,-1
2020-02-16,-2,-1,-2,-2,-1,-2,0,-1,-1,-1,-3,0,-2,-2,-3,-2,0,-1,-2,-1,-1,-1,0,-2,0,-4,-3,-1,0,-2,-1,-2,-1,0,-2,-2,-1,-1,-2,0,-1,-1,-1
2020-02-17,-1,-1,-2,-1,0,-1,-1,0,-1,-1,-2,0,0,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-2,-1,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-2,-1,0,0,0
2020-02-18,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-2,-1,-1,-1,-1,-1,0,-1,-2,-1,0,-1,0,-1,-1,-2,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-2,-1,-1,0,0
2020-02-19,-1,-1,0,0,-1,-1,0,-1,0,-1,-1,0,0,-1,-1,-2,-1,-1,-1,-2,-1,-1,0,-1,-1,-3,-1,-1,0,-1,-1,0,-1,-2,-1,-1,-1,-1,-2,-1,0,-3,0
2020-02-20,-1,-1,0,1,0,0,0,-1,0,-1,-1,0,0,0,-1,-1,0,0,0,-1,0,1,0,0,0,-2,-1,0,1,-1,0,1,0,1,-1,0,-1,2,-1,0,0,-1,0
2020-02-21,-3,-2,-2,-2,-2,-2,-3,-2,-1,-3,-2,-2,-3,0,-2,-2,-3,-2,-2,-3,-3,-1,-4,-2,-3,-4,-3,-2,-1,-3,-3,-2,-1,-3,-2,-2,-1,-2,-2,-3,-2,-2,-4
2020-02-22,-1,-1,-1,-1,-2,-2,-1,-1,-1,0,-1,-2,-1,-1,-2,-1,0,-1,-1,-2,-1,-3,0,-1,-1,-2,-1,0,-1,-1,-2,-1,-2,-1,-1,-1,-1,-1,-2,-2,-1,-2,-2
2020-02-23,-1,-1,-1,-1,0,0,0,-2,0,-1,-3,0,0,-2,-3,-1,0,0,-3,-1,-1,-1,0,-1,0,-3,-2,0,0,-1,0,-1,0,0,0,-2,-1,-1,-2,0,-1,-1,0
2020-02-24,-1,0,0,-1,0,-1,0,1,1,0,-1,0,0,-1,-1,0,1,-1,-1,0,-1,-1,0,0,0,-1,-1,0,-1,0,0,-1,0,0,0,0,1,0,-1,1,0,1,0
2020-02-25,-1,-2,-1,-1,0,-2,-1,0,0,-1,-1,0,-1,-1,-2,-1,-1,-1,-1,0,0,-1,-1,-1,0,-2,-1,0,-1,-1,-1,-1,-1,-1,-1,-2,0,-1,-2,0,-1,0,1
2020-02-26,-2,-1,1,-1,-1,0,-1,-1,0,-2,-2,0,-2,-1,-2,-2,-1,-2,-2,-2,-2,-2,0,-1,-1,-3,-2,1,-1,-1,-2,-2,-1,0,1,-2,-1,-2,-1,-1,-1,-3,0
2020-02-27,0,0,1,1,2,0,0,1,1,0,0,1,0,1,-1,0,0,-1,0,0,0,1,1,1,1,0,0,0,0,1,2,1,1,0,0,1,1,1,0,1,0,1,1
2020-02-28,-2,-2,0,-2,-2,-1,-3,-1,-1,-2,-1,-2,-3,1,-2,-2,-2,-2,-1,-2,-3,1,-3,-1,-3,-4,-2,-2,0,-3,-2,-1,-1,-3,-2,-2,0,-2,-1,-3,-2,-1,-3
2020-02-29,0,-1,0,0,0,0,0,-1,0,1,0,0,0,1,-1,-1,0,0,0,-1,-1,1,1,0,0,-1,0,0,1,-1,0,0,0,-1,0,0,0,0,0,-1,0,0,-1
2020-03-01,-2,-1,0,-2,0,0,-1,-1,-1,-2,-4,-1,-2,-1,-3,-2,0,-2,-3,-1,-2,-1,0,-1,-1,-2,-3,0,0,-1,0,-2,-1,0,0,-2,-1,-2,-1,0,-2,0,-1
2020-03-02,-1,0,0,-1,0,0,0,0,0,0,-1,0,0,-1,-2,-1,0,-1,-1,-1,-1,0,0,0,0,-1,-1,1,0,0,0,-1,0,0,1,-1,0,-1,0,0,0,0,0
2020-03-03,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,0,-2,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-2,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,0
2020-03-04,-1,-1,2,-1,-1,1,-1,-1,0,-2,-2,-1,-1,1,-1,-2,-2,-2,-1,-2,-2,0,0,0,-1,-3,-1,0,1,-1,-1,-1,-1,1,1,-1,-1,-2,1,-1,-1,-3,-2
2020-03-05,0,0,0,1,1,-1,0,0,0,-1,-1,1,-1,0,-1,-1,-1,0,-1,0,-1,1,1,0,-1,-1,-1,0,0,-1,0,0,1,-1,-1,0,0,0,-1,0,0,0,1
2020-03-06,-3,-3,-2,-3,-4,-3,-5,-2,-3,-4,-2,-3,-4,0,-4,-3,-4,-3,-3,-3,-5,-1,-4,-2,-4,-5,-4,-4,-1,-5,-3,-3,-2,-5,-4,-3,-1,-4,-2,-4,-3,-3,-4
