date,MZ
2020-02-15,4
2020-02-16,-1
2020-02-17,-3
2020-02-18,-7
2020-02-19,-7
2020-02-20,-5
2020-02-21,-5
2020-02-22,3
2020-02-23,-15
2020-02-24,-3
2020-02-25,-3
2020-02-26,-1
2020-02-27,1
2020-02-28,-3
2020-02-29,5
2020-03-01,1
2020-03-02,2
2020-03-03,-2
2020-03-04,0
2020-03-05,1
2020-03-06,1
2020-03-07,7
2020-03-08,0
2020-03-09,-1
2020-03-10,-4
2020-03-11,-4
2020-03-12,-3
2020-03-13,-5
2020-03-14,1
2020-03-15,-6
2020-03-16,-7
2020-03-17,-9
2020-03-18,-8
2020-03-19,-6
2020-03-20,-7
2020-03-21,-3
2020-03-22,-16
2020-03-23,-11
2020-03-24,-15
2020-03-25,-16
2020-03-26,-18
2020-03-27,-23
2020-03-28,-17
2020-03-29,-26
2020-03-30,-16
2020-03-31,-17
2020-04-01,-26
2020-04-02,-26
2020-04-03,-30
2020-04-04,-29
2020-04-05,-32
2020-04-06,-17
2020-04-07,-45
2020-04-08,-30
2020-04-09,-25
2020-04-10,-47
2020-04-11,-26
