date,PA
2020-02-15,5
2020-02-16,4
2020-02-17,5
2020-02-18,3
2020-02-19,4
2020-02-20,4
2020-02-21,2
2020-02-22,-13
2020-02-23,-9
2020-02-24,-64
2020-02-25,-73
2020-02-26,-34
2020-02-27,-2
2020-02-28,1
2020-02-29,5
2020-03-01,7
2020-03-02,6
2020-03-03,5
2020-03-04,7
2020-03-05,7
2020-03-06,9
2020-03-07,5
2020-03-08,4
2020-03-09,7
2020-03-10,4
2020-03-11,0
2020-03-12,-5
2020-03-13,-5
2020-03-14,-6
2020-03-15,-12
2020-03-16,-18
2020-03-17,-28
2020-03-18,-32
2020-03-19,-37
2020-03-20,-37
2020-03-21,-43
2020-03-22,-43
2020-03-23,-54
2020-03-24,-61
2020-03-25,-72
2020-03-26,-73
2020-03-27,-72
2020-03-28,-68
2020-03-29,-59
2020-03-30,-72
2020-03-31,-73
2020-04-01,-75
2020-04-02,-74
2020-04-03,-74
2020-04-04,-70
2020-04-05,-74
2020-04-06,-74
2020-04-07,-74
2020-04-08,-74
2020-04-09,-76
2020-04-10,-87
2020-04-11,-84
