date,MX,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Coahuila,Colima,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Mexico City,Michoacán,Morelos,Nayarit,Nuevo Leon,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosi,Sinaloa,Sonora,State of Mexico,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatan,Zacatecas
2020-02-15,6,7,7,11,9,5,6,10,6,4,0,4,5,9,6,2,3,1,10,1,6,5,8,4,3,7,6,9,7,9,5,5,1
2020-02-16,7,9,11,8,11,5,8,11,7,2,0,4,8,6,9,5,3,3,10,3,7,7,5,8,4,6,7,9,8,6,8,2,4
2020-02-17,2,1,7,4,6,0,6,4,1,-3,-4,-2,1,1,2,0,-1,1,4,-1,2,1,3,-1,0,4,1,7,3,1,1,2,-3
2020-02-18,0,0,0,3,5,-2,2,-2,-2,-3,-2,-1,0,0,1,1,-1,-2,2,-1,-2,-1,0,-1,1,3,1,2,-1,-1,-2,-1,-6
2020-02-19,0,-1,1,2,5,-3,-1,-2,-2,0,-6,-1,-1,1,0,0,-1,-1,-1,-2,0,0,0,-1,0,1,1,0,0,2,0,0,-4
2020-02-20,0,-1,0,3,7,-3,-1,-6,-2,2,-4,-3,0,1,0,-1,-1,0,-6,-3,0,0,0,-1,4,1,1,2,-5,4,-1,1,-1
2020-02-21,-2,-2,3,3,6,-7,-3,-7,-5,-3,-6,-5,-3,2,0,-5,-1,-5,-5,-5,-1,-2,-1,-7,0,0,0,-3,-2,-1,-7,-4,-6
2020-02-22,0,0,-2,8,14,-6,2,2,-1,-1,-5,-3,-1,1,3,-3,2,-5,3,-5,0,-1,4,-1,3,1,-2,-4,0,3,-3,-2,-1
2020-02-23,2,0,4,10,23,-3,2,2,-1,-5,-6,-3,1,0,6,-1,4,-4,5,-5,1,3,4,1,10,3,-2,1,3,2,6,-2,-2
2020-02-24,-2,-4,-1,4,9,-8,0,-1,-3,-8,-7,-3,-3,-3,-1,-5,-3,-4,0,-5,-1,-3,4,-4,5,-3,-4,0,-1,0,-1,2,-7
2020-02-25,-2,-4,-1,3,-2,-6,-2,-2,-6,-5,-7,-4,-2,-3,0,-2,0,-4,1,-4,-4,-3,2,-5,3,0,-3,-1,-3,1,-5,-1,-9
2020-02-26,-3,-7,0,1,-9,-6,-4,-4,-6,-2,-7,-1,-4,-2,-1,-3,0,-1,-1,-6,-4,-3,-5,-5,-1,-1,-1,-8,-5,-1,-19,-7,-9
