date,total,Alberta,British Columbia,Manitoba,New Brunswick,Nova Scotia,Ontario,Prince Edward Island,Quebec,Saskatchewan
2020-02-29,6.750569094523336,5.015433484523519,3.1690288406207503,7.4655276849337575,1.2088068311136975,3.6295441658044822,7.9335765844955635,1.023965703618665,3.39321629452872,4.877988633140969
2020-03-01,5.5291453246963975,3.992380132988484,1.5284001641289153,3.332790685288936,5.668854204819027,17.659128345164117,6.03467950661897,-1.5563519498930587,4.967172319754559,2.1382963871302882
2020-03-02,-0.9983179058479608,5.184674652342512,2.2540811381366086,3.4102974454119344,-16.662009598462678,3.4521385615464104,3.813201028595998,2.617328462076254,-13.869711948184763,2.2709853147245336
2020-03-03,-0.12206154152473041,5.410012611741957,4.627048412250886,3.683963289796843,-15.725973905011218,2.876297419856276,4.440068167387916,0.5826829861184989,-13.371467530253963,3.264720376779279
2020-03-04,-0.8552391452527469,5.289261890882338,2.26929856354175,3.3136532136536276,-17.92154229026444,1.2020926190164416,3.548395401610165,NA,-14.218101244247487,3.4527759072545763
2020-03-05,-2.0669626601240774,4.4249909833123136,2.3187551961084605,3.247628936511814,-17.264977376452883,5.013889536736319,0.38228303241227557,-2.3259869690170043,-14.205692858360319,2.823696746933657
2020-03-06,-1.0734948817539205,5.867344082084291,4.328406438674981,2.4850006918447796,-17.263063193030693,7.3036820900563475,3.0938926527472077,-5.181513199034208,-14.710618714845747,2.6890986261366168
2020-03-07,5.739317515401232,2.69549837509463,1.923102135574777,6.389044905447667,-1.7591345649936472,-1.9049290293284742,8.55370321641875,-2.0488804023287277,1.6235895687745014,2.2509387860951873
2020-03-08,4.070065308457071,1.5070070280511425,0.32622355712272433,1.508032764862292,5.531032998421265,19.097761769857986,4.759760778876267,13.232787554456593,3.489619907959775,2.495315516052934
2020-03-09,1.9982525208551893,3.860219895197248,1.3039431394030758,2.775890260701465,0.6288092541897857,2.1657055732925246,2.9841186837421714,1.4092577107263369,-0.8714504857678541,-0.8648645208660897
2020-03-10,1.2820503632994864,3.837400861334013,2.624054793299115,3.981550973725886,-10.114545202857922,0.9481020817726451,2.834864603077429,-0.7772269798551311,-3.568842679393216,2.922020196877594
2020-03-11,2.3288695439254856,3.9847737883674057,0.2035330647937697,4.2915780142178805,-0.4144207109043793,0.584566007473318,2.108815720359908,-0.19264600355383596,1.321015851372081,3.3993184975763193
2020-03-12,1.984510493001412,2.411211244881828,NA,5.109704926627309,0.07561024517654957,3.287335541197382,1.2267722501089144,-0.38718999729046827,1.4250553945798534,1.960741419270362
2020-03-13,-6.234838872716859,-2.870444301379432,-2.240765890907109,-4.548020134131011,-5.305159354602712,0.9529492294299695,-4.223409018035871,-3.188623507097974,-14.791750468723368,-0.5603482050203031
2020-03-14,-0.8204798983284859,-4.82717645515183,-3.6940300170981377,1.008544755180746,-2.967941396107345,-1.1797957397927497,0.4285036509407119,-3.5853034553024243,-3.69579001193114,-0.6758543937893945
2020-03-15,-5.0538328318716195,-6.966460879830108,-7.590642009902224,-7.062683907010519,1.106398018026472,13.21138565480328,-5.722690331552024,2.3354769199309864,-5.7870802795295715,-3.9205282419393273
2020-03-16,-27.07098651736223,-21.682836135461393,-23.5927159124965,-10.73229409308088,-20.82727272515057,-29.00145386330312,-30.639455436589913,-23.757143118062704,-29.55391170956196,-8.245805442871173
2020-03-17,-34.93385151346192,-28.733917599200996,-30.39966051403393,-17.439021027674666,-33.893488765027215,-37.71274763304646,-38.84361522538737,-34.18090520198061,-36.983671382307826,-17.454798856552372
2020-03-18,-40.30698440428896,-34.62693309438142,-38.45728726605644,-23.325707302695488,-39.68293652544429,-42.71209572681081,-44.408385110300564,-41.70358929149419,-40.37020623828192,-22.480749962909947
2020-03-19,-43.49513486636536,-38.63452591661207,-42.11898025416865,-26.520708192210208,-42.651835013262726,-44.862290427599895,-47.30198841609121,-47.100524376275786,-43.26517811487984,-28.604487160874587
2020-03-20,-45.9250487327451,-39.414176240272596,-43.219390328777955,-30.85821613835283,-48.067059914641426,-47.59802056539376,-49.49746779619194,-50.62224516045454,-45.25911027782512,-35.937698252809795
2020-03-21,-32.41744370706135,-29.562058369820896,-36.23839642416922,-24.346691414439185,-35.72344811664194,-34.74920155535835,-33.69675676633544,-37.90286395044437,-32.31239134140106,-26.79170821482083
2020-03-22,-35.466557181440706,-33.18362920253182,-41.06136918851131,-31.981585723345425,-30.835580748076893,-25.11501087166045,-37.62647227080521,-29.5782790086993,-31.941094256008178,-31.095984290521933
2020-03-23,-51.69185030385388,-46.04500716369762,-51.27226163536135,-39.67293557357581,-51.08668426314794,-55.4319806091614,-55.24326843700818,-52.14443328705726,-48.80313618544401,-43.608836541639704
2020-03-24,-55.080472701679504,-49.01338315207344,-53.34468475772409,-42.160806886165894,-54.772444442576955,-61.66735135554346,-57.0381691231958,-55.738277698182266,-55.169592636782,-47.23057604734163
2020-03-25,-59.20550612155169,-49.75785413186148,-55.29917283319697,-43.10332736420482,-53.801953447526046,-58.59522917033127,-61.04203020322159,-55.60541838538652,-64.09885801943071,-47.35944658853029
2020-03-26,-59.84814801236071,-50.80182493110448,-56.16371281402658,-43.06122492660715,-54.7408604161108,-59.70619541339002,-61.65445339872338,-55.62914326267147,-64.8004090676666,-48.55460153347989
2020-03-27,-59.13517927312353,-49.38989721081681,-55.138438777355155,-44.124311475948524,-54.60016793457975,-57.26517185316147,-60.7955202377366,-55.00755147780565,-63.88505198568263,-48.34649947437525
