date,FR,Auvergne-Rhône-Alpes,Bourgogne-Franche-Comté,Brittany,Centre-Val de Loire,Corsica,Grand Est,Hauts-de-France,Île-de-France,Normandy,Nouvelle-Aquitaine,Occitanie,Pays de la Loire,Provence-Alpes-Côte d'Azur
2020-02-15,12,34,53,6,37,25,25,7,4,22,17,19,11,18
2020-02-16,7,18,29,1,26,13,16,-1,4,13,19,11,7,13
2020-02-17,-6,5,5,-1,-3,-5,-9,-9,-11,0,6,-4,-4,0
2020-02-18,-4,8,6,-1,-1,-3,-8,-9,-8,0,7,-3,-5,8
2020-02-19,-6,4,3,-5,1,-13,-8,-9,-10,-2,7,0,-9,6
2020-02-20,-4,10,9,-9,-1,-1,-9,-11,-8,-1,9,-1,-10,-1
2020-02-21,0,18,28,-6,13,-1,-4,-5,-6,3,13,2,-6,8
2020-02-22,14,42,60,3,46,19,19,7,6,27,20,21,11,22
2020-02-23,12,29,28,7,28,5,6,2,7,27,19,28,5,25
2020-02-24,-1,6,1,-10,-5,-8,-10,-14,0,-5,-1,15,-12,3
2020-02-25,-3,1,-5,-10,-7,-3,-14,-15,1,-6,-9,7,-13,3
2020-02-26,-5,-3,-5,-11,-8,-31,-13,-14,-3,-9,-10,9,-15,-3
2020-02-27,-5,-7,-6,-13,-8,-6,-18,-19,0,-9,-13,5,-14,-9
2020-02-28,0,2,1,-18,-5,-9,-9,-14,3,-14,-7,16,-17,3
2020-02-29,4,8,18,-5,25,14,5,-4,5,1,-3,20,2,-2
2020-03-01,2,9,13,6,19,-2,10,3,-2,8,2,16,4,8
2020-03-02,-4,-15,-8,2,3,-10,2,-3,-4,1,-16,4,5,-4
2020-03-03,-4,-9,-8,0,1,-8,0,-4,-3,0,-18,-2,2,3
2020-03-04,-6,-8,-9,-4,0,-12,0,-5,-7,-1,-17,2,-4,-1
2020-03-05,-6,-18,-12,-9,-1,-8,-4,-7,-4,2,-19,1,-1,-5
2020-03-06,-1,-9,-9,-2,5,-4,0,2,-2,3,-16,7,3,8
2020-03-07,1,5,3,1,9,-1,1,-1,1,5,-3,5,4,2
2020-03-08,-2,11,6,0,5,0,-2,-9,-6,-5,0,12,3,4
2020-03-09,-5,-2,1,-3,1,-21,-3,-6,-8,2,-1,1,1,-5
2020-03-10,-6,-3,-3,-4,-3,-12,-10,-10,-8,-4,-2,-1,-4,-2
2020-03-11,-5,1,-1,-5,-2,-25,-7,-10,-9,-1,-2,3,-6,-2
2020-03-12,-7,-4,-1,-6,-3,-18,-11,-9,-9,-1,-6,-2,-4,-6
2020-03-13,-8,-4,0,-9,-3,-25,-11,-9,-12,-5,-5,-2,-5,-6
2020-03-14,-16,-4,1,-16,-8,-15,-19,-22,-20,-12,-17,-10,-15,-14
2020-03-15,-21,-15,-6,-21,-8,-22,-19,-26,-24,-20,-17,-19,-18,-19
2020-03-16,-39,-33,-10,-33,-19,-33,-38,-42,-42,-33,-35,-37,-40,-34
2020-03-17,-61,-55,-28,-57,-39,-49,-60,-61,-66,-55,-56,-59,-62,-55
2020-03-18,-76,-75,-61,-77,-69,-72,-74,-76,-78,-74,-73,-74,-79,-72
2020-03-19,-78,-80,-68,-81,-75,-72,-78,-79,-79,-78,-78,-79,-82,-77
2020-03-20,-80,-83,-76,-84,-80,-78,-81,-82,-81,-83,-80,-81,-85,-78
2020-03-21,-82,-84,-82,-84,-82,-79,-84,-81,-82,-84,-80,-82,-85,-80
2020-03-22,-84,-87,-85,-86,-86,-79,-86,-83,-83,-87,-83,-85,-88,-84
2020-03-23,-82,-83,-76,-82,-79,-79,-82,-82,-83,-82,-80,-82,-84,-81
2020-03-24,-82,-83,-73,-82,-78,-78,-82,-82,-83,-81,-80,-83,-84,-81
2020-03-25,-83,-84,-74,-83,-79,-82,-82,-82,-84,-82,-80,-82,-85,-81
2020-03-26,-83,-85,-75,-84,-80,-82,-83,-83,-84,-83,-82,-83,-86,-82
2020-03-27,-84,-86,-80,-85,-84,-83,-84,-84,-84,-85,-83,-84,-87,-82
2020-03-28,-83,-86,-84,-85,-83,-80,-83,-83,-83,-85,-82,-83,-86,-82
2020-03-29,-87,-89,-88,-88,-88,-83,-89,-87,-87,-88,-86,-86,-90,-85
2020-03-30,-83,-85,-77,-83,-80,-79,-83,-83,-84,-83,-83,-83,-86,-82
2020-03-31,-82,-82,-73,-80,-78,-75,-81,-82,-84,-81,-79,-81,-84,-79
2020-04-01,-81,-81,-73,-80,-78,-78,-80,-81,-84,-80,-78,-80,-84,-79
2020-04-02,-82,-83,-74,-81,-80,-77,-81,-82,-84,-81,-80,-81,-84,-79
2020-04-03,-82,-84,-79,-82,-84,-78,-83,-82,-83,-84,-81,-81,-85,-79
2020-04-04,-80,-84,-82,-79,-81,-77,-80,-79,-80,-82,-80,-80,-83,-79
2020-04-05,-82,-85,-84,-81,-86,-83,-83,-82,-82,-85,-82,-84,-85,-82
2020-04-06,-81,-81,-74,-78,-80,-77,-80,-82,-83,-80,-80,-79,-82,-78
2020-04-07,-80,-80,-72,-79,-78,-75,-79,-80,-82,-80,-77,-80,-82,-77
2020-04-08,-80,-80,-72,-78,-78,-77,-79,-80,-82,-79,-77,-79,-82,-77
2020-04-09,-80,-81,-73,-78,-78,-73,-79,-80,-82,-80,-78,-79,-82,-78
2020-04-10,-81,-82,-79,-79,-82,-74,-86,-80,-82,-83,-79,-80,-83,-78
2020-04-11,-79,-83,-83,-78,-82,-71,-79,-78,-79,-82,-79,-80,-82,-78
