date,AR,Buenos Aires,Buenos Aires Province,Catamarca Province,Chaco Province,Chubut Province,Cordoba,Corrientes,Entre Rios,Formosa Province,Jujuy,La Pampa,La Rioja Province,Mendoza Province,Misiones Province,Neuquen,Río Negro,Salta Province,San Juan Province,San Luis Province,Santa Cruz Province,Santa Fe Province,Santiago del Estero Province,Tierra del Fuego Province,Tucumán
2020-02-15,4,9,4,-49,-21,-5,-1,-6,0,-8,-2,-10,-6,2,-7,9,-13,7,-7,-37,4,22,2,-4,-21
2020-02-16,-2,3,-4,-51,-1,-9,-9,-9,-3,0,2,-10,-1,0,-8,14,-12,5,-1,-32,-5,9,0,0,-20
2020-02-17,-2,2,-5,-53,3,-2,-6,0,8,-4,3,-11,0,10,-2,7,-10,13,2,-31,2,7,8,-12,-8
2020-02-18,9,11,10,-51,-9,1,1,-5,3,-11,5,-1,10,7,-8,10,-12,5,6,-30,3,24,8,-1,-9
2020-02-19,8,10,8,-48,3,3,-1,7,18,-2,21,-10,5,5,-5,6,-9,17,4,-25,2,24,7,-8,3
2020-02-20,7,7,7,-4,-2,-1,-1,0,14,-9,31,15,4,7,1,8,-14,8,3,-25,1,21,11,6,0
2020-02-21,9,10,8,64,5,8,8,4,23,-9,50,11,20,11,2,11,-10,14,16,-27,1,27,19,6,-12
2020-02-22,7,8,6,47,5,-5,11,8,27,6,70,3,6,5,3,17,0,5,11,-18,0,25,18,5,-18
2020-02-23,5,9,4,21,9,-16,-5,-4,-1,0,45,3,-8,6,-4,0,6,7,-10,-39,-1,21,-3,-5,-13
2020-02-24,-27,-41,-27,-4,-18,-31,-17,-13,-2,-18,25,6,-17,-19,-20,-14,1,11,-22,-40,-20,4,-19,-20,-28
2020-02-25,-28,-44,-30,12,3,-26,-7,-4,8,-17,31,-6,9,-21,-17,0,-11,1,2,-24,-18,2,-3,-12,-24
2020-02-26,9,11,10,47,4,-11,5,5,24,-4,33,6,14,7,0,5,-15,11,12,-20,-3,28,20,-2,10
2020-02-27,8,10,8,31,-10,-2,-4,-5,11,0,23,10,3,6,-3,8,-26,12,3,-26,-9,27,10,1,-5
2020-02-28,8,13,7,42,-10,2,-4,-5,5,9,17,3,7,9,-7,3,-31,14,0,-39,-12,26,7,14,-21
2020-02-29,6,13,6,35,-11,-9,-12,-8,4,18,5,-6,-2,2,-6,3,-32,12,3,-46,-7,25,3,8,-30
2020-03-01,1,8,1,31,-7,-11,-17,-14,-1,0,-2,-2,6,0,-5,-1,-34,4,-4,-44,-8,17,-1,16,-35
2020-03-02,7,6,8,29,-11,-5,-3,-7,4,-7,8,10,-2,16,-2,3,-35,12,3,-36,-5,26,9,-11,-19
2020-03-03,8,10,9,31,-3,-4,-5,-9,1,6,2,3,-1,9,-5,8,-36,10,-1,-44,-4,31,4,-1,-17
2020-03-04,8,10,8,26,-10,1,-6,-12,10,-2,3,-1,5,11,-8,2,-38,10,-5,-36,-1,32,0,0,-8
