date,BY
2020-02-15,9
2020-02-16,2
2020-02-17,2
2020-02-18,3
2020-02-19,7
2020-02-20,8
2020-02-21,8
2020-02-22,10
2020-02-23,6
2020-02-24,0
2020-02-25,3
2020-02-26,7
2020-02-27,2
2020-02-28,6
2020-02-29,6
2020-03-01,1
2020-03-02,1
2020-03-03,6
2020-03-04,7
2020-03-05,9
2020-03-06,11
2020-03-07,20
2020-03-08,20
2020-03-09,2
2020-03-10,6
2020-03-11,4
2020-03-12,0
2020-03-13,8
2020-03-14,0
2020-03-15,5
2020-03-16,6
2020-03-17,7
2020-03-18,10
2020-03-19,5
2020-03-20,12
2020-03-21,5
2020-03-22,-1
2020-03-23,3
2020-03-24,5
2020-03-25,12
2020-03-26,8
2020-03-27,10
2020-03-28,7
2020-03-29,5
2020-03-30,-2
2020-03-31,2
2020-04-01,-1
2020-04-02,-4
2020-04-03,-7
2020-04-04,-5
2020-04-05,-4
2020-04-06,-2
2020-04-07,4
2020-04-08,0
2020-04-09,-4
2020-04-10,0
2020-04-11,-7
