date,PE,Amazonas,Ancash,Apurimac,Arequipa,Ayacucho,Cajamarca,Callao Region,Cusco,Huancavelica,Huanuco,Ica,Junin,La Libertad,Lambayeque,Lima Region,Loreto,Madre de Dios,Metropolitan Municipality of Lima,Moquegua,Pasco,Piura,Puno,San Martin,Tacna,Tumbes,Ucayali
2020-02-15,0,3,1,-1,-1,-1,0,0,2,1,-2,-1,-1,1,-2,0,-1,-1,0,3,0,-1,0,-1,-2,-1,1
2020-02-16,0,0,-2,-1,-2,-3,1,-1,-2,-6,-3,0,0,0,-1,0,1,0,0,2,-2,0,-4,1,-1,1,1
2020-02-17,1,3,1,3,-2,2,1,1,6,2,1,0,1,3,1,1,0,3,1,2,1,1,-1,3,0,4,2
2020-02-18,1,4,0,1,0,3,3,2,6,4,0,0,1,2,2,1,0,1,2,2,2,1,0,1,0,2,0
2020-02-19,1,1,1,2,-1,3,2,1,5,2,0,-1,-1,1,1,0,0,-2,1,4,2,2,-2,2,1,-1,1
2020-02-20,0,4,0,-1,-2,3,0,1,4,6,-1,-2,-1,1,0,0,-1,0,1,3,0,0,-2,3,2,1,1
2020-02-21,1,4,1,-1,-3,4,0,2,2,3,0,-1,-1,1,1,2,2,-5,1,-1,3,1,-3,2,-1,-4,3
2020-02-22,0,4,1,1,-1,7,-13,1,5,1,0,-1,0,-1,-1,0,-3,3,1,2,1,0,3,-2,-3,3,-4
2020-02-23,0,3,-1,4,-3,15,1,0,-2,-1,-3,0,0,-2,-2,-1,-6,2,0,-2,2,-1,0,1,1,-7,2
2020-02-24,-1,5,0,-2,-4,-3,-36,1,4,3,0,-2,-1,0,-1,0,0,2,0,0,-1,0,-6,2,-2,-1,3
2020-02-25,0,4,-6,-1,-4,-3,-4,1,5,-1,0,-2,-1,0,0,0,0,1,0,3,0,-2,-4,1,-3,-4,2
2020-02-26,0,3,-1,-3,-3,-3,-2,1,4,1,-1,-2,-2,0,-1,-1,-2,-1,0,-1,0,-1,-7,2,-3,0,3
2020-02-27,0,1,-1,-5,-1,-1,-2,0,5,2,-2,-2,-2,-1,0,-1,-1,1,0,1,1,-2,-7,3,-2,1,-3
2020-02-28,1,5,1,-3,-1,3,-2,1,6,4,1,-1,0,1,1,1,3,4,1,3,0,1,-5,3,-1,4,2
2020-02-29,2,2,1,-1,2,4,1,2,8,5,0,0,1,2,0,0,2,5,2,4,3,1,-3,1,1,3,2
2020-03-01,1,0,1,-2,0,1,1,1,0,5,-4,1,2,3,1,1,-1,0,2,4,3,-1,-1,0,-1,6,-4
2020-03-02,2,4,1,5,0,4,1,2,8,5,3,0,2,3,4,3,2,5,2,2,5,3,-11,5,-2,7,3
2020-03-03,2,7,1,6,2,2,2,3,8,7,3,0,2,2,4,2,1,5,2,3,8,1,0,2,-1,5,5
2020-03-04,2,7,1,5,3,2,2,3,9,7,1,1,2,1,3,2,1,4,2,4,9,3,0,2,0,7,5
2020-03-05,3,5,1,3,3,3,2,4,9,7,2,1,3,2,3,2,3,5,3,6,7,1,1,6,2,5,4
2020-03-06,4,6,3,6,4,6,2,5,10,8,2,3,5,3,3,5,4,6,4,6,8,2,3,4,2,2,3
2020-03-07,2,5,2,2,3,2,1,1,7,6,2,0,2,1,1,2,2,6,2,5,9,-1,5,3,1,1,2
2020-03-08,3,5,3,2,3,1,4,2,1,7,3,2,6,3,2,2,2,5,3,9,8,1,2,5,2,4,-2
2020-03-09,2,10,2,4,1,4,2,3,10,5,2,1,3,2,3,3,1,6,2,0,11,1,3,4,0,6,3
2020-03-10,2,9,1,5,2,2,3,3,10,8,1,0,2,1,3,2,2,5,2,4,10,0,-7,1,0,5,4
2020-03-11,1,4,0,2,0,2,1,1,9,7,-3,-1,2,1,2,2,1,5,1,3,10,2,-10,2,0,1,4
2020-03-12,-1,5,-2,0,-2,2,1,-1,7,5,-2,-1,0,-1,1,0,2,4,-1,5,8,-2,1,1,-1,2,1
2020-03-13,-2,6,-1,2,-4,1,-2,-2,0,5,-2,-19,0,-1,-1,-1,2,4,-3,3,7,-2,-1,0,-1,0,0
2020-03-14,-3,1,0,-2,-4,-2,-1,-4,-1,2,-2,-7,-3,-2,-1,-3,-6,2,-3,4,8,-3,2,-1,-1,1,1
2020-03-15,-1,6,-2,-1,-4,-2,1,-3,-1,6,-3,-3,1,-2,-3,-3,1,-2,-1,1,5,-3,-1,-2,-2,0,1
2020-03-16,-44,-13,-33,-23,-39,-24,-29,-48,-36,-18,-30,-33,-30,-35,-33,-29,-23,-18,-52,-25,-7,-33,-17,-23,-37,-25,-20
2020-03-17,-69,-43,-62,-51,-65,-55,-57,-74,-64,-48,-58,-58,-59,-62,-62,-55,-50,-47,-76,-55,-42,-58,-59,-53,-65,-51,-51
2020-03-18,-73,-47,-65,-57,-69,-59,-60,-77,-67,-54,-63,-61,-64,-66,-66,-58,-54,-51,-79,-57,-48,-62,-63,-56,-68,-56,-53
2020-03-19,-76,-50,-67,-59,-72,-62,-63,-80,-69,-53,-64,-64,-65,-69,-69,-60,-59,-58,-82,-61,-52,-65,-65,-61,-69,-57,-57
2020-03-20,-76,-48,-67,-58,-72,-61,-63,-80,-70,-54,-65,-64,-66,-69,-69,-60,-59,-57,-82,-62,-52,-65,-64,-63,-70,-59,-58
2020-03-21,-70,-43,-61,-52,-67,-55,-56,-74,-63,-42,-59,-60,-63,-66,-66,-56,-52,-56,-77,-53,-44,-61,-57,-57,-64,-54,-61
2020-03-22,-57,-31,-51,-41,-54,-43,-46,-63,-49,-33,-48,-51,-50,-53,-54,-49,-37,-36,-64,-49,-34,-51,-46,-46,-51,-49,-43
2020-03-23,-76,-48,-66,-59,-73,-62,-63,-79,-69,-55,-64,-64,-68,-69,-68,-59,-58,-56,-82,-61,-51,-66,-63,-62,-69,-58,-55
2020-03-24,-76,-48,-68,-58,-74,-62,-64,-80,-70,-54,-65,-65,-68,-70,-69,-60,-59,-58,-82,-62,-49,-67,-64,-62,-71,-61,-56
2020-03-25,-76,-49,-67,-57,-73,-62,-65,-80,-70,-53,-65,-64,-68,-70,-69,-60,-59,-57,-82,-60,-54,-66,-64,-60,-69,-62,-55
2020-03-26,-76,-47,-67,-58,-73,-60,-64,-79,-70,-55,-64,-63,-67,-70,-69,-60,-57,-55,-82,-58,-52,-67,-64,-60,-69,-59,-55
2020-03-27,-74,-43,-64,-54,-71,-57,-62,-78,-68,-49,-61,-61,-64,-69,-68,-58,-56,-57,-81,-58,-50,-64,-61,-58,-68,-58,-53
2020-03-28,-68,-36,-59,-47,-66,-53,-56,-72,-62,-37,-55,-57,-60,-64,-64,-52,-52,-51,-74,-49,-46,-59,-54,-54,-63,-53,-49
2020-03-29,-55,-28,-49,-34,-52,-40,-45,-59,-47,-34,-46,-48,-47,-52,-53,-46,-39,-32,-62,-47,-36,-48,-43,-44,-50,-46,-35
2020-03-30,-73,-44,-64,-54,-70,-60,-61,-76,-66,-52,-61,-61,-65,-68,-67,-56,-57,-50,-80,-56,-46,-63,-60,-58,-67,-57,-51
2020-03-31,-74,-43,-65,-54,-71,-61,-62,-77,-68,-52,-61,-61,-64,-70,-68,-58,-59,-53,-80,-56,-47,-65,-60,-60,-69,-59,-51
2020-04-01,-75,-46,-65,-55,-72,-61,-62,-78,-68,-53,-62,-62,-67,-70,-70,-58,-60,-51,-81,-57,-50,-65,-61,-60,-70,-61,-52
2020-04-02,-75,-46,-64,-56,-72,-60,-63,-78,-69,-55,-61,-61,-65,-70,-70,-58,-59,-53,-81,-54,-49,-65,-61,-60,-70,-61,-52
2020-04-03,-75,-45,-66,-56,-73,-62,-64,-79,-69,-50,-62,-63,-66,-71,-69,-60,-59,-56,-81,-60,-50,-65,-62,-61,-71,-62,-56
2020-04-04,-71,-40,-62,-52,-70,-58,-59,-72,-67,-43,-59,-61,-63,-68,-68,-56,-57,-52,-76,-56,-43,-62,-58,-59,-68,-59,-55
2020-04-05,-75,-48,-70,-52,-73,-61,-64,-80,-65,-47,-63,-73,-65,-73,-74,-69,-56,-59,-82,-63,-48,-70,-65,-64,-73,-63,-64
2020-04-06,-75,-47,-65,-56,-72,-60,-63,-78,-68,-51,-61,-63,-65,-70,-70,-59,-59,-52,-81,-59,-47,-64,-61,-60,-70,-61,-56
2020-04-07,-76,-49,-67,-58,-74,-63,-65,-78,-69,-54,-63,-64,-67,-72,-71,-59,-62,-60,-81,-61,-50,-66,-63,-63,-72,-63,-59
2020-04-08,-74,-47,-65,-54,-71,-60,-63,-77,-67,-50,-61,-62,-64,-70,-71,-58,-61,-53,-80,-58,-49,-64,-61,-59,-69,-61,-57
2020-04-09,-90,-67,-83,-75,-88,-79,-80,-92,-83,-68,-80,-84,-81,-86,-87,-81,-78,-77,-94,-80,-68,-84,-80,-79,-88,-78,-80
2020-04-10,-90,-68,-83,-73,-88,-78,-80,-93,-83,-66,-81,-85,-81,-86,-87,-81,-79,-77,-94,-79,-68,-84,-80,-80,-88,-79,-81
2020-04-11,-67,-37,-58,-46,-66,-51,-55,-70,-61,-32,-53,-58,-58,-64,-66,-51,-57,-45,-74,-50,-41,-58,-52,-54,-64,-57,-53
