date,MD
2020-02-15,0
2020-02-16,2
2020-02-17,2
2020-02-18,2
2020-02-19,5
2020-02-20,2
2020-02-21,-1
2020-02-22,-2
2020-02-23,3
2020-02-24,-8
2020-02-25,-2
2020-02-26,3
2020-02-27,-4
2020-02-28,-4
2020-02-29,-4
2020-03-01,0
2020-03-02,-1
2020-03-03,1
2020-03-04,5
2020-03-05,2
2020-03-06,3
2020-03-07,10
2020-03-08,13
2020-03-09,-2
2020-03-10,-3
2020-03-11,2
2020-03-12,-5
2020-03-13,-17
2020-03-14,-14
2020-03-15,-30
2020-03-16,-27
2020-03-17,-46
2020-03-18,-51
2020-03-19,-53
2020-03-20,-58
2020-03-21,-61
2020-03-22,-72
2020-03-23,-60
2020-03-24,-61
2020-03-25,-61
2020-03-26,-60
2020-03-27,-63
2020-03-28,-64
2020-03-29,-68
2020-03-30,-64
2020-03-31,-65
2020-04-01,-62
2020-04-02,-62
2020-04-03,-64
2020-04-04,-64
2020-04-05,-67
2020-04-06,-60
2020-04-07,-59
2020-04-08,-59
2020-04-09,-58
2020-04-10,-62
2020-04-11,-64
