date,total,Akwa Ibom,Anambra,Imo,Jigawa,Kaduna,Kano,Oyo,Plateau,Taraba,Yobe
2020-02-29,2.3692843536004036,NA,-13.09536,-14.666879999999999,NA,-2.340999074757382,-1.4882285204035939,-4.206977808879471,-8.94467981606147,NA,NA
2020-03-01,1.119995946142619,NA,-4.41216,-10.526399999999999,NA,4.9719650043567185,-2.071085643277064,-10.042493860065,-5.610979675124494,NA,NA
2020-03-02,-0.6537350075248044,NA,-4.49472,-8.750399999999999,NA,1.3425465379182508,-3.5709713061381274,-7.986595202332047,-4.250539382450758,NA,NA
2020-03-03,1.9410030754939187,NA,-6.97632,-9.210239999999999,NA,-1.3425465379182508,NA,-8.942207356204216,-4.329890432550491,NA,NA
2020-03-04,0.14545401897956092,NA,-10.46496,1.29888,NA,4.19485383338028,0.30794284658481674,-5.924985714994278,1.914941606623677,NA,NA
2020-03-05,4.050086350697551,NA,-8.333759999999998,6.75648,NA,5.442677865383492,-2.133257069716901,-7.336512432317414,3.2543490908372426,NA,NA
2020-03-06,2.30706235659248,NA,-8.60256,-6.57888,NA,4.794118666720319,-4.082914145728659,-10.589781697192986,NA,NA,NA
2020-03-07,5.111900689248347,NA,NA,-9.33312,NA,-3.512465168318879,-3.86919986734172,-9.14589361210924,1.1931338617405636,NA,NA
2020-03-08,0.8153505841687608,NA,-11.764800000000001,-15.789119999999999,NA,4.9719650043567185,-5.917942654241967,-11.751935521772587,-3.506742792359285,NA,NA
2020-03-09,2.305446200826041,NA,-12.36,-3.74976,NA,6.711766133408447,-1.4882285204035939,-7.402186972772772,2.429289377149657,NA,NA
2020-03-10,3.8310972443449907,NA,-9.302399999999999,-3.94752,NA,1.3425465379182508,-7.900628300549887,-11.08091304320697,-4.329890432550491,NA,NA
2020-03-11,0.4452509136541004,NA,-11.62752,-3.8956799999999996,NA,-4.19485383338028,-8.919656837040339,-12.442945903955053,3.1922067022049214,NA,NA
2020-03-12,2.439587129440525,NA,-10.714559999999999,-6.75648,NA,NA,-7.009828331091602,-11.500659019160782,0.6510610255170864,NA,NA
2020-03-13,2.521202995645723,NA,-16.12896,-9.210239999999999,NA,-2.3970593333601595,-8.164856862919194,-12.96358320292724,NA,NA,NA
2020-03-14,1.5959538193590712,NA,-13.09536,-9.33312,NA,-4.68296470569757,-8.332914000014378,-8.59765397004712,-5.367190304336157,NA,NA
2020-03-15,-1.8367610285585667,NA,-10.294080000000001,-15.789119999999999,NA,1.2429912510891796,-10.060113940796095,-17.521777032502758,-18.93526383464231,NA,NA
2020-03-16,0.5147456116110017,NA,-16.85376,-13.75008,NA,9.396859209244948,-11.607599602025159,-11.49209277475356,-5.464706052651492,NA,NA
2020-03-17,0.7830274688399697,NA,-16.27872,-10.526399999999999,NA,-10.7394057471632,-8.508742565414543,-12.830330512148253,-3.7113346564718497,NA,NA
2020-03-18,-2.259385761482513,NA,-18.604799999999997,-7.79232,NA,6.992067426422337,-8.919656837040339,-12.442945903955053,-2.553574154414299,NA,NA
2020-03-19,-1.6185800000892252,NA,-19.04736,-13.513919999999999,NA,6.80262241459226,-7.924914014002949,-15.863732837238498,1.302122051034173,NA,NA
2020-03-20,-0.055757373942165026,NA,-15.053759999999999,-9.210239999999999,NA,-9.589203889623445,-9.040113975767522,-16.615658735205642,-7.029738209437792,NA,NA
2020-03-21,-2.7515051923633607,NA,-14.28576,-19.999679999999998,NA,-7.023963780454952,-8.035656867348909,-17.927245934444535,-5.963757235206439,NA,NA
2020-03-22,-11.444807060041786,NA,-19.117440000000002,-14.035199999999998,NA,6.214956255445897,-11.834913879945812,-18.37649786335655,-14.026015132688949,NA,NA
2020-03-23,-10.98824305602261,NA,-20.22432,-26.25024,NA,-9.396859209244948,-19.047770775505008,-16.94688685228484,-3.643456047350391,NA,NA
2020-03-24,-16.383779082281098,NA,-23.256,-27.63168,NA,-13.4244988229997,-15.49719946866745,-20.995865042097797,-9.896892417258265,NA,NA
2020-03-25,-8.915523285563864,NA,-19.76736,-33.76608,NA,-5.593460629901308,-16.608513716279536,-14.022942094620195,-8.937031522075953,NA,NA
2020-03-26,-25.849603406317637,NA,-15.476159999999998,-31.080959999999997,NA,-13.606211385367326,-17.067999414811453,-15.46683017970394,-16.92376251645149,NA,NA
2020-03-27,-32.40149888346364,NA,-23.656319999999997,-35.52672,NA,-40.75290833567113,-20.705027861541907,-23.188823610346283,-24.018511224766172,NA,NA
2020-03-28,-34.38048161946888,NA,-15.476159999999998,-38.66688,NA,-38.63421718295925,-28.86891329592298,-23.597147927090468,-26.834995484932595,NA,NA
2020-03-29,-33.89240257800414,NA,-26.471040000000002,-42.105599999999995,NA,-43.50469378812129,-26.333484811423386,-29.915229079882756,-28.753761238549032,NA,NA
2020-03-30,-24.437083266449456,NA,-52.80864,-46.249919999999996,NA,-36.24585685524435,-27.380684775519384,-29.997084304218422,-29.754731713903496,NA,NA
2020-03-31,-55.37353694763563,NA,-51.163199999999996,-52.632,NA,-37.5884033931626,-27.348627633761343,-31.49332166067963,-35.87623501256122,NA,NA
2020-04-01,-55.6951519451571,NA,-53.488319999999995,-59.739839999999994,NA,-20.975235723084204,-23.682456330887216,-31.402900191936745,-24.897108996352372,NA,NA
2020-04-02,-52.388497247021746,NA,-49.99968,-55.40544,NA,-17.687978145359242,-24.382856306873506,-30.53675770187332,-26.686809788963217,NA,NA
2020-04-03,-52.958192154691694,NA,-53.763839999999995,-53.947199999999995,NA,-40.75290833567113,-26.536513375890976,-32.684029633283295,-29.290097854283374,NA,NA
