date,NP
2020-02-15,3
2020-02-16,4
2020-02-17,4
2020-02-18,4
2020-02-19,4
2020-02-20,7
2020-02-21,-7
2020-02-22,4
2020-02-23,6
2020-02-24,3
2020-02-25,1
2020-02-26,1
2020-02-27,6
2020-02-28,4
2020-02-29,6
2020-03-01,6
2020-03-02,4
2020-03-03,4
2020-03-04,4
2020-03-05,5
2020-03-06,5
2020-03-07,-3
2020-03-08,7
2020-03-09,-12
2020-03-10,-3
2020-03-11,2
2020-03-12,2
2020-03-13,-4
2020-03-14,-7
2020-03-15,0
2020-03-16,0
2020-03-17,-2
2020-03-18,1
2020-03-19,0
2020-03-20,-5
2020-03-21,-18
2020-03-22,-20
2020-03-23,-33
2020-03-24,-71
2020-03-25,-76
2020-03-26,-77
2020-03-27,-78
2020-03-28,-77
2020-03-29,-78
2020-03-30,-77
2020-03-31,-77
2020-04-01,-77
2020-04-02,-77
2020-04-03,-77
2020-04-04,-75
2020-04-05,-76
2020-04-06,-76
2020-04-07,-76
2020-04-08,-77
2020-04-09,-77
2020-04-10,-77
2020-04-11,-77
