date,NO,Agder,Innlandet,Møre og Romsdal,Nordland,Oslo,Rogaland,Troms Og Finnmark,Trondelag,Vestfold Og Telemark,Vestland,Viken
2020-02-15,-1,-4,-1,0,0,-1,-1,2,0,-3,0,0
2020-02-16,-3,-7,0,-2,0,-3,-3,0,-2,-4,-1,-4
2020-02-17,-12,-24,-11,-19,0,-16,0,-1,-17,-21,-5,-15
2020-02-18,-11,-22,-10,-19,1,-15,0,-1,-17,-20,-4,-14
2020-02-19,-12,-23,-10,-19,0,-15,1,-3,-17,-20,-4,-15
2020-02-20,-14,-26,-13,-21,0,-18,0,-6,-21,-23,-5,-18
2020-02-21,-15,-27,-14,-24,-2,-20,0,-6,-26,-24,-4,-20
2020-02-22,-4,-5,-4,-7,2,-1,-3,-1,-7,-4,-2,-3
2020-02-23,-2,-2,2,-4,-1,0,-4,-1,-4,-1,-3,-2
2020-02-24,-5,0,-8,0,0,1,-18,-2,0,0,-15,-4
2020-02-25,-4,-1,-8,0,0,2,-18,0,1,0,-14,-3
2020-02-26,-4,1,-8,1,-1,2,-18,0,1,2,-14,-3
2020-02-27,-5,-1,-10,1,0,1,-21,0,1,1,-18,-4
2020-02-28,-5,0,-11,0,-3,1,-24,-1,1,0,-19,-5
2020-02-29,-2,-2,-1,-1,0,0,-3,0,-1,0,-1,-1
2020-03-01,-1,0,0,3,2,-1,-4,2,1,-3,-3,-3
2020-03-02,-2,0,-1,1,-19,-1,0,-12,1,0,-1,0
2020-03-03,-1,0,0,0,-18,0,0,-10,0,0,-1,0
2020-03-04,-2,1,-2,-1,-18,-1,1,-11,1,-1,0,-1
2020-03-05,-2,-1,-1,0,-21,-2,0,-12,1,0,-1,-1
2020-03-06,-2,0,0,-1,-23,-2,0,-15,-1,-2,0,-1
2020-03-07,-2,-2,0,-2,-2,-2,0,1,-1,-1,0,-1
2020-03-08,-2,-5,-1,2,3,-5,-1,1,0,-3,0,-6
2020-03-09,-2,-1,-2,1,-2,-2,0,-2,-7,0,-1,-1
2020-03-10,-1,-2,-2,0,0,-3,-1,-1,-1,-1,-1,-1
2020-03-11,-3,-1,-2,0,-1,-6,-1,-2,-2,-2,-2,-3
2020-03-12,-11,-9,-8,-5,-5,-23,-8,-6,-13,-7,-8,-11
2020-03-13,-36,-35,-28,-30,-26,-51,-34,-31,-38,-33,-32,-38
2020-03-14,-23,-23,-20,-20,-20,-29,-22,-24,-26,-19,-22,-20
2020-03-15,-27,-30,-24,-20,-17,-37,-28,-23,-30,-24,-27,-27
2020-03-16,-48,-46,-43,-38,-38,-62,-44,-42,-49,-45,-46,-49
2020-03-17,-51,-49,-46,-44,-41,-65,-48,-45,-52,-47,-50,-52
2020-03-18,-52,-50,-46,-44,-43,-66,-49,-46,-53,-48,-51,-53
2020-03-19,-52,-51,-47,-44,-44,-66,-50,-47,-54,-48,-52,-53
2020-03-20,-52,-50,-46,-45,-44,-66,-50,-48,-53,-48,-51,-53
2020-03-21,-33,-30,-32,-30,-31,-43,-29,-32,-38,-29,-32,-31
2020-03-22,-34,-33,-30,-28,-28,-45,-35,-31,-36,-31,-36,-33
2020-03-23,-52,-50,-47,-43,-43,-67,-49,-46,-53,-49,-51,-53
2020-03-24,-53,-50,-47,-45,-44,-67,-50,-47,-54,-49,-51,-54
2020-03-25,-52,-49,-46,-44,-43,-67,-49,-46,-53,-48,-51,-53
2020-03-26,-52,-50,-46,-44,-44,-66,-49,-46,-53,-48,-51,-53
2020-03-27,-50,-49,-45,-43,-42,-65,-49,-45,-52,-47,-49,-52
2020-03-28,-33,-30,-32,-28,-32,-43,-30,-35,-37,-28,-30,-31
2020-03-29,-34,-31,-32,-29,-24,-45,-35,-32,-37,-30,-36,-33
2020-03-30,-51,-49,-46,-44,-42,-65,-47,-45,-53,-46,-49,-52
2020-03-31,-51,-49,-45,-44,-43,-65,-48,-46,-52,-46,-49,-51
2020-04-01,-50,-48,-44,-44,-41,-65,-47,-43,-51,-46,-49,-51
2020-04-02,-50,-49,-45,-45,-41,-65,-48,-43,-51,-46,-49,-52
2020-04-03,-49,-47,-43,-44,-41,-64,-48,-43,-51,-45,-48,-50
2020-04-04,-31,-28,-28,-28,-28,-42,-26,-30,-37,-27,-29,-28
2020-04-05,-32,-26,-32,-27,-22,-44,-29,-32,-36,-27,-32,-33
2020-04-06,-58,-56,-58,-55,-51,-69,-55,-52,-62,-55,-56,-58
2020-04-07,-59,-56,-60,-56,-52,-69,-56,-53,-64,-56,-57,-59
2020-04-08,-64,-60,-64,-62,-58,-72,-62,-60,-69,-60,-63,-64
2020-04-09,-85,-84,-84,-84,-80,-89,-86,-82,-87,-84,-85,-86
2020-04-10,-85,-84,-83,-83,-81,-89,-85,-82,-87,-83,-84,-86
2020-04-11,-36,-33,-32,-31,-32,-47,-33,-35,-37,-32,-35,-35
