date,VN
2020-02-15,-9
2020-02-16,-11
2020-02-17,-11
2020-02-18,-9
2020-02-19,-12
2020-02-20,-15
2020-02-21,-12
2020-02-22,-9
2020-02-23,-12
2020-02-24,-10
2020-02-25,-9
2020-02-26,-11
2020-02-27,-13
2020-02-28,-9
2020-02-29,-5
2020-03-01,-5
2020-03-02,-9
2020-03-03,-10
2020-03-04,-17
2020-03-05,-14
2020-03-06,-9
2020-03-07,-9
2020-03-08,-11
2020-03-09,-15
2020-03-10,-15
2020-03-11,-17
2020-03-12,-21
2020-03-13,-21
2020-03-14,-21
2020-03-15,-23
2020-03-16,-23
2020-03-17,-24
2020-03-18,-28
2020-03-19,-30
2020-03-20,-27
2020-03-21,-27
2020-03-22,-32
2020-03-23,-29
2020-03-24,-29
2020-03-25,-31
2020-03-26,-35
2020-03-27,-35
2020-03-28,-41
2020-03-29,-49
2020-03-30,-48
2020-03-31,-47
2020-04-01,-59
2020-04-02,-67
2020-04-03,-64
2020-04-04,-64
2020-04-05,-67
2020-04-06,-61
2020-04-07,-59
2020-04-08,-60
2020-04-09,-60
2020-04-10,-59
2020-04-11,-58
