date,CZ,Central Bohemian Region,Hradec Králové Region,Karlovy Vary Region,Liberec Region,Moravian-Silesian Region,Olomouc Region,Pardubice Region,Plzeň Region,Prague,South Bohemian Region,South Moravian Region,Ústí nad Labem Region,Vysocina Region,Zlin Region
2020-02-15,37,46,41,34,56,41,90,24,33,38,47,27,46,18,41
2020-02-16,28,27,15,34,13,19,15,27,24,27,58,6,8,18,23
2020-02-17,17,10,24,19,43,26,30,25,7,7,34,20,18,16,34
2020-02-18,22,15,32,27,49,30,36,33,19,23,32,18,23,12,30
2020-02-19,6,4,11,15,13,12,9,5,-1,4,15,-4,3,1,14
2020-02-20,16,13,35,14,27,22,34,30,8,10,19,12,6,5,32
2020-02-21,4,-2,16,22,21,-3,12,2,10,-2,11,-1,6,-1,5
2020-02-22,30,36,32,28,60,14,30,59,32,24,50,45,29,33,31
2020-02-23,-17,-28,-41,-14,-49,-30,-28,-39,-22,-4,-7,-24,-34,-14,-28
2020-02-24,13,5,14,14,41,11,21,12,13,6,17,22,13,11,20
2020-02-25,13,4,-3,18,15,3,14,-7,30,14,38,37,15,15,27
2020-02-26,10,11,11,2,17,3,12,5,11,9,15,14,1,8,12
2020-02-27,9,16,7,6,10,22,4,5,5,6,11,15,6,11,13
2020-02-28,0,1,0,10,12,-7,3,-2,1,-5,-2,8,1,-8,-12
2020-02-29,0,-4,0,7,6,2,-3,-3,7,3,3,21,-6,-6,-6
2020-03-01,29,38,11,13,15,15,12,23,30,36,28,15,19,15,4
2020-03-02,18,25,7,22,26,4,17,21,25,12,18,30,36,12,16
2020-03-03,-9,-12,-17,8,-16,-1,3,-3,-1,-16,-1,10,-4,-4,-10
2020-03-04,17,23,18,9,25,11,17,21,19,11,20,30,20,11,17
2020-03-05,21,28,13,14,17,31,17,28,23,18,22,24,25,12,28
2020-03-06,2,5,-11,13,1,-4,-2,2,1,0,2,8,2,-4,-15
2020-03-07,-6,-4,-12,-1,-16,-6,-2,-15,-1,-5,-5,18,-6,-9,-11
2020-03-08,45,70,38,24,52,16,43,52,24,36,29,43,48,30,33
2020-03-09,8,12,8,11,7,17,22,14,9,-5,5,27,15,9,26
2020-03-10,6,12,8,-3,-5,36,32,26,-1,-7,5,45,1,13,39
2020-03-11,-11,-9,-7,-4,0,-5,5,-12,2,-30,10,10,-2,-10,-3
2020-03-12,12,21,-2,2,0,36,31,15,10,-8,21,49,13,26,39
2020-03-13,-2,14,-9,-8,5,15,22,11,7,-23,2,22,12,3,12
2020-03-14,21,84,28,1,67,18,32,46,36,-11,17,50,67,37,12
2020-03-15,37,100,25,9,44,67,32,37,59,-6,31,42,68,55,47
2020-03-16,-20,14,-18,-21,-7,-9,-23,-4,0,-44,-5,-12,3,2,-16
2020-03-17,-17,14,-7,-36,7,37,-1,7,-10,-43,-17,-6,13,3,1
2020-03-18,-1,51,-1,-22,14,29,6,20,8,-33,4,17,25,20,9
2020-03-19,-11,36,-10,-29,-3,23,1,4,6,-49,0,14,14,22,9
2020-03-20,-26,10,-26,-48,-32,-13,-2,-1,2,-62,-6,11,-20,8,-7
2020-03-21,-62,-43,-58,-66,-47,-64,-57,-52,-56,-76,-64,-56,-40,-45,-63
2020-03-22,-39,0,-49,-42,-37,-47,-47,-37,-20,-59,-39,-42,-13,-21,-48
2020-03-23,-27,14,-20,-31,-1,-26,-27,-8,-1,-53,-14,-29,12,-1,-33
2020-03-24,-17,28,-9,-27,7,-4,-9,14,13,-45,-6,-11,23,8,-13
2020-03-25,-15,31,-8,-30,5,0,-12,8,10,-45,-11,-12,26,8,-5
2020-03-26,-24,15,-20,-41,-13,9,-10,-1,-10,-55,-22,-14,6,5,-7
2020-03-27,2,62,-5,-19,23,26,19,28,21,-39,-3,30,38,29,21
2020-03-28,18,120,7,-22,53,47,40,43,43,-33,18,59,61,69,34
2020-03-29,-24,9,-33,-53,-45,-14,-15,-1,-8,-58,-17,5,-28,27,1
2020-03-30,-20,24,-14,-32,4,-18,-13,10,4,-51,-7,-8,16,9,-21
2020-03-31,-28,1,-22,-40,-23,-5,-13,-1,-9,-53,-17,-13,-5,-2,-8
2020-04-01,0,52,2,-20,14,24,11,27,29,-33,8,9,38,23,9
2020-04-02,5,61,1,-22,18,43,15,33,34,-32,15,13,46,36,22
2020-04-03,-24,9,-23,-40,-16,3,0,0,-7,-60,-12,5,-5,9,2
2020-04-04,-6,57,-10,-29,-8,31,17,26,22,-44,-5,19,26,29,8
2020-04-05,45,138,20,-5,36,75,57,67,67,-17,42,68,79,105,66
2020-04-06,18,82,19,-9,42,68,39,48,52,-26,34,30,70,46,34
2020-04-07,1,73,17,-14,29,42,37,44,37,-57,35,22,52,49,30
2020-04-08,2,78,22,-12,26,41,33,29,37,-58,38,13,51,48,31
2020-04-09,2,75,20,-15,20,61,35,37,33,-63,36,18,44,57,38
2020-04-10,11,111,19,-5,48,47,52,42,51,-66,45,46,61,84,51
2020-04-11,9,103,22,-11,40,43,44,51,49,-66,43,41,66,94,44
