date,KH
2020-02-15,2
2020-02-16,2
2020-02-17,-2
2020-02-18,-2
2020-02-19,-2
2020-02-20,-1
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,-3
2020-02-25,-2
2020-02-26,-1
2020-02-27,-1
2020-02-28,0
2020-02-29,1
2020-03-01,1
2020-03-02,-1
2020-03-03,0
2020-03-04,1
2020-03-05,1
2020-03-06,0
2020-03-07,-2
2020-03-08,-4
2020-03-09,-7
2020-03-10,-6
2020-03-11,-5
2020-03-12,-5
2020-03-13,-5
2020-03-14,-11
2020-03-15,-13
2020-03-16,-13
2020-03-17,-19
2020-03-18,-23
2020-03-19,-26
2020-03-20,-28
2020-03-21,-33
2020-03-22,-36
2020-03-23,-35
2020-03-24,-36
2020-03-25,-36
2020-03-26,-37
2020-03-27,-38
2020-03-28,-41
2020-03-29,-43
2020-03-30,-39
2020-03-31,-38
2020-04-01,-37
2020-04-02,-37
2020-04-03,-37
2020-04-04,-41
2020-04-05,-41
2020-04-06,-37
2020-04-07,-38
2020-04-08,-36
2020-04-09,-38
2020-04-10,-41
2020-04-11,-44
