date,IT,Abruzzo,Aosta,Apulia,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardy,Marche,Molise,Piedmont,Sardinia,Sicily,Trentino-South Tyrol,Tuscany,Umbria,Veneto
2020-02-15,-1,-1,-1,0,0,0,-2,-2,-1,-2,-1,-1,-1,-1,-1,0,0,-1,-2,-2,-2
2020-02-16,-2,-2,0,-1,-1,-1,-2,-2,-1,-3,0,-1,-2,-2,-1,-1,-1,-1,-2,-3,-2
2020-02-17,0,-1,0,-1,-1,0,-1,-1,0,-1,1,0,-1,-1,0,0,0,0,0,-1,0
2020-02-18,0,-1,-1,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,-1,0,-1,0
2020-02-19,0,0,0,0,-1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-1
2020-02-20,0,0,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1
2020-02-21,-1,-1,-1,0,0,1,-1,0,-1,-1,-1,0,0,-1,0,0,0,0,-1,-2,-1
2020-02-22,-1,0,-1,1,0,1,-1,0,-1,-2,-1,0,0,0,0,0,0,-1,-2,-1,-1
2020-02-23,0,-2,-3,-1,-2,0,-2,0,0,-2,1,2,-1,-2,0,-2,-1,-1,0,-1,2
2020-02-24,4,1,3,2,2,2,3,6,5,1,5,9,1,0,5,2,3,4,0,0,6
2020-02-25,5,3,2,2,4,3,5,7,7,1,6,11,2,1,7,2,3,7,1,1,7
2020-02-26,6,2,6,2,2,3,4,8,7,2,6,11,6,2,8,2,4,6,3,2,7
2020-02-27,6,2,7,3,3,4,5,7,6,1,6,10,6,1,7,2,4,6,3,2,7
2020-02-28,5,2,4,3,3,4,5,7,6,1,4,10,6,1,7,1,4,6,1,0,7
2020-02-29,3,1,2,2,2,2,2,5,4,0,5,8,5,1,5,0,2,3,1,1,5
2020-03-01,4,2,2,2,1,1,2,6,9,3,6,7,5,2,3,1,1,6,6,4,8
2020-03-02,5,1,3,1,0,1,2,6,7,2,9,11,3,1,7,2,2,3,3,2,7
2020-03-03,4,1,0,2,1,2,2,7,6,2,4,9,3,1,5,2,2,2,2,2,7
2020-03-04,4,1,1,1,1,2,1,7,6,1,4,8,7,1,5,1,2,1,1,2,5
2020-03-05,7,5,9,5,4,5,5,8,6,6,8,11,7,5,7,5,5,7,7,6,6
2020-03-06,8,6,6,7,7,7,7,8,8,8,5,11,8,7,8,6,6,7,7,7,7
2020-03-07,6,8,5,8,9,8,7,8,5,5,3,7,10,9,5,6,7,4,6,7,5
2020-03-08,6,7,5,8,7,7,6,7,3,4,4,8,8,8,6,4,7,3,5,6,5
2020-03-09,11,9,10,9,9,10,10,12,8,11,11,16,11,9,12,10,9,9,10,9,10
2020-03-10,16,15,15,14,13,14,15,16,13,17,14,20,15,13,16,13,14,13,15,14,14
2020-03-11,19,18,17,16,15,18,18,18,17,21,18,22,18,15,19,16,16,16,18,17,16
2020-03-12,24,24,23,21,20,22,23,23,22,28,25,28,24,20,24,21,21,22,25,23,22
2020-03-13,28,28,27,24,22,25,26,27,27,31,28,31,27,23,28,23,24,27,28,26,27
2020-03-14,25,27,0,24,22,24,24,26,26,24,24,26,28,24,26,23,23,26,25,25,26
2020-03-15,22,23,0,23,20,20,22,22,22,22,21,22,24,21,22,20,22,23,23,23,23
2020-03-16,27,26,27,24,23,25,27,26,26,30,26,30,27,23,27,23,25,28,26,26,26
2020-03-17,29,27,27,26,24,25,28,29,28,32,27,32,29,23,29,24,26,29,28,28,29
2020-03-18,30,28,28,26,25,27,28,30,29,32,29,33,30,25,30,24,26,30,29,29,29
2020-03-19,31,29,30,27,26,27,30,31,30,33,30,34,31,26,31,26,27,32,31,30,30
2020-03-20,32,32,33,28,27,29,31,33,32,34,31,36,33,28,33,26,28,33,32,30,32
2020-03-21,26,28,0,27,25,26,26,28,27,26,26,27,30,27,26,25,25,26,27,27,28
2020-03-22,24,25,0,25,22,23,24,24,24,24,23,24,27,0,24,22,26,25,25,25,25
2020-03-23,32,30,31,28,28,28,30,32,31,33,30,35,33,29,33,26,28,32,32,31,31
2020-03-24,32,33,32,29,28,28,30,34,32,34,31,36,34,30,34,26,29,33,33,32,33
2020-03-25,34,33,33,30,29,30,31,35,34,35,32,37,35,31,35,27,30,34,34,33,33
2020-03-26,35,34,35,31,31,30,33,37,36,37,34,39,38,32,36,28,30,36,37,35,36
2020-03-27,36,35,36,31,30,30,33,38,37,37,34,40,39,32,38,29,31,37,37,35,38
2020-03-28,27,30,0,28,27,27,27,29,28,27,26,28,31,29,27,25,25,27,28,29,28
2020-03-29,24,24,0,25,22,22,23,24,24,24,23,24,26,0,23,22,25,25,25,25,25
2020-03-30,32,30,31,27,27,27,30,33,33,33,30,36,33,28,34,25,28,33,32,31,33
2020-03-31,33,32,32,28,28,27,30,35,33,34,31,37,35,28,34,26,27,33,34,32,34
2020-04-01,33,31,32,29,28,28,30,35,34,34,31,37,35,29,34,26,27,33,34,32,34
2020-04-02,34,32,33,29,28,28,31,35,34,35,32,38,35,29,35,27,29,34,35,33,35
2020-04-03,35,33,34,30,29,30,32,36,36,35,33,39,37,29,37,27,30,35,35,33,36
2020-04-04,27,29,0,27,26,26,26,28,27,26,26,28,31,28,27,24,25,26,28,28,28
2020-04-05,24,25,0,25,22,22,24,24,24,24,23,24,27,0,23,22,25,25,25,25,25
2020-04-06,31,29,30,27,26,26,29,31,31,32,29,34,32,27,32,25,27,31,31,30,31
2020-04-07,31,30,31,27,26,26,29,33,32,33,30,35,33,26,33,25,27,31,32,30,32
2020-04-08,31,29,30,27,25,26,29,33,32,33,30,35,32,26,33,24,26,31,32,30,32
2020-04-09,32,30,32,27,26,27,29,33,32,33,31,35,34,27,33,26,27,32,33,31,32
2020-04-10,33,32,34,28,27,28,31,35,34,34,31,38,35,28,35,26,28,34,34,32,35
2020-04-11,26,28,0,26,25,25,26,27,27,25,25,27,30,27,26,24,24,25,27,27,27
