date,KW,Al Ahmadi Governorate,Al Asimah Governate,Al Farwaniyah Governorate,Al Jahra Governorate,Hawalli Governorate,Mubarak Al-Kabeer Governorate
2020-02-15,1,1,1,1,2,1,3
2020-02-16,0,0,0,-1,1,0,1
2020-02-17,0,0,0,0,1,0,1
2020-02-18,0,0,0,-1,0,0,1
2020-02-19,0,0,0,0,0,-1,1
2020-02-20,-1,0,-1,-1,-1,-1,-1
2020-02-21,1,1,1,0,1,0,1
2020-02-22,0,0,0,0,0,0,0
2020-02-23,-1,-1,-1,-2,-1,-1,0
2020-02-24,-2,-2,-1,-3,-1,-1,0
2020-02-25,13,14,8,17,7,13,6
2020-02-26,14,16,9,18,8,15,9
2020-02-27,10,10,8,11,7,12,10
2020-02-28,6,6,6,5,7,6,6
2020-02-29,3,3,3,3,4,4,4
2020-03-01,3,3,4,3,4,4,5
2020-03-02,4,3,4,3,5,4,5
2020-03-03,4,4,4,3,5,5,6
2020-03-04,4,3,5,3,5,5,6
2020-03-05,5,4,5,4,5,6,6
2020-03-06,5,4,5,4,6,5,5
2020-03-07,4,3,4,3,4,5,6
2020-03-08,4,3,4,3,5,5,6
2020-03-09,4,4,5,3,5,5,6
2020-03-10,5,5,5,3,5,6,6
2020-03-11,4,3,4,3,5,4,6
2020-03-12,12,12,11,12,9,15,13
2020-03-13,11,10,12,9,11,12,12
2020-03-14,11,10,11,12,9,13,13
2020-03-15,15,13,14,15,12,18,16
2020-03-16,16,14,15,17,13,19,16
2020-03-17,17,15,16,17,13,20,16
2020-03-18,19,17,17,21,15,22,18
2020-03-19,20,17,19,20,15,23,20
2020-03-20,16,15,17,14,15,17,0
2020-03-21,14,12,14,14,12,15,15
2020-03-22,28,29,23,32,21,30,23
2020-03-23,23,21,21,25,20,26,22
2020-03-24,23,21,21,24,19,26,22
2020-03-25,23,21,21,25,19,26,22
2020-03-26,25,22,23,26,20,28,24
2020-03-27,20,18,21,18,20,20,0
2020-03-28,19,17,20,21,17,21,0
2020-03-29,23,20,21,24,19,26,21
2020-03-30,24,21,22,25,20,27,23
2020-03-31,24,22,22,25,20,27,23
2020-04-01,25,22,23,28,20,28,23
2020-04-02,28,25,26,31,22,31,26
2020-04-03,22,20,23,20,22,23,0
2020-04-04,22,19,21,24,19,23,0
2020-04-05,25,23,23,28,21,27,22
2020-04-06,25,22,24,27,21,28,23
2020-04-07,30,30,25,36,22,29,24
2020-04-08,30,30,25,38,23,29,24
2020-04-09,33,33,27,41,24,32,26
2020-04-10,23,22,24,24,22,23,0
2020-04-11,25,25,22,31,19,22,0
