date,CO,Amazonas Department,Antioquia,Arauca,Atlantico,Bogota,Bolivar,Boyaca,Caldas,Caquetá,Casanare,Cauca,Cesar,Choco,Cordoba,Cundinamarca,Guaviare,Huila,La Guajira,Magdalena,Meta,Narino,North Santander,Putumayo,Quindio,Risaralda,San Andrés and Providencia,Santander,Sucre,Tolima,Valle del Cauca,Vichada
2020-02-15,1,0,6,-43,-1,3,-11,-7,-21,0,-11,-45,-40,-16,-7,-14,0,0,-29,-36,-12,-21,-17,0,-8,-7,-1,-20,-51,-30,7,0
2020-02-16,-1,0,-2,-37,-9,2,-14,-11,-23,0,-13,-60,-51,-21,-9,-9,0,0,-31,-37,-10,-21,-23,0,-7,-6,-2,-23,-60,-35,2,0
2020-02-17,6,0,9,-8,14,6,-4,8,-3,0,15,0,2,-10,-1,7,0,0,-11,-20,4,-9,-1,0,-2,1,2,0,-15,-6,10,NA
2020-02-18,10,0,8,-5,13,13,-3,11,-4,0,12,0,6,-15,-1,0,0,0,-9,-17,-2,3,-6,0,-2,10,-4,8,-15,0,10,NA
2020-02-19,6,0,5,-10,14,8,0,1,-2,0,5,0,3,-12,-4,-1,0,0,-6,-17,-3,3,-5,0,6,3,-5,4,-1,-6,5,0
2020-02-20,2,0,5,-9,17,0,1,2,1,0,0,0,5,-14,2,4,0,0,-11,-8,0,-9,-8,0,-2,0,-10,4,-3,-5,3,0
2020-02-21,8,0,7,-3,28,12,5,9,-11,0,7,2,3,-22,5,-4,0,0,-2,-11,4,7,5,0,2,2,-9,2,-9,-16,6,0
2020-02-22,2,0,1,3,14,3,1,1,-14,0,-11,2,-1,-10,3,-8,0,0,-16,-15,-6,-4,-11,0,-4,-3,-6,-5,-18,-12,3,0
2020-02-23,-5,0,-5,3,9,-7,-13,-1,-16,0,-11,4,-16,-18,-5,-7,0,0,-35,-24,-12,-5,-18,0,-2,-4,-3,-9,-36,-7,-5,0
2020-02-24,6,0,5,6,-14,11,-1,11,-5,0,13,0,-2,-8,0,9,0,0,-22,-20,1,-2,-1,0,-8,-2,-4,1,-19,-4,3,NA
2020-02-25,8,0,3,0,-14,15,2,6,-13,0,3,0,5,-22,-2,-4,0,0,-14,-7,-5,0,-13,0,0,8,-6,1,-6,-7,4,0
2020-02-26,7,0,1,-7,9,13,-1,2,-4,0,-2,0,-4,-16,-6,-5,0,0,-11,-16,3,-7,-9,0,4,6,-8,0,-10,-10,4,NA
2020-02-27,4,0,3,-15,14,6,-1,-8,1,0,11,0,0,-19,2,-4,0,0,-11,-17,-3,1,-1,0,-2,7,-10,-3,-15,-6,5,0
2020-02-28,10,0,12,-10,12,14,1,-4,-7,0,15,-9,1,-6,3,-5,0,0,-5,-22,-1,-5,4,0,3,12,0,-1,-24,-13,6,0
2020-02-29,8,0,14,-7,2,8,-8,-5,-4,0,0,-10,-3,-7,5,-5,0,0,-14,-24,-7,2,-7,0,4,2,-1,-2,-28,-8,7,0
2020-03-01,4,0,2,0,-3,6,-15,-8,-10,0,-6,-2,-13,-6,-2,1,0,0,-23,-29,-5,-12,-11,0,-11,-1,-1,-7,-40,-13,2,0
2020-03-02,12,0,19,-6,7,14,-2,2,3,0,12,0,5,-3,1,14,0,0,-6,-23,0,-6,-7,0,-3,7,-2,-2,-27,4,6,NA
2020-03-03,15,0,14,-6,7,20,-2,-4,-4,0,5,0,9,-16,0,12,0,0,-11,-22,-8,-3,-1,0,-2,8,-1,4,-29,-5,11,0
2020-03-04,9,0,10,-15,7,12,-6,-6,-3,0,6,0,6,-16,-7,23,0,0,-20,-23,-3,-12,-3,0,4,6,-8,2,-27,-3,8,0
2020-03-05,9,0,12,-4,7,9,2,-5,-2,0,6,0,-2,-10,3,13,0,0,-14,-21,3,-9,4,0,-8,3,-12,0,-20,-5,9,0
2020-03-06,12,0,11,-4,5,17,-5,-1,-9,0,23,0,-3,-10,2,15,0,0,-7,-24,1,-23,12,0,-5,5,-1,-2,-28,-11,10,0
2020-03-07,4,0,7,3,0,4,-11,-10,-9,0,0,0,-7,-7,2,2,0,0,-16,-27,-6,-19,-7,0,-8,-5,-2,-5,-28,-8,5,0
2020-03-08,1,0,-2,-3,-7,2,-11,-16,-16,0,-15,-15,-12,-8,-2,3,0,0,-29,-29,-17,-12,-15,0,-14,-6,1,-8,-41,-16,0,0
