date,US,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2020-02-15,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,0,0,-1,-1,-1,0,-1,-1,1,-1,0,0,-1,-1,-1,0,-1,0,0,0,-1,0,-1,-1,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,-1,0
2020-02-16,-1,1,-1,-1,-1,-1,0,0,-1,-1,0,1,-1,0,-1,-1,-1,-1,0,0,-2,-1,0,-1,-1,1,-1,0,-1,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,-1,0,-2,-1,-1,0,-2,0,-1,0,-2,0
2020-02-17,5,4,8,5,5,8,5,6,4,11,4,4,11,3,6,4,4,3,4,2,6,8,9,4,5,4,5,5,4,6,5,8,4,9,2,5,5,5,4,5,7,3,6,4,4,7,4,6,6,4,3,6
2020-02-18,1,2,2,0,1,0,3,3,-1,1,0,3,1,0,0,0,0,0,1,0,5,0,3,2,1,1,0,0,0,0,3,1,-1,3,0,1,0,0,0,0,3,2,1,1,0,0,3,0,0,0,0,0
2020-02-19,0,0,2,0,-1,0,2,0,0,1,0,1,1,0,0,0,0,-1,0,0,2,0,2,0,0,0,-2,0,1,0,1,0,0,2,0,1,0,-1,-1,0,1,1,1,-1,1,0,1,0,-1,0,0,0
2020-02-20,1,3,0,0,0,0,0,0,0,2,0,4,0,0,0,0,1,1,0,3,2,0,2,0,1,3,0,-1,1,0,0,0,0,2,7,0,0,0,-1,0,1,4,0,2,1,0,1,2,0,1,0,0
2020-02-21,0,0,0,0,-1,0,-1,1,0,2,1,0,0,-1,-1,-1,-3,-3,0,0,3,0,3,1,0,0,-2,-1,-1,0,1,1,-1,3,9,0,0,0,-1,1,2,1,-1,0,-1,-1,1,3,-1,1,1,0
2020-02-22,-1,-1,-1,3,0,1,-1,-2,-1,-1,0,-1,-1,-1,-2,-2,-2,-1,-2,-2,-1,-2,-1,-2,-1,-1,-2,-1,-2,1,-1,-1,0,-1,0,-2,-2,0,-2,-1,-1,-1,-1,-2,-1,0,-1,-1,-1,-1,-2,-1
2020-02-23,-1,0,-1,0,1,0,2,-1,-1,-1,0,-1,0,-1,-2,-1,-2,0,-1,-2,-2,-1,-1,-2,-2,0,-1,0,-1,-1,-2,-1,1,-1,0,-2,-1,1,0,-1,-1,-1,-2,0,0,-1,-2,-1,0,-1,-2,0
2020-02-24,0,2,0,0,1,0,0,0,-1,1,0,1,0,-2,0,1,0,0,2,3,0,0,-1,0,-1,2,1,0,0,0,1,0,-1,0,0,0,1,1,-1,0,-1,1,1,2,0,0,1,0,-1,1,0,1
2020-02-25,0,0,0,0,0,-1,1,0,1,0,0,0,1,-1,1,0,1,1,0,5,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,-1,0,0,1,4,-1,-1,-1,1,0,0,0,0,3
2020-02-26,-1,-1,0,-1,-2,-1,-1,0,-1,0,0,-1,0,-1,1,2,-1,-2,0,0,-1,0,0,5,-1,-1,-2,-1,-1,-1,1,0,-1,0,-2,-1,0,-2,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,0,-1
2020-02-27,0,-1,-1,-1,-2,-1,-1,0,0,0,-1,-1,0,-1,0,1,0,-1,0,0,5,0,0,3,0,-2,-1,-1,0,-1,3,0,-1,1,-1,0,2,-2,-1,1,0,-1,-1,-1,-2,-1,3,-1,-1,2,0,-1
2020-02-28,-1,-1,-2,-1,-3,-1,-2,0,-1,-1,-1,-2,-1,-2,-1,-1,-3,-5,-1,0,0,0,0,0,-1,-3,-3,-1,-3,-1,2,0,-3,1,-2,0,0,-2,-1,0,-1,-2,-1,-1,-2,-2,2,-1,-2,1,0,-2
2020-02-29,-2,-3,-2,-2,-3,-1,-1,-2,-1,-1,-2,-3,0,-2,-3,-3,-3,-3,-2,-2,-1,-1,-1,-2,-1,-4,-4,-2,-3,-1,-2,-1,-3,0,-2,-2,-2,-3,-1,-1,-1,-3,-2,-3,-3,-2,-1,-1,-1,-1,-2,-2
2020-03-01,-1,-2,-1,-1,-2,0,0,-1,-1,-2,-1,-2,1,-2,-3,-2,-3,-2,-2,-2,-2,-1,-1,-2,-2,-2,-3,-1,-2,0,-1,-1,-2,-1,-2,-1,-2,-3,-1,-1,-1,-2,-2,-2,-2,1,-2,-1,-1,-2,-3,2
