date,total,Bogota,Bolivar,Boyaca,Caldas,Caquetá,Casanare,Cauca,Cesar,Choco,Cordoba,Huila,La Guajira,Magdalena,Meta,Narino,North Santander,Putumayo,Quindio,Risaralda,San Andrés and Providencia,Tolima,Valle del Cauca
2020-02-29,7.565745725177824,8.186362510087896,-7.746978142578629,-4.638501946377807,-3.7550240432064097,NA,NA,NA,-2.8676376074017402,-6.846438268651773,5.054298664609723,NA,-14.475959173316188,-24.157088706899547,-6.7497401931662155,2.459000615748711,-6.792311764523788,NA,NA,2.2125231729408283,-0.6461124656679783,-7.8301224893182955,7.158000607761291
2020-03-01,3.676833529851232,6.183956649293844,-14.67062445092374,-7.778895709580073,-9.865857983062346,NA,-6.357162590887348,NA,-13.066977102973706,-6.448222167531873,-2.075598749787566,NA,-22.695343429028455,-28.92752514111074,-4.785407569769072,-12.448929633617405,-10.93002419881738,NA,NA,-1.33368121574482,-1.2066534887102867,-12.504636661329377,1.6758505190399147
2020-03-02,11.872388625228613,13.820039686186428,-2.0391823336248738,1.765456998528729,2.759855883835836,NA,11.619581435863129,NA,5.4492766675676165,-3.2241110837659366,0.887761867114682,NA,-6.031649655548412,-22.66825710941009,NA,-6.128380228207324,-7.155876455403142,NA,NA,7.22731872694086,-1.8777643533475619,3.8863303646836647,6.415425463979811
2020-03-03,14.62539463501672,19.64096473858059,-1.80367113453017,-3.753386404119218,-3.8630267891846115,NA,4.668675730380947,NA,8.76839024251226,-16.41034159362055,0.23488299939859295,NA,-11.264526265079176,-22.528347464798312,-8.039677677194693,-3.1119933920147957,-0.8415849325910952,NA,NA,7.534720683460078,-1.3095315152377776,-4.566294524103428,10.776489343412416
2020-03-04,9.532293350494804,12.092773561990033,-6.038085905245108,-5.492108521112628,-3.4242656336481665,NA,6.035910277676617,NA,5.67023206693713,-15.934401386017008,-6.789556741799327,NA,-19.56465292255496,-23.394822367290555,-2.7342429541785385,-12.277793898695547,-2.5911197810290405,NA,NA,6.189475757752152,-7.966797456138195,-2.6872949737068414,7.8736080420409795
2020-03-05,8.683175360315046,9.190431479407813,1.5135902673525472,-5.425271317274332,-2.2198421539448265,NA,6.035910277676617,NA,-2.2640754558772245,-10.140597003940005,2.8195546989031093,NA,-14.303900960034408,-21.088725466448174,2.6802141590359843,-8.536709369370234,3.6106398136536817,NA,NA,3.3978034441591296,-12.288636047176237,-5.302762747474976,9.232587974434841
2020-03-06,11.904521756361243,16.600097441391913,-5.45122263270424,-0.5375620822994452,-9.251592365311323,NA,22.857675749788513,NA,-3.483634478371293,-10.122365423406805,1.9164535338685198,NA,-6.601652563236094,-24.168667436108795,1.3401070795179921,-22.573663895195498,12.523745608307031,NA,NA,5.200778555906643,-1.1441574912870447,-10.848780278742373,10.003093960200317
2020-03-07,3.890518851883224,4.29237096018496,-11.208801296751185,-10.306296831865387,-9.387560108016023,NA,NA,NA,-7.168137501623963,-6.846438268651773,1.6173372244303115,NA,-15.682289104425871,-27.607550011256183,-6.000090660563278,-18.442504618115333,-6.792311764523788,NA,NA,-4.977213496619939,-1.9383373970039348,-8.40952856882387,5.311675639370764
2020-03-08,0.6603358447755544,2.249840554470416,-11.328471621494428,-16.113495028215702,-15.695113335189399,NA,-14.833060676045468,NA,-12.250111687122777,-8.06123726628501,-2.3066469247061825,NA,-29.371009860547773,-29.417691344302337,-17.547780822370942,-12.448929633617405,-14.573365598423171,NA,NA,-5.6691088094124105,1.2066534887102867,-16.11706597024677,0.4844556385500443
2020-03-09,7.561729083786246,10.021582767046567,-6.116589638276675,-9.416407203618348,-5.518747457439723,NA,6.639214473021769,NA,-3.892067186296758,-4.836166625648905,-0.887761867114682,NA,-14.475959173316188,-21.38494795538483,-3.5639708795820466,-1.5325730898309424,-7.155876455403142,NA,NA,2.944891470604169,NA,-2.591525373788565,4.040340762857726
2020-03-10,12.64037045929848,19.961005751636886,-9.918276514720043,-11.885564476844575,-5.518747457439723,NA,4.668675730380947,NA,-2.3912922009687625,-14.918230660508636,-1.6451397019101448,NA,-11.264526265079176,-25.561009623521166,-3.3497852988383503,-6.2239867840295915,-10.102866436499273,NA,NA,2.152777338131451,-1.9633357959732314,-4.917768955803504,6.201610052929891
2020-03-11,8.470293366561371,13.300331294835301,-6.770468292673759,-13.423774982323094,-6.848531267296333,NA,3.0184331928758246,NA,0.8101697976882167,-8.69166612998567,-4.160784560775075,NA,-10.358096683376841,-22.095110013552194,-4.102329231181067,-13.6420994502793,-8.63706593676347,NA,NA,3.4980222638393763,-4.552593043062317,-7.389582329694223,4.924496381523612
2020-03-12,3.306499193547667,4.4433156767906175,-6.055318432008135,-15.069879831140579,-9.434811309381487,NA,3.0184331928758246,NA,3.0197237913833535,-20.280234451009843,-1.174414996992965,NA,-3.575734935241449,-18.39667092529744,-5.3604283180719685,-7.113127753176676,-10.830957629609511,NA,NA,-4.966613429153759,-9.216717404603035,-7.954622969212054,3.0213465966828807
2020-03-13,3.8158093219998586,8.55990291637152,-15.231638933320067,-18.816582514875968,-13.216836039082446,NA,3.265109076234064,NA,-5.574580378898379,-17.713419823309284,-2.1292862925072447,NA,-1.1005958335622201,-22.250457963776302,-6.699570597676701,-7.966894296669522,-4.472422784626963,NA,NA,-2.600871099201784,-7.439908124016095,-18.52279832019388,1.1085654870200816
2020-03-14,-3.8037593978251225,-3.024626409958954,-20.439691466146037,-25.76669689686116,-18.30646544330521,NA,-5.432606082331466,NA,-12.902456199547057,-19.169067595354797,-1.6173372244303115,NA,-9.650639448877458,-25.451011696033284,-11.24956698861036,-19.67200492598969,-15.28318237585429,NA,NA,-11.337253976327897,-2.5844498626719132,-17.110196721399298,-0.9939527216374667
