date,KZ
2020-02-15,7
2020-02-16,-1
2020-02-17,1
2020-02-18,0
2020-02-19,-5
2020-02-20,3
2020-02-21,6
2020-02-22,5
2020-02-23,4
2020-02-24,0
2020-02-25,3
2020-02-26,0
2020-02-27,-4
2020-02-28,6
2020-02-29,9
2020-03-01,11
2020-03-02,7
2020-03-03,7
2020-03-04,8
2020-03-05,17
2020-03-06,21
2020-03-07,20
2020-03-08,28
2020-03-09,6
2020-03-10,6
2020-03-11,6
2020-03-12,8
2020-03-13,7
2020-03-14,2
2020-03-15,-1
2020-03-16,-5
2020-03-17,-8
2020-03-18,-11
2020-03-19,-21
2020-03-20,-22
2020-03-21,-32
2020-03-22,-37
2020-03-23,-39
2020-03-24,-36
2020-03-25,-38
2020-03-26,-32
2020-03-27,-32
2020-03-28,-43
2020-03-29,-45
2020-03-30,-45
2020-03-31,-47
2020-04-01,-54
2020-04-02,-56
2020-04-03,-55
2020-04-04,-60
2020-04-05,-62
2020-04-06,-56
2020-04-07,-62
2020-04-08,-63
2020-04-09,-61
2020-04-10,-57
2020-04-11,-58
