date,JP,Aichi,Akita,Aomori,Chiba,Ehime,Fukui,Fukuoka,Fukushima,Gifu,Gunma,Hiroshima,Hokkaido,Hyogo,Ibaraki,Ishikawa,Iwate,Kagawa,Kagoshima,Kanagawa,Kochi,Kumamoto,Kyoto,Mie,Miyagi,Miyazaki,Nagano,Nagasaki,Nara,Niigata,Oita,Okayama,Okinawa,Osaka,Saga,Saitama,Shiga,Shimane,Shizuoka,Tochigi,Tokushima,Tokyo,Tottori,Toyama,Wakayama,Yamagata,Yamaguchi,Yamanashi
2020-02-15,7,8,38,10,9,-3,26,7,23,-2,11,-5,-1,2,15,15,12,6,-18,11,10,0,-2,-10,19,-16,6,-11,-15,14,-6,12,9,2,-9,11,13,12,16,2,0,9,21,16,-4,9,10,5
2020-02-16,-35,-42,-10,-19,-41,-37,-35,-30,-33,-44,-22,-43,-14,-48,-36,-33,-27,-29,-37,-43,-16,-24,-27,-44,-35,-27,-31,-35,-41,-16,-27,-35,-15,-42,-30,-36,-41,-27,-45,-39,-17,-37,-18,-30,-36,-26,-25,-33
2020-02-17,-5,1,1,1,-1,-18,-1,-19,-4,-2,2,-6,-13,-5,-14,-5,-7,6,-15,5,2,-20,0,-11,1,0,3,-22,-14,-7,-13,-6,-9,-8,-15,-14,-5,-16,9,-11,-8,-2,-8,-4,-2,0,-9,4
2020-02-18,1,0,-8,-1,9,4,-2,-3,-6,-11,4,3,-9,3,3,-8,-10,6,-8,10,9,-5,-5,-12,-6,-6,-5,-16,-11,-2,-10,12,-6,-6,-5,4,-8,-13,13,1,8,3,-16,-18,2,-4,2,1
2020-02-19,8,6,5,10,17,6,18,20,17,1,9,7,-7,8,19,20,6,16,5,15,5,10,12,0,15,11,5,5,9,10,3,10,10,13,18,14,9,8,14,10,8,8,18,12,15,13,11,9
2020-02-20,4,5,8,3,1,7,18,10,7,0,8,7,-7,5,-2,3,3,14,8,6,9,13,7,-2,11,15,0,5,6,0,2,6,6,8,12,1,10,16,14,0,1,-1,13,7,8,10,18,0
2020-02-21,7,9,2,-2,9,8,15,7,6,3,13,6,-7,9,11,14,-1,16,7,15,9,13,11,3,8,-1,5,-1,12,15,6,10,8,7,12,6,18,10,21,7,7,0,17,19,11,1,9,7
2020-02-22,-10,-23,-1,2,-7,-23,-7,-6,5,-33,13,-16,-13,-25,-4,-16,0,-4,-5,-3,-3,-14,-27,-27,16,-2,-8,-3,-32,-5,-7,-16,0,-29,-1,2,-23,-15,-7,-1,-7,-7,-6,-18,-27,-2,-3,-8
2020-02-23,16,-3,-25,-21,33,48,-14,34,-19,-4,-1,14,-29,19,32,-7,-21,47,27,29,48,39,16,8,-27,25,9,34,31,-21,36,25,21,7,43,11,5,39,48,-1,35,14,26,-22,44,-27,60,47
2020-02-24,54,53,15,-5,69,84,91,71,26,67,64,46,-7,64,76,75,5,104,54,69,72,58,61,57,23,66,54,42,75,17,53,72,30,56,88,63,110,83,76,58,61,31,93,75,72,14,87,87
2020-02-25,0,-1,3,0,1,12,-2,-6,-5,-10,1,4,-13,3,-6,-6,5,16,-1,1,29,-6,-5,-4,0,0,-8,-12,-5,-2,-1,7,-8,-4,-6,4,-4,5,7,-9,19,-5,6,-11,7,11,5,-9
2020-02-26,-5,5,17,9,-13,2,16,9,8,-2,-6,7,-8,1,-4,7,8,11,4,-13,14,0,4,-1,3,6,-7,4,-1,9,-2,5,-6,0,11,-9,6,1,-10,-5,1,-15,7,3,0,16,7,-14
2020-02-27,-4,-1,5,2,-2,4,10,-3,-1,-7,0,4,-13,-4,-4,-4,5,13,9,2,8,3,-8,-5,3,7,-10,3,-6,0,-7,0,-7,-9,-1,-5,-5,6,1,-3,-2,-9,1,3,1,2,9,-4
2020-02-28,-4,0,-3,-6,3,-5,3,-19,-2,-6,3,-4,-21,-2,4,-7,-4,9,-3,3,4,-12,-2,-4,0,-11,-6,-17,-2,0,-12,2,-6,-3,-12,-1,-1,2,1,0,-3,-6,3,2,-2,-7,-8,-3
2020-02-29,-22,-31,2,-8,-5,-48,-3,-50,-6,-36,3,-44,-32,-37,-9,-6,0,-40,-31,-4,-39,-52,-37,-43,-5,-40,-15,-40,-44,-9,-48,-39,-17,-43,-45,-1,-34,-28,-24,-17,-43,-8,-23,8,-42,-6,-40,-20
2020-03-01,-1,8,-20,-16,24,-17,-1,-14,-6,-8,7,-11,-45,-9,24,-3,-11,3,-41,11,-25,-41,-3,-3,-3,-46,-10,-27,12,-9,-32,-2,-30,-3,-31,23,1,6,-2,0,-1,12,-1,2,3,-10,4,-5
2020-03-02,-15,8,0,-9,-39,-1,6,7,-17,-10,-17,4,-24,6,-34,-6,-9,11,2,-39,5,0,1,-6,-18,-2,-6,0,1,-1,-8,7,-27,4,-3,-39,4,-4,-19,-31,9,-38,1,2,3,-7,6,-28
2020-03-03,11,19,-1,-5,26,16,9,12,2,5,19,15,-26,14,13,4,-4,22,2,20,14,4,8,6,4,-2,4,-7,14,0,-8,29,-15,12,-1,26,20,12,9,12,14,11,11,4,12,10,12,2
