date,AO
2020-02-15,3
2020-02-16,1
2020-02-17,-3
2020-02-18,-1
2020-02-19,-7
2020-02-20,-3
2020-02-21,0
2020-02-22,4
2020-02-23,-8
2020-02-24,-25
2020-02-25,-28
2020-02-26,-7
2020-02-27,-3
2020-02-28,0
2020-02-29,4
2020-03-01,6
2020-03-02,3
2020-03-03,0
2020-03-04,-3
2020-03-05,0
2020-03-06,-3
2020-03-07,4
2020-03-08,-3
2020-03-09,-5
2020-03-10,-6
2020-03-11,-11
2020-03-12,-4
2020-03-13,-10
2020-03-14,-4
2020-03-15,-8
2020-03-16,-12
2020-03-17,-17
2020-03-18,-12
2020-03-19,-5
2020-03-20,-21
2020-03-21,-8
2020-03-22,-41
2020-03-23,-52
2020-03-24,-36
2020-03-25,-41
2020-03-26,-25
2020-03-27,-52
2020-03-28,-41
2020-03-29,-57
2020-03-30,-59
2020-03-31,-62
2020-04-01,-61
2020-04-02,-60
2020-04-03,-63
2020-04-04,-56
2020-04-05,-63
2020-04-06,-59
2020-04-07,-61
2020-04-08,-62
2020-04-09,-58
2020-04-10,-65
2020-04-11,-44
