date,GW
2020-02-15,-1
2020-02-16,-2
2020-02-17,-7
2020-02-18,1
2020-02-19,-7
2020-02-20,9
2020-02-21,3
2020-02-22,-7
2020-02-23,-4
2020-02-24,-15
2020-02-25,-19
2020-02-26,-18
2020-02-27,-4
2020-02-28,-2
2020-02-29,-8
2020-03-01,-2
2020-03-02,-7
2020-03-03,-8
2020-03-04,-8
2020-03-05,1
2020-03-06,-3
2020-03-07,-9
2020-03-08,-9
2020-03-09,-22
2020-03-10,-23
2020-03-11,-16
2020-03-12,-13
2020-03-13,-18
2020-03-14,-28
2020-03-15,-22
2020-03-16,-29
2020-03-17,-27
2020-03-18,-30
2020-03-19,-44
2020-03-20,-34
2020-03-21,-37
2020-03-22,-46
2020-03-23,-39
2020-03-24,-48
2020-03-25,-42
2020-03-26,-46
2020-03-27,-50
2020-03-28,-58
2020-03-29,-50
2020-03-30,-57
2020-03-31,-61
2020-04-01,-54
2020-04-02,-50
2020-04-03,-50
2020-04-04,-57
2020-04-05,-64
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,0
