date,PA
2020-02-15,10
2020-02-16,11
2020-02-17,4
2020-02-18,2
2020-02-19,1
2020-02-20,7
2020-02-21,4
2020-02-22,-7
2020-02-23,-8
2020-02-24,-21
2020-02-25,-35
2020-02-26,-14
2020-02-27,2
2020-02-28,5
2020-02-29,14
2020-03-01,16
2020-03-02,4
2020-03-03,1
2020-03-04,-3
2020-03-05,0
2020-03-06,-2
2020-03-07,2
2020-03-08,1
2020-03-09,-4
2020-03-10,-5
2020-03-11,-16
2020-03-12,-17
2020-03-13,-18
2020-03-14,-22
2020-03-15,-37
2020-03-16,-29
2020-03-17,-39
2020-03-18,-46
2020-03-19,-50
2020-03-20,-50
2020-03-21,-64
2020-03-22,-69
2020-03-23,-63
2020-03-24,-70
2020-03-25,-82
2020-03-26,-81
2020-03-27,-81
2020-03-28,-82
2020-03-29,-84
2020-03-30,-80
2020-03-31,-79
2020-04-01,-85
2020-04-02,-81
2020-04-03,-85
2020-04-04,-83
2020-04-05,-95
2020-04-06,-82
2020-04-07,-79
2020-04-08,-82
2020-04-09,-78
2020-04-10,-89
2020-04-11,-96
