date,TH
2020-02-15,7
2020-02-16,2
2020-02-17,2
2020-02-18,0
2020-02-19,0
2020-02-20,1
2020-02-21,1
2020-02-22,4
2020-02-23,2
2020-02-24,0
2020-02-25,-2
2020-02-26,-1
2020-02-27,-1
2020-02-28,-1
2020-02-29,5
2020-03-01,3
2020-03-02,-2
2020-03-03,-4
2020-03-04,-4
2020-03-05,-4
2020-03-06,-6
2020-03-07,2
2020-03-08,1
2020-03-09,-6
2020-03-10,-7
2020-03-11,-7
2020-03-12,-7
2020-03-13,-7
2020-03-14,3
2020-03-15,-2
2020-03-16,-10
2020-03-17,-12
2020-03-18,-13
2020-03-19,-14
2020-03-20,-15
2020-03-21,-4
2020-03-22,-10
2020-03-23,-20
2020-03-24,-23
2020-03-25,-24
2020-03-26,-26
2020-03-27,-26
2020-03-28,-14
2020-03-29,-21
2020-03-30,-27
2020-03-31,-28
2020-04-01,-30
2020-04-02,-30
2020-04-03,-30
2020-04-04,-19
2020-04-05,-25
2020-04-06,-49
2020-04-07,-32
2020-04-08,-32
2020-04-09,-32
2020-04-10,-32
2020-04-11,-22
