date,TH
2020-02-15,-2
2020-02-16,-4
2020-02-17,-4
2020-02-18,-6
2020-02-19,-6
2020-02-20,-4
2020-02-21,-5
2020-02-22,-6
2020-02-23,-8
2020-02-24,-7
2020-02-25,-7
2020-02-26,-8
2020-02-27,-8
2020-02-28,-6
2020-02-29,-7
2020-03-01,-8
2020-03-02,-9
2020-03-03,-10
2020-03-04,-11
2020-03-05,-9
2020-03-06,-11
2020-03-07,-13
2020-03-08,-15
2020-03-09,-13
2020-03-10,-13
2020-03-11,-15
2020-03-12,-15
2020-03-13,-17
2020-03-14,-20
2020-03-15,-23
2020-03-16,-18
2020-03-17,-21
2020-03-18,-24
2020-03-19,-26
2020-03-20,-30
2020-03-21,-33
2020-03-22,-41
2020-03-23,-39
2020-03-24,-42
2020-03-25,-42
2020-03-26,-50
2020-03-27,-54
2020-03-28,-57
2020-03-29,-61
2020-03-30,-53
2020-03-31,-53
2020-04-01,-55
2020-04-02,-57
2020-04-03,-60
2020-04-04,-62
2020-04-05,-66
2020-04-06,-67
2020-04-07,-58
2020-04-08,-60
2020-04-09,-60
2020-04-10,-61
2020-04-11,-63
