date,AT,Burgenland,Carinthia,Lower Austria,Salzburg,Styria,Tyrol,Upper Austria,Vienna,Vorarlberg
2020-02-15,0,-7,-3,3,0,1,-1,-1,2,-2
2020-02-16,1,-2,0,3,1,0,1,-1,2,2
2020-02-17,-4,3,2,4,1,-19,1,-19,2,1
2020-02-18,-4,2,2,2,2,-19,2,-19,4,2
2020-02-19,-5,2,1,2,2,-19,1,-19,2,1
2020-02-20,-5,3,1,2,1,-20,1,-20,1,0
2020-02-21,-5,4,1,2,0,-19,0,-20,1,1
2020-02-22,2,5,3,4,4,-1,1,-1,2,4
2020-02-23,2,0,2,5,1,4,2,2,1,6
2020-02-24,2,2,1,4,1,1,2,1,3,-3
2020-02-25,0,-1,1,1,1,-3,0,0,5,-11
2020-02-26,0,-1,-1,1,0,-1,0,-1,1,-1
2020-02-27,1,3,2,2,2,1,2,1,1,0
2020-02-28,1,2,1,1,-1,2,1,1,0,1
2020-02-29,1,-1,0,0,1,1,0,1,1,0
2020-03-01,2,0,-2,5,1,3,0,2,0,5
2020-03-02,3,4,2,4,2,3,1,2,3,1
2020-03-03,2,3,1,1,2,2,2,1,3,1
2020-03-04,2,3,1,1,2,2,1,2,1,1
2020-03-05,1,3,1,1,2,2,2,2,1,0
2020-03-06,1,4,-1,0,1,2,2,2,0,1
2020-03-07,0,1,-1,0,0,1,-2,0,0,0
2020-03-08,1,0,0,2,0,4,-2,4,1,1
2020-03-09,1,3,1,2,-1,1,-1,1,1,0
2020-03-10,1,1,0,0,1,1,-1,1,2,0
2020-03-11,-1,1,-1,-1,0,0,-1,0,-3,-1
2020-03-12,-3,0,-3,-2,-2,-2,-3,-2,-5,-4
2020-03-13,-6,-4,-5,-6,-4,-4,-5,-4,-10,-4
2020-03-14,-9,-11,-11,-8,-6,-10,-12,-8,-10,-10
2020-03-15,-18,-23,-21,-17,-15,-17,-27,-16,-16,-14
2020-03-16,-43,-43,-41,-42,-40,-42,-47,-39,-52,-37
2020-03-17,-55,-55,-51,-55,-53,-54,-55,-51,-63,-46
2020-03-18,-58,-58,-54,-57,-56,-56,-58,-53,-65,-50
2020-03-19,-60,-59,-56,-59,-59,-58,-61,-56,-67,-53
2020-03-20,-59,-58,-57,-59,-59,-58,-62,-56,-66,-53
2020-03-21,-54,-53,-52,-50,-59,-51,-63,-49,-55,-52
2020-03-22,-54,-54,-52,-49,-60,-50,-67,-49,-54,-57
2020-03-23,-60,-60,-56,-59,-59,-59,-62,-56,-68,-53
2020-03-24,-61,-62,-58,-61,-60,-60,-63,-57,-68,-54
2020-03-25,-62,-62,-58,-61,-60,-60,-62,-57,-69,-54
2020-03-26,-62,-62,-59,-61,-61,-61,-62,-58,-69,-55
2020-03-27,-60,-59,-58,-60,-60,-59,-62,-57,-67,-55
2020-03-28,-49,-47,-48,-44,-56,-47,-60,-44,-50,-50
2020-03-29,-51,-49,-48,-45,-59,-47,-65,-47,-52,-54
2020-03-30,-59,-58,-55,-57,-58,-57,-59,-54,-67,-52
2020-03-31,-59,-59,-55,-59,-58,-58,-59,-55,-67,-51
2020-04-01,-59,-59,-55,-58,-57,-57,-59,-55,-67,-52
2020-04-02,-59,-59,-55,-59,-58,-58,-59,-55,-68,-52
2020-04-03,-59,-59,-56,-59,-60,-58,-59,-56,-67,-52
2020-04-04,-48,-45,-46,-44,-54,-46,-58,-43,-49,-47
2020-04-05,-46,-43,-44,-41,-55,-42,-61,-41,-47,-49
2020-04-06,-58,-58,-55,-57,-57,-57,-57,-54,-66,-50
2020-04-07,-58,-59,-55,-59,-57,-58,-56,-54,-66,-51
2020-04-08,-58,-58,-55,-58,-57,-57,-56,-54,-66,-50
2020-04-09,-59,-59,-57,-59,-58,-59,-57,-56,-66,-52
2020-04-10,-63,-65,-63,-62,-62,-63,-60,-59,-68,-60
2020-04-11,-45,-43,-46,-40,-52,-45,-53,-38,-46,-47
