date,BG,Blagoevgrad Province,Burgas,Dobrich Province,Gabrovo,Haskovo Province,Jambol,Kardzhali Province,Kyustendil Province,Lovec,Montana Province,Pazardzhik,Pernik,Pleven Province,Plovdiv Province,Razgrad,Ruse,Shumen Province,Silistra,Sliven Province,Smoljan,Sofia City Province,Sofia Province,Stara Zagora,Targovishte Province,Varna,Veliko Tarnovo Province,Vidin,Vraca
2020-02-15,-1,-1,2,-1,-3,-1,-3,1,-1,1,-7,-2,2,-1,-3,-3,-5,0,3,0,-3,0,-1,-2,0,-1,-6,12,-5
2020-02-16,4,6,4,5,2,4,4,9,13,6,6,4,6,2,5,9,3,5,3,4,-1,2,4,5,6,1,0,8,4
2020-02-17,3,6,4,6,2,3,4,7,5,3,2,4,4,3,4,5,3,2,4,4,3,2,4,3,3,4,5,4,4
2020-02-18,3,4,4,8,1,4,7,4,11,2,2,4,5,2,4,3,1,2,6,3,4,3,4,3,6,4,3,5,4
2020-02-19,3,4,4,6,1,3,4,-1,8,-1,19,2,2,2,3,1,0,2,3,2,2,3,1,3,4,4,3,3,3
2020-02-20,2,3,3,3,3,2,4,2,5,1,3,3,2,1,4,2,1,-1,4,2,0,2,2,1,2,1,2,0,1
2020-02-21,3,3,3,2,-1,3,5,5,11,1,4,1,5,3,4,2,-1,2,1,4,1,3,3,2,3,2,0,5,3
2020-02-22,-1,-7,1,-1,1,-1,0,3,-8,-1,1,-2,-5,-1,-2,3,-3,0,4,1,4,-1,-2,-1,6,0,0,12,0
2020-02-23,4,6,3,7,6,9,6,5,8,3,8,6,9,4,5,6,3,7,2,6,9,2,4,3,1,2,3,10,2
2020-02-24,3,6,4,5,0,2,6,7,3,2,3,3,3,2,4,3,2,1,0,4,4,2,3,3,2,3,2,5,2
2020-02-25,3,5,4,7,1,3,7,3,10,2,4,5,4,3,3,4,3,1,3,3,4,3,4,3,4,4,4,5,3
2020-02-26,3,3,3,6,2,4,7,0,8,1,20,4,1,4,4,3,3,2,4,3,6,3,3,3,3,4,3,4,3
2020-02-27,3,1,4,4,3,3,4,3,5,2,5,3,1,2,4,4,2,-1,3,4,1,2,1,2,3,2,1,4,4
2020-02-28,2,2,2,3,2,4,4,2,8,2,5,2,2,3,4,4,1,1,2,3,1,2,2,2,3,3,-1,6,2
2020-02-29,3,3,1,2,4,2,1,6,6,6,6,6,6,8,4,0,1,3,3,1,2,3,4,3,4,1,1,11,2
2020-03-01,8,7,8,15,7,10,6,10,12,8,12,9,12,8,9,10,9,11,11,11,8,6,8,8,13,6,6,12,8
2020-03-02,-9,-3,-3,-4,-18,-3,-3,0,-5,-9,-10,-8,-5,-4,-9,-1,-10,-7,-8,-3,-5,-13,-9,-13,-1,-6,-5,-2,-7
2020-03-03,-60,-42,-52,-51,-67,-46,-54,-47,-50,-53,-51,-49,-56,-57,-61,-54,-62,-60,-50,-52,-43,-70,-55,-63,-54,-61,-55,-48,-56
2020-03-04,0,-3,-11,3,3,2,6,-1,5,1,19,3,-10,2,3,1,2,-16,-2,4,2,2,-1,2,3,-8,3,4,1
2020-03-05,-2,-7,-11,0,3,1,5,0,5,-3,4,2,-11,2,3,5,-11,-18,4,2,2,2,-7,-11,3,-11,2,3,1
2020-03-06,-9,-10,-11,-10,-7,-11,-8,-16,-8,-12,-8,-11,-8,-10,-7,-13,-13,-15,-14,-10,-11,-8,-10,-11,-13,-11,-11,-10,-11
2020-03-07,4,1,5,9,12,4,6,9,-1,1,4,7,4,5,5,7,6,4,8,6,8,1,5,9,10,4,5,8,-1
2020-03-08,5,-1,8,19,1,9,16,5,2,0,9,7,3,4,8,18,5,10,15,13,0,-1,-1,9,17,9,4,5,8
