date,NL,Drenthe,Flevoland,Friesland,Gelderland,Groningen,Limburg,North Brabant,North Holland,Overijssel,South Holland,Utrecht,Zeeland
2020-02-15,3,6,5,3,5,7,8,6,0,9,2,9,9
2020-02-16,-5,-12,-9,-16,-5,-6,-1,-5,-7,1,-6,14,13
2020-02-17,-3,-24,-14,-16,2,-17,2,5,-4,-20,2,3,0
2020-02-18,-3,-21,-13,-21,0,-17,3,5,-6,-22,2,0,4
2020-02-19,-3,-19,-15,-17,0,-17,0,4,-5,-20,2,-2,1
2020-02-20,-3,-22,-16,-19,0,-18,4,3,-5,-22,1,-1,-1
2020-02-21,1,-5,-11,-9,3,-15,17,15,-3,-8,4,6,9
2020-02-22,10,35,5,8,5,0,54,58,0,10,2,11,31
2020-02-23,2,33,-5,1,-2,-8,30,36,-5,9,-6,3,17
2020-02-24,-4,-5,-3,-1,-15,2,1,3,4,-2,-12,-12,-9
2020-02-25,-4,1,2,4,-12,4,-11,-2,4,-2,-9,-9,-9
2020-02-26,-7,0,1,3,-15,4,-25,-16,2,1,-11,-9,-22
2020-02-27,-8,-2,3,-1,-18,-1,-23,-17,5,0,-13,-12,-25
2020-02-28,-5,4,3,12,-12,5,-17,-15,3,5,-9,-4,-19
2020-02-29,-3,9,12,9,-5,13,-7,-4,0,7,-6,3,0
2020-03-01,2,8,11,12,-1,10,4,2,0,9,1,5,-1
2020-03-02,-1,-5,0,-2,-1,1,-3,-1,-2,-1,-1,-1,-7
2020-03-03,-2,-3,-1,-1,-1,2,-4,-3,-5,-1,-1,-3,-3
2020-03-04,-1,-2,-2,2,2,0,-3,0,-4,0,-1,-4,-3
2020-03-05,-3,-4,-5,0,-2,-3,-6,-4,-4,-3,-3,-7,-10
2020-03-06,-1,0,-2,8,0,1,-3,0,-3,1,-1,1,-3
2020-03-07,3,15,7,24,6,13,6,2,-1,3,3,5,9
2020-03-08,-3,-5,-4,12,-5,5,-4,-10,-7,6,6,-1,-4
2020-03-09,-4,-1,-6,3,-2,1,-4,-8,-7,2,-4,-5,-2
2020-03-10,-6,-8,-4,-4,-4,-2,-9,-16,-9,-3,-4,-7,-4
2020-03-11,-8,-3,-4,0,-5,-2,-12,-20,-10,-4,-6,-11,-12
2020-03-12,-12,-7,-7,-4,-8,-7,-12,-27,-12,-6,-11,-17,-6
2020-03-13,-26,-20,-22,-11,-24,-21,-24,-37,-27,-24,-27,-34,-15
2020-03-14,-28,-16,-22,-6,-22,-22,-22,-34,-32,-26,-30,-37,-9
2020-03-15,-33,-27,-31,-14,-27,-28,-20,-41,-39,-29,-35,-41,-16
2020-03-16,-49,-46,-49,-37,-49,-47,-42,-54,-50,-53,-50,-62,-38
2020-03-17,-54,-52,-56,-47,-53,-55,-46,-56,-57,-58,-56,-67,-40
2020-03-18,-55,-54,-55,-49,-53,-58,-46,-56,-60,-60,-56,-67,-43
2020-03-19,-61,-60,-60,-50,-59,-61,-52,-62,-65,-65,-62,-73,-49
2020-03-20,-61,-56,-59,-50,-59,-60,-57,-65,-66,-63,-60,-68,-53
2020-03-21,-54,-39,-51,-35,-47,-53,-48,-55,-64,-56,-52,-62,-42
2020-03-22,-57,-43,-55,-39,-49,-55,-49,-60,-69,-54,-55,-61,-43
2020-03-23,-65,-62,-65,-55,-62,-65,-58,-69,-70,-68,-64,-74,-55
2020-03-24,-65,-61,-66,-54,-63,-65,-59,-68,-71,-68,-65,-76,-53
2020-03-25,-64,-61,-65,-51,-61,-63,-57,-67,-71,-67,-63,-74,-54
2020-03-26,-66,-62,-67,-54,-64,-66,-58,-69,-72,-69,-66,-77,-55
2020-03-27,-64,-61,-63,-54,-60,-64,-57,-66,-72,-66,-62,-72,-54
2020-03-28,-61,-48,-56,-44,-51,-58,-48,-61,-73,-61,-59,-68,-47
2020-03-29,-68,-58,-63,-51,-62,-63,-65,-71,-78,-66,-64,-70,-57
2020-03-30,-68,-66,-68,-59,-66,-66,-58,-69,-75,-70,-66,-76,-55
2020-03-31,-64,-59,-64,-53,-62,-64,-56,-66,-72,-68,-65,-75,-54
2020-04-01,-64,-61,-65,-55,-61,-65,-54,-65,-73,-68,-64,-75,-53
2020-04-02,-67,-63,-66,-59,-65,-69,-59,-68,-74,-71,-67,-78,-56
2020-04-03,-65,-60,-64,-56,-63,-65,-59,-67,-74,-67,-64,-74,-55
2020-04-04,-57,-42,-50,-33,-48,-51,-48,-58,-71,-58,-55,-65,-39
2020-04-05,-52,-33,-46,-27,-40,-45,-38,-56,-71,-48,-46,-58,-32
2020-04-06,-63,-57,-62,-53,-58,-59,-52,-65,-72,-65,-63,-73,-55
2020-04-07,-61,-55,-60,-49,-58,-59,-51,-63,-70,-64,-61,-72,-46
2020-04-08,-58,-53,-58,-43,-53,-57,-49,-61,-68,-61,-58,-70,-46
2020-04-09,-61,-57,-60,-48,-57,-62,-50,-63,-70,-63,-61,-73,-49
2020-04-10,-60,-54,-61,-49,-55,-61,-51,-61,-71,-62,-59,-69,-51
2020-04-11,-51,-32,-43,-25,-38,-46,-41,-51,-67,-51,-49,-60,-30
