date,KW,Al Ahmadi Governorate,Al Asimah Governate,Al Farwaniyah Governorate,Al Jahra Governorate,Hawalli Governorate,Mubarak Al-Kabeer Governorate
2020-02-15,3,8,13,-1,0,13,3
2020-02-16,3,9,3,0,-1,12,5
2020-02-17,5,5,11,3,0,15,7
2020-02-18,4,4,4,2,-1,17,8
2020-02-19,5,8,5,3,9,9,8
2020-02-20,8,10,14,6,1,13,9
2020-02-21,1,8,-2,0,25,14,1
2020-02-22,5,13,7,-1,14,12,4
2020-02-23,7,14,6,5,10,14,11
2020-02-24,14,12,1,18,7,16,10
2020-02-25,-4,4,-22,-2,-4,1,-8
2020-02-26,-12,-9,-27,-14,5,2,-9
2020-02-27,-12,-12,-22,-11,-3,1,-11
2020-02-28,-13,-12,-37,-8,7,-2,-12
2020-02-29,0,0,-9,0,5,5,0
2020-03-01,4,3,-1,5,10,6,10
2020-03-02,1,4,5,-3,9,9,5
2020-03-03,0,6,2,-6,7,19,9
2020-03-04,-2,6,0,-7,15,8,10
2020-03-05,-4,6,-2,-9,13,12,3
2020-03-06,-9,-3,-24,-11,13,16,-1
2020-03-07,-9,4,-7,-18,11,14,3
2020-03-08,-10,6,-5,-21,7,12,5
2020-03-09,-10,3,0,-22,1,15,7
2020-03-10,-12,5,-5,-25,4,18,9
2020-03-11,-12,7,-3,-25,11,9,12
2020-03-12,-22,-6,-17,-31,9,-2,-5
2020-03-13,-37,-21,-54,-43,-8,-18,-10
2020-03-14,-38,-18,-36,-49,-19,-23,-19
2020-03-15,-36,-17,-40,-46,-19,-16,-16
2020-03-16,-37,-21,-40,-46,-18,-17,-22
2020-03-17,-40,-27,-42,-50,-20,-17,-23
2020-03-18,-44,-31,-47,-53,-14,-26,-26
2020-03-19,-44,-26,-43,-55,-13,-23,-22
2020-03-20,-53,-39,-64,-61,-11,-30,-24
2020-03-21,-41,-24,-34,-55,-2,-23,-19
2020-03-22,-62,-50,-65,-67,-45,-52,-50
2020-03-23,-50,-42,-52,-56,-26,-43,-40
2020-03-24,-51,-41,-54,-56,-30,-38,-41
2020-03-25,-50,-39,-51,-57,-18,-41,-38
2020-03-26,-53,-40,-52,-59,-27,-44,-39
2020-03-27,-62,-48,-72,-66,-36,-48,-45
2020-03-28,-51,-37,-48,-58,-16,-42,-43
2020-03-29,-49,-37,-53,-55,-18,-40,-42
2020-03-30,-49,-40,-52,-55,-25,-40,-40
2020-03-31,-51,-43,-54,-58,-16,-38,-41
2020-04-01,-53,-45,-54,-60,-14,-42,-40
2020-04-02,-56,-44,-54,-64,-16,-46,-45
2020-04-03,-64,-55,-73,-68,-21,-51,-47
2020-04-04,-53,-39,-52,-61,-10,-43,-41
2020-04-05,-52,-38,-55,-60,-21,-41,-36
2020-04-06,-48,-35,-51,-55,-7,-39,-37
2020-04-07,-58,-41,-60,-67,-25,-43,-43
2020-04-08,-58,-42,-59,-68,-22,-46,-44
2020-04-09,-61,-46,-61,-70,-30,-50,-45
2020-04-10,-66,-53,-74,-74,-21,-50,-43
2020-04-11,-56,-37,-52,-68,-14,-42,-38
