date,JO
2020-02-15,28
2020-02-16,10
2020-02-17,11
2020-02-18,9
2020-02-19,4
2020-02-20,3
2020-02-21,29
2020-02-22,2
2020-02-23,8
2020-02-24,8
2020-02-25,-3
2020-02-26,10
2020-02-27,19
2020-02-28,79
2020-02-29,12
2020-03-01,4
2020-03-02,4
2020-03-03,11
2020-03-04,21
2020-03-05,26
2020-03-06,6
2020-03-07,12
2020-03-08,16
2020-03-09,10
2020-03-10,17
2020-03-11,21
2020-03-12,-10
2020-03-13,-18
2020-03-14,-9
2020-03-15,-4
2020-03-16,-13
2020-03-17,-19
2020-03-18,-48
2020-03-19,-56
2020-03-20,-42
2020-03-21,-75
2020-03-22,-74
2020-03-23,-74
2020-03-24,-66
2020-03-25,-52
2020-03-26,-57
2020-03-27,-58
2020-03-28,-61
2020-03-29,-59
2020-03-30,-58
2020-03-31,-57
2020-04-01,-59
2020-04-02,-59
2020-04-03,-74
2020-04-04,-56
2020-04-05,-56
2020-04-06,-61
2020-04-07,-58
2020-04-08,-58
2020-04-09,-58
2020-04-10,-77
2020-04-11,-78
