date,FJ
2020-02-15,1
2020-02-16,0
2020-02-17,-3
2020-02-18,-4
2020-02-19,-2
2020-02-20,0
2020-02-21,-1
2020-02-22,-1
2020-02-23,2
2020-02-24,0
2020-02-25,2
2020-02-26,-2
2020-02-27,-2
2020-02-28,-3
2020-02-29,0
2020-03-01,1
2020-03-02,-6
2020-03-03,-2
2020-03-04,-3
2020-03-05,0
2020-03-06,-3
2020-03-07,-2
2020-03-08,0
2020-03-09,-5
2020-03-10,-3
2020-03-11,-6
2020-03-12,-10
2020-03-13,-7
2020-03-14,-7
2020-03-15,-2
2020-03-16,-5
2020-03-17,-7
2020-03-18,-13
2020-03-19,-9
2020-03-20,-15
2020-03-21,-23
2020-03-22,-18
2020-03-23,4
2020-03-24,0
2020-03-25,-3
2020-03-26,-7
2020-03-27,-10
2020-03-28,-21
2020-03-29,-13
2020-03-30,-12
2020-03-31,-14
2020-04-01,-15
2020-04-02,-16
2020-04-03,-26
2020-04-04,-31
2020-04-05,-28
2020-04-06,-22
2020-04-07,-23
2020-04-08,-36
2020-04-09,-30
2020-04-10,-37
2020-04-11,-35
