date,total,Greater Poland Voivodeship,Kuyavian-Pomeranian Voivodeship,Lesser Poland Voivodeship,Lower Silesian Voivodeship,Lublin Voivodeship,Lubusz Voivodeship,Masovian Voivodeship,Opole Voivodeship,Podkarpackie Voivodeship,Podlaskie Voivodeship,Pomeranian Voivodeship,Silesian Voivodeship,Swietokrzyskie,Warmian-Masurian Voivodeship,West Pomeranian Voivodeship,Łódź Voivodeship
2020-02-29,3.762573744219585,2.897930151554312,3.591837643755199,2.6368534638141607,2.8034577703801324,5.404129596395432,3.6923315412085094,3.7166082379120726,2.6935738425197453,3.0906608450580824,7.377249621694796,7.0168709436648955,4.721250376227141,1.2785718792268803,5.383279585087247,3.535271365540587,5.509777522177741
2020-03-01,1.575901257102764,-1.248398056698653,2.0789323380544307,0.7584678756651013,2.272376843521068,0.647034196472892,2.3591779855268227,0.41658263823704533,0.5939576597883267,0.8449906851641653,1.0427514148127728,2.8983569879090574,1.3678658261948013,0.875628014258409,2.2135767508109025,3.9234542290624312,0.7030680577048088
2020-03-02,9.50557519253951,25.882240385619696,27.902364603309053,27.102969944869283,3.836008996881299,30.924004352972613,25.935456055263863,3.1416474077185472,2.708060614709704,27.144729016064655,27.59102912546151,24.53483883917938,22.660080646022024,29.630903301082952,26.22393085286581,4.028002232205471,23.909136102276978
2020-03-03,9.098659809831318,2.5695555093398657,2.349059909987123,3.0780914295052653,3.368925232071798,4.800359202064115,2.857172845716057,3.225155908931964,3.0084196914481915,3.99580340950512,26.847719714348436,3.138514867294773,3.210258139847631,3.9577611352432074,2.818157486416324,3.6843490737260334,4.533776322730187
2020-03-04,8.688559179508971,2.1722509130745733,2.804363273280036,2.9329347131232244,3.292510710221573,2.7400408022997653,2.732189699870899,2.6434760039281633,2.8693466784245834,1.437916352381054,15.264802336511263,2.590412610309632,2.7693519500839976,2.5716729843540658,1.4554363714973952,4.027034195139333,3.7265500342542954
2020-03-05,9.341534940410572,2.799322022842685,3.4515240286523516,3.9153861312851177,3.1253539436742055,4.962838814551364,2.2167553309590837,2.850807455216647,3.3995625405770897,5.587441231164628,5.076071522523488,3.0232778203314656,4.131454296674046,3.252609371548382,2.062914458870894,3.877956486953886,4.70255123370185
2020-03-06,9.262700061960256,3.219603270458259,3.3656177336914244,4.894953641174519,2.754743512700614,33.82267909645815,2.393088141376284,2.0512375527939306,1.9045276505733013,30.055889015008766,29.91820379730128,24.86021403060519,24.050039810701712,4.508903104394794,28.384389487928633,2.924439976806712,24.33541330598826
2020-03-07,3.499790816051868,1.670594025260084,1.5921299999425116,2.1706216264281353,2.2475421239197453,8.427788657178857,1.9231902674623174,3.45552418814139,2.6935738425197453,5.6332712344277684,7.641066692478453,5.128532779140117,4.866297946280101,-0.17047625056358404,6.796221463986178,2.930248199203548,5.575358630441015
2020-03-08,4.491199135957346,3.592973854900341,6.882048740758699,1.9562511115063133,5.761654947506971,3.5591687895135897,7.077533956580467,1.3658919221458883,4.006075402930048,3.633937342073235,4.322170915138076,6.018472662831537,5.005582036728308,1.0218888883214838,4.759383171027979,6.277720373913118,4.744986068460438
2020-03-09,9.274644740513335,25.302079939025074,27.36688203138594,26.337772949901705,2.7356398822380577,32.146927826841136,23.983199939930582,2.562847106204864,3.123348084155201,28.319122849682646,27.900099489408788,24.309206637982317,23.40549067490346,31.126444953754394,26.115763053524265,2.997042756767157,23.790511450565468
