date,CA,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Northwest Territories,Nova Scotia,Nunavut,Ontario,Prince Edward Island,Quebec,Saskatchewan,Yukon
2020-02-15,2,3,0,2,-7,-2,-4,-6,0,3,-8,0,-1,7
2020-02-16,8,-2,2,0,22,0,15,51,NA,13,26,7,-2,-2
2020-02-17,-15,-2,9,-24,-50,3,0,-50,0,-37,-60,1,-13,-2
2020-02-18,4,1,8,6,12,-3,7,17,0,12,17,-10,-1,0
2020-02-19,1,4,6,-1,-5,-21,2,-5,0,4,-5,-4,-2,5
2020-02-20,4,9,8,12,1,-2,11,3,0,4,-1,0,14,24
2020-02-21,-1,3,3,3,-4,-2,4,-2,0,-3,-5,-3,3,0
2020-02-22,5,7,3,3,0,2,4,-3,0,6,-3,2,3,11
2020-02-23,6,3,0,4,13,4,19,39,NA,6,11,10,4,6
2020-02-24,2,1,4,1,-2,5,-5,2,0,2,-5,1,1,7
2020-02-25,5,3,3,3,2,4,14,2,0,7,0,3,3,12
2020-02-26,2,7,4,5,10,0,10,4,0,-5,4,3,5,3
2020-02-27,-9,10,4,10,-10,6,11,-7,0,-12,6,-20,12,4
2020-02-28,1,11,4,5,-5,-13,6,2,0,-4,-10,-1,8,11
2020-02-29,7,7,8,7,-1,10,5,-1,0,6,0,4,10,11
2020-03-01,9,10,7,5,9,9,11,32,NA,10,-6,11,4,15
2020-03-02,3,7,4,1,-2,-12,6,4,0,4,2,0,8,17
2020-03-03,6,9,7,7,-1,1,14,5,0,3,3,4,5,10
2020-03-04,4,7,6,1,-6,-6,12,-3,0,4,-4,0,6,3
2020-03-05,5,9,3,8,0,1,8,5,0,6,0,4,9,-6
2020-03-06,-1,9,6,2,-4,7,7,9,0,-4,1,-7,8,12
2020-03-07,5,2,4,7,-7,10,7,-13,0,9,-10,1,4,16
2020-03-08,7,3,6,2,14,-25,4,41,0,10,15,8,1,9
2020-03-09,4,7,6,2,0,7,8,3,0,5,-2,-1,5,12
2020-03-10,1,5,2,7,-9,0,12,1,0,4,-2,-8,6,24
2020-03-11,7,11,8,8,3,-5,-2,1,0,7,0,3,11,12
2020-03-12,27,29,18,33,20,14,3,20,0,32,16,28,30,20
2020-03-13,35,30,27,41,28,29,6,27,0,41,35,30,32,39
2020-03-14,19,12,21,23,12,15,0,17,0,26,11,10,24,18
2020-03-15,11,9,15,3,18,25,-2,64,NA,14,18,7,8,17
2020-03-16,23,31,34,18,17,46,11,34,0,27,14,5,34,37
2020-03-17,13,17,27,19,6,23,14,15,0,15,8,-3,20,36
2020-03-18,7,11,17,13,-1,13,5,0,0,1,7,4,20,8
2020-03-19,4,3,6,12,5,14,-3,4,0,2,-10,3,13,11
2020-03-20,-5,4,1,8,-14,-1,-6,-8,0,-8,-21,-11,7,-6
2020-03-21,-12,-9,-9,-9,-27,-17,-29,-21,0,-12,-29,-15,-9,2
2020-03-22,-21,-21,-21,-21,-22,-17,-41,4,NA,-22,-22,-20,-22,-19
2020-03-23,-13,-11,-16,-11,-26,-10,-32,-21,0,-13,-25,-13,-13,-4
2020-03-24,-15,-16,-17,-11,-29,-22,-41,-39,0,-12,-31,-18,-22,-11
2020-03-25,-21,-11,-16,-14,-21,-48,-28,-21,0,-23,-20,-25,-17,-22
2020-03-26,-21,-12,-22,-7,-20,-26,-23,-30,0,-22,-26,-22,-13,-11
2020-03-27,-21,-11,-22,-5,-22,-38,-26,-24,0,-21,-27,-26,-13,-23
2020-03-28,-27,-21,-28,-13,-30,-26,-32,-29,0,-29,-26,-31,-18,-21
2020-03-29,-35,-29,-28,-21,-20,-38,-44,-7,0,-33,-19,-44,-24,-28
2020-03-30,-27,-22,-25,-12,-31,-33,-21,-26,0,-27,-26,-34,-16,-22
2020-03-31,-19,-21,-20,-4,-27,-33,-18,-25,0,-17,-26,-23,-20,-20
2020-04-01,-21,-13,-22,-14,-29,-30,-18,-30,0,-21,-29,-25,-21,-25
2020-04-02,-23,-15,-22,-28,-28,-29,-40,-32,0,-20,-25,-28,-16,-11
2020-04-03,-23,-16,-21,-24,-23,-24,-19,-27,0,-22,-24,-29,-11,-19
2020-04-04,-25,-20,-24,-23,-32,-27,-26,-36,0,-27,-31,-28,-24,-7
2020-04-05,-45,-33,-30,-29,-23,-25,-41,-15,NA,-32,-20,-78,-29,-26
2020-04-06,-21,-17,-23,-17,-30,-22,0,-27,0,-23,-24,-20,-21,0
2020-04-07,-18,-15,-19,-9,-24,-24,0,-25,0,-18,-15,-23,-12,0
2020-04-08,-17,-8,-19,-12,-16,-17,0,-20,0,-14,-12,-24,-11,0
2020-04-09,-3,9,-7,21,4,0,0,2,0,7,15,-22,19,0
2020-04-10,-43,-17,-19,-63,-79,-75,0,-75,0,-67,-79,-27,-28,0
2020-04-11,-15,-13,-17,0,-15,-7,0,-21,0,-9,-5,-27,-11,0
