date,NG,Abia,Adamawa,Akwa Ibom,Anambra,Bauchi,Bayelsa,Benue,Borno,Cross River,Delta,Ebonyi,Edo,Ekiti,Enugu,Federal Capital Territory,Gombe,Imo,Jigawa,Kaduna,Kano,Katsina,Kebbi,Kogi,Kwara,Lagos,Nasarawa,Niger,Ogun State,Ondo,Osun,Oyo,Plateau,Rivers,Sokoto,Taraba,Yobe,Zamfara
2020-02-15,3,2,0,0,-5,0,0,0,-9,-6,0,0,40,0,-6,7,0,-9,0,-1,-1,0,0,0,1,4,0,0,3,-6,9,-5,-6,2,0,0,0,0
2020-02-16,0,0,0,0,-3,0,0,0,0,6,0,0,39,0,-12,13,0,-7,0,-2,-2,0,0,0,2,0,0,0,3,-10,8,-14,-15,1,0,0,0,0
2020-02-17,0,-2,0,0,-2,0,0,0,0,0,0,0,48,0,-7,12,0,-6,0,-3,-4,0,0,0,0,0,0,0,-2,-14,13,-3,-12,-1,0,0,0,0
2020-02-18,0,2,0,0,-3,0,0,0,0,0,-16,0,44,0,-14,9,0,-9,0,0,1,0,0,0,-7,-1,0,0,4,-12,18,-6,-6,-1,0,0,0,0
2020-02-19,-2,-13,0,0,-10,0,0,0,2,2,-18,0,36,0,-11,7,0,-9,0,-8,0,0,0,0,-10,-1,0,0,-5,-14,3,-1,-7,-5,0,0,0,0
2020-02-20,-1,-7,0,0,-4,0,0,0,-7,-4,0,0,38,0,-10,5,0,-4,0,-3,-2,0,0,0,-5,-1,0,0,7,-10,7,-8,-6,-4,0,0,0,0
2020-02-21,-1,13,0,0,-9,0,0,0,0,-12,-10,0,36,0,-7,8,0,-3,0,-6,-5,0,0,0,-7,-1,0,0,-5,-19,2,-10,-12,1,0,0,0,0
2020-02-22,-2,-4,0,0,-8,0,0,0,-4,-12,-9,0,21,0,-12,0,0,-8,0,2,-1,0,0,0,-7,-1,0,0,-5,-8,16,-10,-11,7,0,0,0,0
2020-02-23,-1,0,0,0,-15,0,0,0,-16,4,-13,0,18,0,-17,4,0,-18,0,7,-9,0,0,0,-12,1,0,0,4,-21,11,-12,-19,1,0,0,0,0
2020-02-24,-2,-3,0,0,-7,0,0,0,-20,-7,-13,0,20,0,-13,4,0,-15,0,-8,-4,0,0,0,-4,-1,0,0,-6,-17,16,-9,-5,3,0,0,0,0
2020-02-25,1,-2,0,0,-5,0,0,0,-9,0,-16,0,22,0,-13,2,0,-17,0,-7,-3,0,0,0,-7,2,0,0,-3,-13,27,-11,-7,-1,0,0,0,0
2020-02-26,0,-26,0,0,-5,0,0,0,-4,4,-14,0,25,0,-13,2,0,-5,0,-7,3,0,0,0,-10,2,0,0,-4,-9,32,-9,-4,-2,0,0,0,0
2020-02-27,1,-12,0,0,8,0,0,0,0,-6,-15,0,22,0,-15,2,0,-7,0,5,0,0,0,0,-3,3,0,0,-3,-13,39,-9,-2,5,0,0,0,0
2020-02-28,2,-5,0,0,-10,0,0,0,-4,-2,-20,0,28,0,-10,6,0,-8,0,-7,-1,0,0,0,-11,4,0,0,-3,-26,13,-7,-5,9,0,0,0,0
2020-02-29,2,-17,0,0,-13,0,0,0,0,-10,-22,0,17,0,-43,4,0,-15,0,-2,-1,0,0,0,-7,6,0,0,-5,-18,41,-4,-9,4,0,0,0,0
2020-03-01,1,-9,0,0,-4,0,0,0,-2,12,-18,0,20,0,-15,1,0,-11,0,5,-2,0,0,0,-6,3,0,0,0,-22,28,-10,-6,5,0,0,0,0
2020-03-02,-1,-11,0,0,-4,0,0,0,0,0,-17,0,18,0,-16,-2,0,-9,0,1,-4,0,0,0,-17,2,0,0,-3,-22,21,-8,-4,7,0,0,0,0
2020-03-03,2,-13,0,0,-7,0,0,0,7,0,-26,0,11,0,-15,-4,0,-9,0,-1,0,0,0,0,-23,4,0,0,-7,-22,32,-9,-4,4,0,0,0,0
2020-03-04,0,-22,0,0,-10,0,0,0,7,-4,-27,0,12,0,-9,-2,0,1,0,4,0,0,0,0,-21,3,0,0,-6,-16,32,-6,2,8,0,0,0,0
2020-03-05,4,-13,0,0,-8,0,0,0,7,0,-17,0,18,0,-3,0,0,7,0,5,-2,0,0,0,-15,7,0,0,-5,-13,38,-7,3,8,0,0,0,0
2020-03-06,2,0,0,0,-9,0,0,0,9,-2,-16,0,29,0,-4,3,0,-7,0,5,-4,0,0,0,-22,5,0,0,-13,-14,29,-11,0,8,0,0,0,0
2020-03-07,5,-6,0,0,0,0,0,0,15,-4,-22,0,23,0,-5,1,0,-9,0,-3,-4,0,0,0,-18,7,0,0,-2,-6,44,-9,1,18,0,0,0,0
2020-03-08,1,2,0,0,-12,0,0,0,8,16,-22,0,21,0,-15,0,0,-16,0,5,-6,0,0,0,-22,3,0,0,-4,-21,39,-12,-4,7,0,0,0,0
2020-03-09,2,-3,0,0,-12,0,0,0,15,0,-13,0,24,0,-9,3,0,-4,0,7,-1,0,0,0,-21,4,0,0,-3,-16,42,-7,2,10,0,0,0,0
2020-03-10,4,-8,0,0,-9,0,0,0,14,0,-20,0,32,0,-9,1,0,-4,0,1,-8,0,0,0,-18,5,0,0,-6,-7,34,-11,-4,10,0,0,0,0
2020-03-11,0,-21,0,0,-12,0,0,0,6,-2,-22,0,14,0,-10,-2,0,-4,0,-4,-9,0,0,0,-20,4,0,0,-6,-6,19,-13,3,11,0,0,0,0
2020-03-12,2,-15,0,0,-11,0,0,0,24,-4,-22,0,2,0,-10,-3,0,-7,0,0,-7,0,0,0,-21,6,0,0,-3,-11,39,-12,1,13,0,0,0,0
2020-03-13,2,0,0,0,-16,0,0,0,16,8,-6,0,6,0,-11,4,0,-9,0,-2,-8,0,0,0,-28,5,0,0,-5,-15,32,-13,0,16,0,0,0,0
2020-03-14,2,-4,0,0,-13,0,0,0,18,-4,-13,0,4,0,-11,-1,0,-9,0,-5,-8,0,0,0,-21,4,0,0,-6,-8,32,-9,-5,11,0,0,0,0
