date,total,Bogota,Bolivar,Boyaca,Caldas,Caquetá,Casanare,Cauca,Cesar,Choco,Cordoba,Huila,La Guajira,Magdalena,Meta,Narino,North Santander,Putumayo,Quindio,Risaralda,San Andrés and Providencia,Tolima,Valle del Cauca
2020-02-29,-2.0591179695069206,7.474599144891612,-12.927924059289904,-20.993707526504373,-1.7768287764063135,-1.2321349584031445,-10.719962261508712,-4.890692813738132,-5.27083032908897,-6.1831410903209205,2.6154764449309096,-5.052510280005972,-5.131185190562892,-24.98805963094068,-0.3651203618490895,-2.621181293794623,2.326645892568472,4.5367272600752795,-16.551177162795344,-3.257201489260202,-5.971339905616781,-6.1990110076519045,-1.4720306986558465
2020-03-01,-1.7395032284115506,13.220768778483631,-16.661183093595,-18.76605784961538,-5.586640235661593,-10.937832570085767,-5.196022018309092,-16.969046854916467,-5.073294640338835,-11.013840907133561,2.6822708087197324,-3.898064814497915,-3.099051639027326,-25.466987001137642,-0.322619578988349,-8.75675812848317,-2.935550343499498,-7.496624426810698,-16.74909141804915,-1.3660785896985999,-6.213395189258546,-10.83671831120266,-3.9815017133467414
2020-03-02,-3.893706583394344,2.6002753023193637,-13.049096299970596,-20.30253302426378,-4.044937806213835,-7.780846032031055,-3.874788820645217,-10.121498819605808,-3.090229043032601,-14.809183608915916,4.2576635889389705,-6.542179658929339,-4.598685605528785,-21.709768054662856,3.709159231482814,-6.618602564879586,-0.8316277430298155,-10.577742793215705,-7.343861809683498,-2.405569984821865,-5.932765358422874,-7.964381533744076,0.07595716864390065
2020-03-03,-2.9212787336116808,3.546523688196403,-10.231360861919608,-11.15260796551646,1.1746759366344053,-6.789197756799909,-2.2982956636642244,-3.846265900796419,-3.765704739685502,-13.300133696159353,0.16507749907809094,-4.443890494842728,-11.104775130062624,-23.06945924047356,0.975586152030636,-3.386930417649067,-2.955624116607114,-1.7371856960523897,-6.863895838005186,-3.8390854583560796,-5.347396604755337,-7.727587013886566,-0.41536071967297566
2020-03-04,-1.8993105989592354,6.733434834582681,-11.190160258416821,-13.28644171273845,-0.10418199926212382,1.386391356772434,-0.9541177505561131,-6.443844274680974,-5.387424564887831,-6.777673887467164,1.120236901258259,-3.1532301250362313,-8.542060910916497,-19.152276625079864,1.6333823594889163,-4.206349067080293,-1.4644295428984795,-1.285708314605807,-2.7268186279413276,-2.660866759342407,0.3838167445793732,-6.079651168374134,-0.5268927647703489
2020-03-05,-0.7478984941631656,8.598269103120595,-10.238092653068536,-11.402464676160218,-0.9213894246668565,-2.763201570789011,-0.18546978317423443,-1.8181121630267643,-8.088363762773824,-6.777673887467164,2.5448652603541535,-1.5727508099139047,-9.797992364627572,-18.499894674127457,3.084204538053288,-1.5525827041854807,0.48463823645530624,0.8876828007300673,-6.13056137530147,-3.7870627193971766,-1.8535069926672243,-8.667064458524493,0.23556337111083112
2020-03-06,-3.4901929727614394,10.074874447210975,-12.963506383934234,-17.867148074540705,-6.43252160581737,-2.526547344719356,-1.5640647694486984,-3.4791748917274226,-6.6747791023033445,-6.3503836495181565,-0.29103258507987134,-10.586120009236222,-14.277705089896484,-27.534951058366392,1.8458862737926192,-3.2652156007160076,-0.6729493460838966,3.233837988035987,-12.84434833371802,-7.621331257479284,-1.8265048096314895,-12.035129600725428,-2.5825437338926216
2020-03-07,-4.3124018942292786,6.258402882801668,-14.364680627360952,-20.31976452154956,-10.504221760465512,NA,-10.719962261508712,-6.01123571018759,-8.522942278024122,-6.1831410903209205,0.3921783359600889,-5.789616464259233,-14.173124090313209,-26.51831448782756,0.12170678728302983,-0.6171995441329935,4.1743889124266715,5.670670450685301,-18.368737545585127,-7.8621772711779085,0.7020567589291047,-10.149436656006472,-6.412131109951561
2020-03-08,-2.7095339676359984,-1.9640377283476047,-14.995545626460423,-17.42583028294387,-8.922375808366294,3.0765049389055186,2.424491598607518,-2.4829226518918768,-2.4157169351053107,-1.5738201524456628,0.5648894766140453,0.23668547200792792,-5.94000888458767,-25.904477999265254,1.226727141662285,23.246571649829022,3.537763536727985,17.360402988901573,-4.11221841471797,-3.772611958575259,0.34524219738546635,-12.44133808600945,0.424014067999496
2020-03-09,-9.476577073477717,-0.9433867476132981,-16.721769213935346,-19.83728259754782,-9.022734614994944,-12.517763010526503,-3.2935226960579254,-10.243862489295473,-8.389003445164274,-13.821195773658257,-3.9303712063737377,-9.047181409609165,-12.569868582940249,-28.19986028459558,-4.018255834106382,-6.431717609746149,-7.812521314692737,-8.885418486017414,-8.117352787945958,-9.41707913561623,0.39538910873754524,-12.377807848974507,-6.128493581471173
2020-03-10,-8.963595414019649,-3.6018486946287296,-11.659462269942038,-15.453781149127229,-5.34100010896099,-6.789197756799909,-3.447443495496336,-13.398340084287327,-6.373175831187285,-17.100309997918508,-2.6421941904464386,-6.737324415441998,-12.566030748093155,-24.419514060686733,-0.675182891355856,-5.73976408355978,-6.402577727372074,-4.776306166508878,-8.547601168932493,-8.979702774739527,-6.1111726391946934,-10.432434984616666,-10.303253407443535
2020-03-11,-7.419856214529012,-0.05341724758983286,-11.803714937419048,-15.362837135674516,-4.069788558331406,-5.54460731281415,-3.434059078153866,-13.127598421430664,-9.499057657067473,-10.651320908873657,-1.120236901258259,-5.733584801498172,-13.097570874415489,-22.61365914771065,-2.1530510226497896,-3.0850393362796678,-5.125503400144678,-2.571416629211614,-9.089714128975526,-7.7773994743559935,-5.751464986611512,-9.260013337517284,-6.702499020463688
2020-03-12,-7.518137747415839,-0.8775690675472542,-12.89041836574588,-15.825215646176186,-6.95821059291983,-8.63356773730228,-4.072686991351745,-12.000311070746344,-10.607184691519448,-4.841333736761596,NA,-5.861105137437138,-13.438178717094964,-21.925622644047404,-1.9096374480837301,-2.0097320559734277,-5.168518628232428,-0.44384140036503367,-12.01157868963075,-8.72344261616419,-6.672432300866038,-11.03982255384467,-5.4669931760660635
2020-03-13,-11.09782284768398,-3.3385779743645534,-17.67768355708302,-23.784252781395402,-10.418199926212383,-8.527217052712276,-11.992437938853591,-13.157466718756488,-9.319830154103935,-9.979450512098635,0.14599339513842727,-14.393374887535176,-14.769907409036117,-31.218933626299993,-10.321894673860768,-6.693356546932961,-4.114167593103823,-0.4037524996869016,-19.47686615350378,-13.126107746575054,-4.383032924907666,-15.6217002551526,-6.543854301144149
2020-03-14,-10.319560953116754,-2.9617956029719825,-23.045806156127593,-29.130803467009944,-13.516897555641789,-7.085255067955873,-16.779279198407153,-13.449405237779864,-8.63568215892054,-7.9503052418385325,-3.792965658008159,-13.36838188426819,-14.173124090313209,-30.683151699077634,-7.426045878031217,-6.012903633370189,-6.364341969071853,-1.1339431906100215,-22.76970042932073,-10.669478406849079,-4.215233644614172,-20.298873312012944,-10.945524149900821
2020-03-15,-15.510104348505564,-13.805496863708052,-32.00293512200025,-32.026652316425164,-20.012501839911454,-9.570603498825047,-14.547905621455284,-19.762214401612063,-10.991656593038005,-10.22693083091073,-6.2118758323605325,-16.181557780133847,-18.336215440696975,-34.30546152718708,-17.361569798612525,-5.5730052005176365,-13.99906700766856,1.9729466119452141,-24.472527910514103,-20.8765324673968,-3.79766417124013,-23.545653456238075,-11.963734802988046
2020-03-16,-18.01268777128231,-15.472878092047836,-38.601052132398834,-28.926897415794922,-14.312121623404057,-14.886221499774228,-7.943651692756256,-22.803963261535483,-13.245490622240766,-15.796204724178212,-13.591698825828484,-20.460251476146553,-18.700809751170777,-33.571170468655716,-14.914877003470348,-11.83796392722164,-17.78631886730549,-11.846270150388026,-24.48017677062053,-20.964200416383097,-5.932765358422874,-21.588729639692065,-17.954736294382286
2020-03-17,-20.18686704758356,-12.068482437617236,-48.064988803340725,-21.13921794802871,-16.451197901831883,-17.991469866947313,-12.065096204427,-20.96561773580413,-16.656594710901636,-12.349847940720727,-15.024915031697228,-23.653090190375952,-20.748294642094713,-43.437845203961004,-22.735021049846612,-15.149181978432033,-25.611266803445798,-18.235677320374126,-26.679224051218377,-24.12891703638303,-18.33351791758408,-23.183723621008713,-22.365059491465477
2020-03-18,-24.2259983381763,-15.236315995578575,-53.19172860547377,-27.957147040767612,-28.90811529984344,-18.020213295214884,-11.637750879278121,-24.226079611629547,-14.460576005235499,-4.841333736761596,-12.324514324234814,-26.51939955954951,-23.918346225793254,-46.61302766834532,-20.42066023770265,-17.10620289321398,-37.665089607590595,-13.714222022461943,-32.851854157105194,-35.27045363008141,-29.139212950277237,-27.780040012551854,-26.83403316053953
2020-03-19,-24.95951416899017,-8.915910950395851,-57.527002105382934,-30.959256790111787,-32.84600371232005,-23.483380894604256,-15.178885296171751,-26.666608551188,-21.878282014984475,-7.746327322817627,-14.630828285343172,-30.160491575867386,-28.2752482359552,-49.33337367652647,-12.412160449102645,-20.459589857377555,-40.782259803016146,-9.765465305665934,-41.16425287776505,-40.032461012930625,-44.481274732973844,-28.92165912048278,-30.046348355973354
2020-03-20,-51.34930430438212,-82.65937512758137,-63.444246525290005,-59.808612468120714,-38.502417213542515,-23.056061927693055,-18.248697016648386,-41.10263109418217,-31.23280136321038,-12.700767299036313,-22.84844344176236,-35.80423250431765,-37.663551730655634,-60.9644669527385,-71.08835489588782,-32.080000529136164,-44.88591256258741,-21.420835929015237,-57.483095914827665,-41.3147251898621,-53.33220458661577,-37.93910246204847,-32.86830139356638
2020-03-21,-75.24849656978841,-80.15639552622919,-79.00333923936063,-78.91834295804686,-78.16708498766064,-77.00939301447212,-56.55107533155832,-51.96505638616084,-44.523580655554845,-36.216231186162084,-29.426734069764432,-78.63174411678892,-41.05235990063845,-68.59068668661935,-71.88717642829309,-64.36988723865298,-81.36856134474365,-46.50026129372762,-69.55395327028323,-86.81824424997068,-81.13673820398384,-76.08708464283303,-84.34707058803579
