date,YE
2020-02-15,3
2020-02-16,3
2020-02-17,5
2020-02-18,5
2020-02-19,4
2020-02-20,6
2020-02-21,4
2020-02-22,7
2020-02-23,7
2020-02-24,8
2020-02-25,7
2020-02-26,6
2020-02-27,9
2020-02-28,7
2020-02-29,8
2020-03-01,-1
2020-03-02,6
2020-03-03,4
2020-03-04,4
2020-03-05,6
2020-03-06,6
2020-03-07,4
2020-03-08,2
2020-03-09,3
2020-03-10,4
2020-03-11,2
2020-03-12,4
2020-03-13,4
2020-03-14,3
2020-03-15,2
2020-03-16,-1
2020-03-17,-1
2020-03-18,-3
2020-03-19,2
2020-03-20,8
2020-03-21,1
2020-03-22,-2
2020-03-23,-3
2020-03-24,-6
2020-03-25,-10
2020-03-26,-2
2020-03-27,5
2020-03-28,-1
2020-03-29,-5
2020-03-30,-6
2020-03-31,-6
2020-04-01,-8
2020-04-02,-5
2020-04-03,2
2020-04-04,-2
2020-04-05,-7
2020-04-06,-7
2020-04-07,-7
2020-04-08,-9
2020-04-09,-3
2020-04-10,1
2020-04-11,-6
