date,SA,Al Bahah Province,Al Jowf,Al Madinah Province,Al Qassim,Aseer Province,Eastern Province,Hail Province,Jazan,Makkah Province,Najran,Northern Borders Province,Riyadh Province,Tabuk Province
2020-02-15,-1,0,2,6,0,8,0,-3,-12,-11,2,0,11,10
2020-02-16,0,-5,-2,10,9,4,0,6,-13,-5,11,0,3,-2
2020-02-17,3,-8,-4,7,20,2,1,-12,-9,-2,6,0,6,1
2020-02-18,3,2,-10,6,18,2,8,-9,-12,-7,11,0,8,-7
2020-02-19,8,-2,-12,1,19,4,2,-13,-16,18,9,0,8,8
2020-02-20,-3,-9,-4,3,0,13,-2,-19,-26,-4,15,0,8,-1
2020-02-21,4,0,17,-2,9,25,7,-2,-12,-11,20,0,9,10
2020-02-22,-3,-1,4,1,0,6,5,-7,-22,-15,11,0,8,0
2020-02-23,3,-3,0,5,5,5,4,-3,-16,-3,7,0,10,2
2020-02-24,5,-14,0,13,-14,5,4,-6,-9,2,0,0,9,14
2020-02-25,2,0,-16,-4,-25,2,5,-23,-12,11,11,0,-2,1
2020-02-26,-3,-2,-6,-2,-4,7,-11,-13,-18,-6,-12,0,2,1
2020-02-27,-3,1,20,7,-8,14,-5,2,-26,-10,-12,0,13,13
2020-02-28,3,13,25,2,3,27,2,7,-16,-12,5,0,8,28
2020-02-29,-2,-4,8,0,-5,13,1,7,-16,-14,8,0,9,4
2020-03-01,2,-8,-15,-3,-2,5,3,0,-12,-5,7,0,10,2
2020-03-02,0,-12,0,-1,6,6,-4,-6,-10,-4,13,0,2,4
2020-03-03,0,-5,2,-3,3,4,1,-7,-13,-12,9,0,8,2
2020-03-04,2,-3,4,-6,13,7,-1,0,-15,-8,-2,0,10,14
2020-03-05,-2,7,20,-3,13,18,0,0,-26,-12,12,0,15,22
2020-03-06,-1,18,-27,-5,-1,30,4,-1,-23,-18,21,0,6,-10
2020-03-07,-9,0,-2,-7,-2,12,-1,0,-20,-19,6,0,-6,9
2020-03-08,-2,-5,2,-11,2,5,-3,-1,-14,-7,11,0,5,4
2020-03-09,0,-3,0,-13,16,6,-1,-2,-3,-9,6,0,6,22
2020-03-10,4,19,16,-6,12,9,6,0,-4,-11,9,0,13,19
2020-03-11,4,10,10,-13,17,15,2,-3,-9,-7,7,0,11,36
2020-03-12,-12,4,4,-20,-7,15,-5,-11,-28,-32,12,0,6,29
2020-03-13,-17,-1,-31,-22,-24,12,-14,-36,-32,-24,4,0,-17,-19
2020-03-14,-14,-7,-8,-27,-2,6,-13,-11,-23,-30,8,0,3,10
2020-03-15,-8,-5,-13,-19,1,1,-7,-8,-16,-18,-4,0,-2,-2
2020-03-16,-19,-12,-16,-36,-8,-7,-19,-22,-30,-32,-13,0,-11,-15
2020-03-17,-25,-9,-31,-36,-16,-16,-22,-36,-32,-41,-13,0,-15,-21
2020-03-18,-29,-22,-35,-43,-16,-20,-30,-30,-38,-43,-18,0,-21,-19
2020-03-19,-42,-18,-34,-51,-33,-21,-40,-40,-53,-54,-22,0,-30,-20
2020-03-20,-59,-32,-47,-65,-51,-38,-58,-57,-67,-72,-46,0,-56,-47
2020-03-21,-50,-22,-36,-57,-47,-30,-44,-39,-51,-65,-29,0,-42,-42
2020-03-22,-43,-12,-35,-50,-36,-35,-39,-39,-40,-55,-23,0,-41,-37
2020-03-23,-51,-29,-38,-58,-46,-43,-45,-54,-45,-62,-40,0,-53,-38
2020-03-24,-51,-23,-43,-56,-47,-44,-43,-57,-48,-65,-40,0,-50,-43
2020-03-25,-51,-27,-43,-58,-44,-41,-45,-55,-52,-63,-49,0,-50,-44
2020-03-26,-61,-37,-34,-66,-57,-40,-51,-54,-63,-70,-49,0,-64,-45
2020-03-27,-74,-49,-47,-76,-70,-53,-69,-67,-74,-83,-62,0,-78,-60
2020-03-28,-59,-34,-32,-66,-55,-37,-48,-50,-56,-72,-42,0,-60,-44
2020-03-29,-49,-25,-37,-57,-42,-35,-39,-44,-45,-63,-28,0,-53,-37
2020-03-30,-51,-29,-31,-62,-42,-37,-41,-48,-42,-64,-35,0,-55,-40
2020-03-31,-52,-23,-37,-60,-45,-40,-39,-50,-46,-67,-40,0,-55,-42
2020-04-01,-52,-32,-41,-63,-44,-37,-44,-49,-50,-66,-44,0,-54,-42
2020-04-02,-61,-37,-38,-66,-56,-40,-51,-54,-63,-72,-48,0,-60,-47
2020-04-03,-74,-48,-51,-81,-68,-51,-70,-61,-73,-85,-60,0,-76,-63
2020-04-04,-61,-34,-32,-73,-50,-37,-53,-47,-56,-76,-46,0,-60,-48
2020-04-05,-52,-24,-33,-64,-41,-36,-44,-42,-45,-65,-35,0,-53,-41
2020-04-06,-53,-31,-36,-68,-40,-37,-45,-51,-45,-67,-37,0,-55,-43
2020-04-07,-64,-28,-41,-67,-44,-45,-56,-56,-49,-77,-49,0,-73,-56
2020-04-08,-65,-37,-49,-69,-54,-50,-57,-64,-55,-76,-51,0,-72,-54
2020-04-09,-70,-42,-38,-72,-62,-50,-62,-62,-67,-79,-57,0,-73,-56
2020-04-10,-80,-60,-51,-82,-73,-61,-76,-70,-76,-87,-67,0,-85,-71
2020-04-11,-68,-40,-36,-72,-56,-46,-60,-53,-60,-80,-48,0,-71,-57
