date,BS
2020-02-15,-3
2020-02-16,-1
2020-02-17,0
2020-02-18,0
2020-02-19,-4
2020-02-20,-2
2020-02-21,0
2020-02-22,-2
2020-02-23,-2
2020-02-24,0
2020-02-25,-1
2020-02-26,1
2020-02-27,5
2020-02-28,8
2020-02-29,4
2020-03-01,3
2020-03-02,10
2020-03-03,5
2020-03-04,3
2020-03-05,3
2020-03-06,2
2020-03-07,2
2020-03-08,-1
2020-03-09,4
2020-03-10,2
2020-03-11,7
2020-03-12,13
2020-03-13,17
2020-03-14,11
2020-03-15,14
2020-03-16,36
2020-03-17,14
2020-03-18,7
2020-03-19,11
2020-03-20,0
2020-03-21,-19
2020-03-22,-25
2020-03-23,-19
2020-03-24,-27
2020-03-25,-32
2020-03-26,-29
2020-03-27,-27
2020-03-28,-34
2020-03-29,-34
2020-03-30,-33
2020-03-31,-33
2020-04-01,-38
2020-04-02,-33
2020-04-03,-20
2020-04-04,-98
2020-04-05,-97
2020-04-06,-13
2020-04-07,-2
2020-04-08,0
2020-04-09,-54
2020-04-10,-97
2020-04-11,-97
