date,BZ
2020-02-15,4
2020-02-16,1
2020-02-17,0
2020-02-18,0
2020-02-19,3
2020-02-20,-12
2020-02-21,3
2020-02-22,2
2020-02-23,1
2020-02-24,1
2020-02-25,2
2020-02-26,3
2020-02-27,0
2020-02-28,2
2020-02-29,5
2020-03-01,0
2020-03-02,2
2020-03-03,2
2020-03-04,4
2020-03-05,2
2020-03-06,-1
2020-03-07,-1
2020-03-08,-4
2020-03-09,-62
2020-03-10,3
2020-03-11,4
2020-03-12,1
2020-03-13,3
2020-03-14,4
2020-03-15,-1
2020-03-16,1
2020-03-17,-1
2020-03-18,0
2020-03-19,-4
2020-03-20,-3
2020-03-21,-7
2020-03-22,-17
2020-03-23,-30
2020-03-24,-43
2020-03-25,-45
2020-03-26,-49
2020-03-27,-46
2020-03-28,-42
2020-03-29,-42
2020-03-30,-50
2020-03-31,-50
2020-04-01,-53
2020-04-02,-64
2020-04-03,-62
2020-04-04,-57
2020-04-05,-57
2020-04-06,-66
2020-04-07,-69
2020-04-08,-69
2020-04-09,-70
2020-04-10,-87
2020-04-11,-68
