date,CH,Aargau,Appenzell Ausserrhoden,Appenzell Innerrhoden,Basel City,Basel-Landschaft,Canton of Bern,Canton of Zug,Fribourg,Geneva,Glarus,Grisons,Jura,Lucerne,Neuchâtel,Nidwalden,Obwalden,Schaffhausen,Schwyz,Solothurn,St. Gallen,Thurgau,Ticino,Uri,Valais,Vaud,Zurich
2020-02-15,-1,1,8,NA,6,2,2,-3,3,-8,18,15,-3,-2,0,2,-3,18,3,-4,7,10,1,1,13,-3,-9
2020-02-16,10,9,4,NA,9,17,7,-3,5,10,-3,11,11,20,12,0,7,66,22,8,13,21,3,-5,25,13,1
2020-02-17,-3,-3,0,0,-6,-3,-4,-1,-5,-6,-7,11,-10,-6,-7,2,-1,-6,-2,-6,-3,6,0,-1,10,-8,-5
2020-02-18,3,2,4,0,7,3,2,5,3,1,4,25,-5,1,-1,4,13,-7,2,0,3,2,3,0,17,-1,-2
2020-02-19,-4,-3,-4,0,1,-4,-4,0,-4,-5,-3,5,-9,-4,-7,0,-11,-3,-1,0,-3,3,1,13,11,-13,-6
2020-02-20,2,5,0,0,8,5,0,7,-2,-1,-11,10,-10,23,-3,16,-2,-4,14,17,4,20,4,23,17,-5,-4
2020-02-21,-1,-2,8,0,-7,2,-3,-2,-2,-1,1,6,-7,-9,-5,-6,-5,-7,-1,3,1,2,4,-2,15,-7,-4
2020-02-22,1,3,1,NA,-16,-5,3,10,1,-1,5,14,4,7,-4,-17,-4,15,1,16,6,11,0,-5,19,-6,-6
2020-02-23,14,21,-32,NA,2,42,1,45,12,18,7,1,50,15,-2,-19,0,-1,-5,70,25,42,16,25,40,17,-2
2020-02-24,6,5,-9,0,-2,6,5,5,-2,-1,-1,15,-1,39,-2,-1,48,2,19,-5,2,9,1,45,19,2,0
2020-02-25,4,2,7,0,3,4,1,3,4,-2,1,25,18,21,-4,11,49,-8,10,5,8,2,-2,12,16,3,0
2020-02-26,-5,-2,-3,0,-2,-10,-1,-3,-10,-5,-8,4,-6,-10,-13,5,-11,1,-4,-5,-5,-6,-10,-18,-6,-6,-4
2020-02-27,-5,-1,-3,0,3,-9,-4,-4,-8,-8,-5,-3,-7,-7,-15,7,-8,-8,0,-7,-5,-5,-11,-14,-3,-4,-4
2020-02-28,-1,0,8,0,-11,-7,1,2,-6,1,-1,6,3,-5,-4,9,-1,-5,1,-1,2,2,-8,-6,4,4,-3
2020-02-29,-6,0,6,NA,-23,-13,-3,-1,-7,-6,16,-5,-2,-9,-10,-1,-9,-1,4,-6,0,1,-14,-14,-2,-2,-6
2020-03-01,3,9,4,NA,-6,32,7,16,0,2,-2,-8,10,1,7,0,-9,21,22,0,3,23,-14,0,-1,11,5
2020-03-02,-7,-2,16,0,-3,-12,-7,-4,-6,-14,-5,-14,-3,-8,-6,-9,3,1,0,-13,-5,6,-15,-13,-7,-6,-8
2020-03-03,-1,2,1,0,1,-5,-2,2,1,-4,3,-4,0,-2,-2,-1,2,-3,0,-5,0,-5,-5,-5,0,2,-2
2020-03-04,-3,0,8,0,-10,-11,-1,-1,-2,-3,-4,2,0,-5,-3,-2,-6,-1,-4,-2,-2,-2,-4,5,-1,-1,-4
2020-03-05,-11,-5,-4,0,-22,-16,-11,-8,-9,-14,-5,-15,-3,-12,-9,0,-3,-16,-7,-10,-7,-12,-11,-12,-11,-9,-13
2020-03-06,-6,-6,-1,0,-22,-14,-7,-6,-4,-4,-3,-7,-1,-9,-6,6,-4,-11,-4,-8,-4,-4,-5,-6,0,-1,-10
2020-03-07,-4,1,-5,NA,-21,-10,-5,-4,-1,-3,6,-8,1,-5,-3,9,-4,4,3,-7,-1,4,-4,-5,2,-1,-7
2020-03-08,6,11,-2,NA,-14,0,7,15,1,8,4,7,11,5,15,0,9,29,19,-1,10,19,-7,15,9,17,-1
2020-03-09,-8,-3,-14,0,-16,-4,-8,-6,-7,-9,-2,-18,-6,-9,-10,-7,-6,-3,-3,-12,-7,-2,-14,-2,-6,-5,-9
2020-03-10,-10,-6,-1,0,-18,-9,-9,-6,-5,-12,-8,-18,-4,-9,-9,-3,-8,-12,-1,-14,-9,-10,-18,-4,-10,-7,-12
2020-03-11,-7,-2,0,0,-14,-5,-5,-5,-5,-9,-7,-6,-6,-9,-7,0,-1,-6,-2,-7,-5,-3,-20,0,-3,-6,-8
2020-03-12,-11,-2,3,0,-19,-5,-10,-8,-7,-14,-10,-13,-6,-10,-9,-5,-2,-3,0,-7,-7,-7,-32,6,-5,-8,-13
2020-03-13,-13,-5,2,0,-24,-6,-13,-6,-9,-16,-6,-17,-9,-12,-10,8,4,-11,4,-10,-7,-6,-37,-4,-7,-11,-16
2020-03-14,-25,-15,4,NA,-39,-13,-22,-14,-22,-28,-13,-43,-26,-20,-22,-13,-8,-10,-2,-21,-15,-15,-55,-21,-26,-27,-27
2020-03-15,-27,-9,-19,NA,-41,1,-19,-4,-22,-29,-29,-54,-13,-20,-12,0,-2,25,8,-2,-19,4,-80,-41,-38,-25,-26
2020-03-16,-17,5,16,0,-28,-37,-8,-7,-11,-27,-1,-54,-49,-8,-38,15,6,9,19,-8,-2,0,-69,-4,-24,-17,-13
2020-03-17,-57,-47,-54,0,-66,-50,-56,-47,-55,-65,-45,-67,-55,-52,-55,-47,-38,-54,-36,-52,-50,-47,-73,-49,-64,-60,-57
2020-03-18,-62,-52,-49,0,-71,-54,-61,-51,-61,-71,-54,-70,-70,-59,-63,-48,-45,-55,-40,-55,-56,-53,-74,-57,-67,-65,-61
2020-03-19,-65,-52,-46,0,-74,-54,-63,-53,-63,-72,-56,-74,-72,-58,-64,-80,-43,-57,-63,-56,-57,-55,-85,-74,-85,-65,-62
2020-03-20,-67,-60,-58,-74,-77,-58,-68,-58,-67,-74,-62,-77,-75,-64,-68,-52,-53,-63,-46,-61,-61,-58,-83,-58,-72,-70,-66
2020-03-21,-78,-74,-68,NA,-87,-75,-78,-68,-78,-80,-71,-85,-85,-78,-78,-76,-73,-77,-64,-75,-75,-73,-83,-75,-81,-79,-78
2020-03-22,-82,-74,-70,NA,-87,-73,-82,-75,-84,-84,-91,-91,-87,-83,-81,-79,0,-86,-74,-78,-79,-76,-89,-91,-85,-81,-80
2020-03-23,-68,-60,-49,0,-76,-61,-67,-61,-68,-77,-59,-77,-76,-63,-69,-61,-47,-62,-51,-64,-61,-58,-81,-57,-72,-72,-66
2020-03-24,-69,-61,-55,0,-76,-61,-68,-61,-69,-79,-59,-75,-77,-63,-70,-55,-51,-68,-51,-64,-61,-63,-81,-60,-73,-73,-67
2020-03-25,-70,-61,-56,0,-77,-62,-68,-62,-71,-80,-60,-78,-78,-67,-70,-58,-54,-64,-51,-63,-63,-62,-83,-65,-74,-74,-68
2020-03-26,-70,-60,-59,0,-77,-63,-68,-63,-71,-79,-63,-79,-77,-64,-71,-54,-61,-63,-51,-64,-64,-64,-84,-63,-74,-73,-69
2020-03-27,-69,-61,-56,0,-77,-61,-68,-61,-71,-78,-66,-79,-77,-65,-70,-56,-62,-60,-50,-62,-62,-61,-82,-61,-75,-73,-68
2020-03-28,-73,-68,-53,-57,-84,-65,-73,-61,-74,-79,-67,-84,-79,-70,-74,-65,-62,-65,-53,-67,-67,-65,-82,-73,-79,-76,-71
2020-03-29,-81,-75,-77,NA,-89,-77,-80,-75,-82,-82,-92,-89,-91,-82,-78,-74,0,-90,-72,-77,-80,-79,-85,-89,-87,-79,-82
2020-03-30,-71,-61,-56,0,-76,-62,-70,-65,-70,-80,-61,-80,-78,-66,-71,-61,-57,-64,-57,-66,-65,-60,-83,-62,-75,-74,-70
2020-03-31,-84,-80,-75,0,-85,-75,-83,-85,-84,-90,-78,-84,-85,-82,-87,-80,-82,-85,-81,-82,-80,-75,-91,-82,-85,-86,-84
2020-04-01,-84,-80,-77,0,-86,-78,-82,-85,-85,-90,-81,-84,-85,-83,-86,-78,-80,-86,-81,-80,-80,-76,-91,-80,-85,-86,-84
2020-04-02,-84,-80,-70,0,-86,-76,-82,-85,-85,-90,-88,-85,-86,-83,-86,-78,-81,-85,-81,-80,-80,-75,-90,-83,-85,-85,-85
2020-04-03,-79,-75,-69,-80,-82,-73,-76,-76,-80,-85,-77,-82,-86,-78,-78,-59,-57,-84,-66,-73,-76,-73,-87,-66,-84,-83,-81
2020-04-04,-82,-80,-73,NA,-85,-77,-79,-78,-83,-86,-80,-87,-87,-82,-83,-66,-62,-88,-70,-77,-80,-76,-87,-77,-87,-86,-84
2020-04-05,-76,-72,-62,NA,-84,-65,-74,-64,-77,-79,-87,-88,-81,-79,-72,-62,-83,-81,-62,-72,-73,-66,-86,-74,-83,-73,-76
2020-04-06,-76,-71,0,0,-78,-68,-71,-75,-77,-83,0,-80,-81,-74,-75,0,0,0,-63,-71,-72,-65,-84,0,-81,-80,-78
2020-04-07,-72,-66,0,0,-77,-64,-69,-66,-71,-79,0,-77,-81,-66,-67,0,0,0,-53,-63,-67,-64,-83,0,-79,-77,-73
2020-04-08,-72,-65,0,0,-77,-67,-68,-65,-71,-80,0,-77,-80,-66,-68,0,0,0,-49,-61,-67,-65,-83,0,-80,-77,-72
2020-04-09,-70,-61,0,0,-76,-65,-68,-62,-67,-78,0,-78,-79,-63,-64,0,0,0,-42,-57,-66,-62,-83,0,-79,-74,-71
2020-04-10,-87,-87,0,0,-92,-85,-88,-88,-89,-90,0,-90,-89,-89,-88,0,0,-91,-85,-86,-86,-86,-83,0,-83,-88,-89
2020-04-11,-77,-74,0,NA,-83,-74,-76,-68,-74,-80,0,-85,-82,-73,-70,0,0,-63,-58,-68,-74,-71,-83,0,-85,-80,-78
