date,BO
2020-02-15,-1
2020-02-16,5
2020-02-17,1
2020-02-18,1
2020-02-19,3
2020-02-20,3
2020-02-21,0
2020-02-22,7
2020-02-23,8
2020-02-24,-17
2020-02-25,-37
2020-02-26,-12
2020-02-27,-6
2020-02-28,-1
2020-02-29,-5
2020-03-01,-8
2020-03-02,-4
2020-03-03,-1
2020-03-04,1
2020-03-05,0
2020-03-06,2
2020-03-07,2
2020-03-08,0
2020-03-09,1
2020-03-10,-1
2020-03-11,0
2020-03-12,-2
2020-03-13,-7
2020-03-14,-13
2020-03-15,-21
2020-03-16,-27
2020-03-17,-27
2020-03-18,-36
2020-03-19,-39
2020-03-20,-45
2020-03-21,-33
2020-03-22,-78
2020-03-23,-79
2020-03-24,-79
2020-03-25,-79
2020-03-26,-82
2020-03-27,-81
2020-03-28,-90
2020-03-29,-89
2020-03-30,-79
2020-03-31,-79
2020-04-01,-78
2020-04-02,-78
2020-04-03,-76
2020-04-04,-90
2020-04-05,-89
2020-04-06,-75
2020-04-07,-76
2020-04-08,-73
2020-04-09,-73
2020-04-10,-88
2020-04-11,-77
