date,BA
2020-02-15,1
2020-02-16,-1
2020-02-17,12
2020-02-18,11
2020-02-19,9
2020-02-20,7
2020-02-21,13
2020-02-22,0
2020-02-23,-1
2020-02-24,14
2020-02-25,12
2020-02-26,8
2020-02-27,7
2020-02-28,12
2020-02-29,2
2020-03-01,-3
2020-03-02,-28
2020-03-03,12
2020-03-04,9
2020-03-05,9
2020-03-06,14
2020-03-07,3
2020-03-08,7
2020-03-09,13
2020-03-10,12
2020-03-11,5
2020-03-12,-4
2020-03-13,-5
2020-03-14,-8
2020-03-15,-10
2020-03-16,-13
2020-03-17,-24
2020-03-18,-34
2020-03-19,-39
2020-03-20,-39
2020-03-21,-45
2020-03-22,-52
2020-03-23,-48
2020-03-24,-53
2020-03-25,-55
2020-03-26,-55
2020-03-27,-52
2020-03-28,-51
2020-03-29,-50
2020-03-30,-50
2020-03-31,-52
2020-04-01,-53
2020-04-02,-52
2020-04-03,-49
2020-04-04,-48
2020-04-05,-49
2020-04-06,-47
2020-04-07,-48
2020-04-08,-49
2020-04-09,-50
2020-04-10,-48
2020-04-11,-47
