date,MM
2020-02-15,4
2020-02-16,0
2020-02-17,5
2020-02-18,4
2020-02-19,5
2020-02-20,5
2020-02-21,7
2020-02-22,2
2020-02-23,5
2020-02-24,6
2020-02-25,5
2020-02-26,5
2020-02-27,6
2020-02-28,10
2020-02-29,7
2020-03-01,3
2020-03-02,-40
2020-03-03,6
2020-03-04,7
2020-03-05,7
2020-03-06,9
2020-03-07,7
2020-03-08,-5
2020-03-09,-35
2020-03-10,5
2020-03-11,4
2020-03-12,4
2020-03-13,6
2020-03-14,9
2020-03-15,8
2020-03-16,1
2020-03-17,2
2020-03-18,3
2020-03-19,3
2020-03-20,5
2020-03-21,7
2020-03-22,6
2020-03-23,-1
2020-03-24,-5
2020-03-25,-11
2020-03-26,-13
2020-03-27,-43
2020-03-28,-13
2020-03-29,-10
2020-03-30,-21
2020-03-31,-24
2020-04-01,-29
2020-04-02,-29
2020-04-03,-28
2020-04-04,-22
2020-04-05,-19
2020-04-06,-33
2020-04-07,-37
2020-04-08,-37
2020-04-09,-41
2020-04-10,-60
2020-04-11,-48
