date,total,Aceh,Bali,Bangka Belitung Islands,Banten,Bengkulu,Central Java,Central Kalimantan,Central Sulawesi,East Java,East Kalimantan,East Nusa Tenggara,Gorontalo,Jakarta,Jambi,Lampung,Maluku,North Kalimantan,North Maluku,North Sulawesi,North Sumatra,Papua,Riau,Riau Islands,South East Sulawesi,South Kalimantan,South Sulawesi,South Sumatra,Special Region of Yogyakarta,West Java,West Kalimantan,West Nusa Tenggara,West Papua,West Sulawesi,West Sumatra
2020-02-29,4.077086497471566,-3.69617164838608,-17.00587863228209,3.745868187223895,5.468483334365801,-3.811454438564172,0.8020712320763167,2.1916750833552343,-3.4887120973656494,1.1052530658003656,0.58272,7.535527609231934,NA,8.718250391525052,1.0482223506007389,-4.475823695139137,4.381885204509794,NA,-17.646720000000002,4.180656678169991,-0.7451848473365558,1.076260408537345,-4.128526759836113,-6.471705405838889,1.4996880817330003,6.452695995691675,3.6112629052475085,3.679910342149822,-12.59508790300803,7.940870414101315,-9.743912417133199,4.25081168268693,2.1722545715593533,22.389173993956554,-6.874120840450618
2020-03-01,0.19808673909666727,-1.4972917557119536,-16.687452625209175,-4.539403306007926,3.6514118544905676,-6.648043088223831,0.9674565993578457,-5.663040044951086,-4.674624948270104,-0.2758293553004415,4.06752,8.001602844398082,NA,5.830335925976554,0.9721106174229278,-4.352240378214277,-7.775017835209611,5.166896235178982,-9.2304,3.460548154017316,-0.04782957941826417,2.288961631277563,-9.98926895470342,-2.789827159170798,2.1684421181800952,-8.631354367772115,-0.7457938086444895,2.1380164448938994,-16.343073698577793,6.601158871173928,-8.811291799570766,-2.0679883039816422,-7.766239959005077,4.472464772477872,-6.691917526472534
2020-03-02,2.748552946100343,5.049913527836126,-12.015274666884737,-5.479216585242506,0.5928987194101868,-1.1005925275529123,2.342162715836682,10.246250799165397,-5.39844402865237,-1.1188025779905628,3.1094399999999998,9.42593649875438,NA,4.807134443149768,0.2736168635759281,-5.580409465793124,3.6678917593835507,1.9373442828647516,-15.651839999999998,6.1827693258807574,-0.8838906276495219,-1.6267943231880972,-9.464326105416957,-5.789662025765365,1.9041841037780334,29.374556003529214,-2.674437823496151,3.480247501674922,-17.5018759081931,8.107976272983917,-10.838225773344226,5.207770638717306,0.48527059030437625,14.269885994691945,-4.754457156370508
2020-03-03,1.5473040463575014,4.852175949938928,-6.425450851813802,-4.574777763110347,-0.2321706959502673,3.377213625847777,-0.08890658472359649,1.0264684542673033,-4.457958574539783,-4.1374403295066235,12.34752,13.88362702596588,NA,3.093511025181917,6.465643561472021,-4.454747470547301,5.825083672820895,2.0669519383334864,-19.999679999999998,3.337813279061866,-1.4234082834875417,4.714364076757999,-4.060389753804415,-8.877160660137744,-4.551534248058616,22.024934307205125,-2.4409551563655345,5.156842166906733,-18.714800656372585,2.5486030706152487,-10.53408943160044,10.013618515901854,-3.3816100190501808,3.444488306762547,0.49128118690425593
2020-03-04,-0.8583758694188914,9.297468806897083,-10.366213921164691,2.900705482398493,-2.8081141613488945,5.659637496695645,-3.362198478203106,4.560896222599804,0.44196105437910543,-2.0643649644064626,4.870080000000001,10.970173325643051,NA,0.8405552368268641,8.271129485208956,-4.577372777263441,-4.250685343754239,-4.256740982969431,-16.92288,5.524028239205807,0.19705786720324836,3.9539212171797504,-3.6198984049516083,-6.1682539019926175,-3.7644842051643885,7.755487755094786,-3.809047809221791,5.683226019067832,-20.89709872919273,3.6056669893754885,-8.50811791460465,2.3560329497467856,-10.546993282579956,12.055709073668915,-4.3013337315559035
2020-03-05,3.290308244593638,7.501669361474938,-7.329587726442054,-6.487866645865581,0.12855732750965215,3.917838602035895,1.760923968396395,0.2503108328931609,2.67477514472387,-0.5497230660022835,0.61536,10.828030048528063,NA,3.6596187614748676,2.427867944406123,-3.3214213936317183,-7.458426866864684,1.4740452756294964,-12.698879999999999,13.254407628977932,-2.028930758922766,NA,-5.61122639813151,-4.601866139281389,-8.506818463621604,0.16272931601655316,-4.655181276467868,4.462321185924667,-19.425158975027504,8.987430536017506,-8.863264465564956,0.8861439932841281,-1.414735717009412,22.19738733990519,-2.5603858362155787
2020-03-06,3.0413076448456184,4.446243518390354,-13.258101021763274,-0.28299565681936517,2.371594877640747,9.35890499923509,7.385938425532328,4.646273560950959,-2.6393032162812955,2.297610138537713,0.7343999999999999,21.675399318432316,NA,5.400973808416528,13.34363929762889,-1.6899300081818147,-5.363982712919127,1.4121431118235332,-15.574079999999999,6.006337943132299,-0.46777328671062357,3.7020304832667548,0.5949992076007415,-4.82921393263923,-1.5111360823569162,5.548112444893777,-1.6546395625165582,4.545434425739577,-17.29505049296568,3.84057008243332,-9.124090252313584,4.9838422430061975,-6.633305076916512,23.307832066862606,1.4900606096008695
2020-03-07,2.6992301435943453,5.0584694807259085,-13.618018902485085,-3.745868187223895,1.7738992430249763,8.712862988334084,-0.5974904887338474,4.626869620416606,0.436208849766796,-1.8340232571731114,-1.55328,13.313119995368314,NA,6.033063696405786,31.705835786690916,-2.4352619505658573,2.628750833254411,-5.35356994790634,-15.441600000000001,9.0593679576491,0.42185689046909,-1.4350138780497936,-3.156374828707805,-10.278817606475283,-6.374628347417244,1.3831991861407018,0.39460500353893424,3.679910342149822,-18.272155608829788,6.207743934833171,-12.450340875941828,-0.8229847021861232,-5.648435040294836,6.888976613525094,-3.1317983235081015
2020-03-08,-1.454227144854248,3.1828144749991245,-14.38706595593089,-3.7382196559585066,-0.810678669743702,4.602565763290255,0.09559847819741558,2.178092324981187,3.399552925874854,0.9329806965250023,0.83904,6.11892964342611,NA,3.329708002993334,8.261495088604168,-7.190824626651191,3.683103337442166,5.166896235178982,-13.846079999999999,5.075278852649945,-2.3178214186090815,-0.3816526271409026,-7.565127021801041,-4.146207214458259,-1.806876098474747,5.357623422027341,0.05306424252968554,-1.6689520684672219,-20.843942664531475,2.4407004303081963,-9.025919660991223,-2.619196662655139,-1.4558117709131286,13.418353250703877,-4.046630669607483
2020-03-09,0.7056342874648348,11.417443800698772,-14.359083064400238,2.900705482398493,-2.068429836647836,6.055193159058686,1.4827323968419157,-3.958403869008126,-2.6987426639418257,-1.4488299820517931,-1.0368,11.850107898259637,NA,3.179574701307535,4.374979498233415,-5.360067117787558,9.627978187474655,NA,-1.73952,18.54926684385286,-0.7184002828623278,0.18033086632407647,-3.126624868327768,-2.719503477327059,-1.1419380622356243,1.3056634532151676,-4.257681859700042,3.6483846304958902,-22.80685116138609,4.594933673960501,-13.661111502250952,2.083299647278128,1.9420376182850332,7.134463530710844,-0.27950560730669316
