date,DK,Capital Region of Denmark,Central Denmark Region,North Denmark Region,Region of Southern Denmark,Region Zealand
2020-02-15,-2,-3,-4,4,-3,-3
2020-02-16,-7,-7,-11,-7,-7,-9
2020-02-17,-3,-1,-6,1,-4,-3
2020-02-18,1,2,-3,5,-1,-1
2020-02-19,0,2,-1,6,-1,0
2020-02-20,1,8,-2,0,-4,-1
2020-02-21,1,3,-1,-2,2,0
2020-02-22,-6,-7,-5,-8,-6,-8
2020-02-23,1,0,1,5,-1,-2
2020-02-24,-2,0,-2,0,-3,-2
2020-02-25,-3,-2,-7,-1,-5,-1
2020-02-26,-2,0,-4,0,-2,-1
2020-02-27,2,3,2,1,2,3
2020-02-28,17,12,17,20,23,19
2020-02-29,10,5,11,12,14,11
2020-03-01,21,20,17,17,26,20
2020-03-02,11,12,11,11,13,13
2020-03-03,10,7,8,11,13,11
2020-03-04,9,8,10,11,13,11
2020-03-05,10,8,11,11,14,13
2020-03-06,7,2,9,8,10,8
2020-03-07,10,5,11,14,14,11
2020-03-08,11,9,9,4,14,14
2020-03-09,5,3,6,6,9,7
2020-03-10,3,-1,4,2,6,6
2020-03-11,5,4,5,5,9,10
2020-03-12,-11,-17,-8,-10,-5,-4
2020-03-13,-28,-34,-26,-28,-22,-20
2020-03-14,-31,-36,-32,-31,-27,-24
2020-03-15,-33,-40,-34,-36,-27,-25
2020-03-16,-24,-29,-23,-22,-21,-18
2020-03-17,-25,-30,-26,-27,-22,-15
2020-03-18,-41,-48,-40,-39,-37,-32
2020-03-19,-39,-45,-38,-39,-36,-30
2020-03-20,-44,-51,-42,-41,-39,-35
2020-03-21,-48,-56,-46,-44,-44,-38
2020-03-22,-38,-51,-34,-34,-31,-30
2020-03-23,-36,-43,-33,-32,-32,-27
2020-03-24,-36,-44,-36,-36,-32,-26
2020-03-25,-37,-43,-36,-35,-31,-26
2020-03-26,-36,-44,-35,-34,-32,-25
2020-03-27,-39,-48,-37,-36,-34,-28
2020-03-28,-43,-53,-41,-38,-38,-32
2020-03-29,-37,-48,-34,-34,-30,-28
2020-03-30,-33,-39,-31,-31,-29,-23
2020-03-31,-23,-33,-24,-22,-15,-8
2020-04-01,-32,-40,-31,-28,-26,-18
2020-04-02,-34,-43,-33,-33,-28,-20
2020-04-03,-35,-47,-35,-31,-28,-21
2020-04-04,-38,-49,-38,-33,-33,-24
2020-04-05,-22,-36,-21,-18,-12,-6
2020-04-06,-15,-27,-14,-8,-8,2
2020-04-07,-13,-27,-13,-7,-4,6
2020-04-08,-9,-23,-8,1,2,13
2020-04-09,-40,-50,-41,-32,-34,-28
2020-04-10,-60,-67,-62,-53,-56,-52
2020-04-11,-31,-44,-32,-27,-24,-11
