date,IE,County Carlow,County Cavan,County Clare,County Cork,County Donegal,County Dublin,County Galway,County Kerry,County Kildare,County Kilkenny,County Laois,County Leitrim,County Limerick,County Longford,County Louth,County Mayo,County Meath,County Monaghan,County Offaly,County Roscommon,County Sligo,County Tipperary,County Waterford,County Westmeath,County Wexford,County Wicklow
2020-02-15,-12,0,0,10,-22,-4,-9,-20,-12,-23,-22,-4,0,-4,0,1,5,-6,0,0,0,-10,-15,-19,-11,-29,-36
2020-02-16,-6,0,0,7,-6,-9,-5,-28,-8,-22,0,-11,0,-7,0,3,3,1,0,0,0,2,-7,-13,-5,-18,-22
2020-02-17,0,0,0,12,3,8,1,-10,-2,-7,0,-7,0,8,0,12,10,-1,0,0,0,8,-7,-12,2,-11,-2
2020-02-18,0,0,0,9,-1,-4,0,-9,5,-5,0,-8,0,-1,0,10,16,-3,0,0,0,0,-4,-18,3,3,-6
2020-02-19,-2,0,-14,2,-5,-6,-1,-17,3,-5,-9,-9,0,-6,0,6,18,-8,0,0,0,0,-6,-15,-2,-8,-10
2020-02-20,-1,0,0,16,1,-1,-1,-3,8,-3,-7,0,0,3,0,8,25,-1,0,0,0,4,1,4,4,5,-8
2020-02-21,-1,0,-11,7,-3,0,1,-14,7,1,-8,-7,0,-1,0,4,-3,-10,0,0,0,13,-1,-17,-4,-8,-6
2020-02-22,-1,0,0,14,0,-3,1,-6,11,-7,2,8,0,3,0,15,2,-1,0,0,0,-4,1,0,-2,5,-10
2020-02-23,1,0,0,5,7,22,1,-11,13,-7,0,0,0,0,0,12,11,1,0,0,0,-4,-2,-5,4,1,-11
2020-02-24,1,0,0,11,6,2,1,-3,11,6,0,-4,0,10,0,2,12,-1,0,0,0,4,-4,-12,2,-3,-2
2020-02-25,0,0,0,1,0,-7,0,-7,-9,4,0,-6,0,4,0,7,4,-6,0,0,0,2,-9,-17,-5,-1,1
2020-02-26,1,0,0,9,0,-4,1,-6,-2,4,0,0,0,-1,0,3,7,-6,0,0,0,0,-3,-1,-3,8,-4
2020-02-27,4,0,0,10,8,7,3,0,0,2,2,10,0,5,0,3,5,1,0,0,0,11,9,-3,7,7,1
2020-02-28,4,0,0,17,2,1,5,3,0,8,2,0,0,11,0,10,3,1,0,0,0,18,1,-12,2,-5,-3
2020-02-29,-9,0,0,-4,-9,-12,-6,-37,2,-15,-2,-10,0,-10,0,5,-8,-14,0,0,0,-21,-8,-12,-14,-26,-25
2020-03-01,2,0,0,17,12,7,1,-13,10,-11,0,0,0,7,0,16,18,10,0,0,0,4,-5,-9,7,-4,-12
2020-03-02,1,0,0,11,6,6,2,0,22,1,0,-7,0,6,0,7,9,2,0,0,0,0,-7,-9,5,7,3
2020-03-03,2,0,0,23,5,-1,0,1,21,3,0,-5,0,15,0,6,2,-6,0,0,0,-2,-3,-13,-2,11,2
2020-03-04,1,0,0,14,-2,4,-1,4,-2,8,0,-11,0,8,0,7,0,1,0,0,0,14,0,-9,0,-1,-3
2020-03-05,0,0,0,11,3,0,-1,1,-2,3,0,10,0,2,0,5,0,5,0,0,0,0,-4,-2,6,4,-2
2020-03-06,0,0,-2,6,-1,6,-1,1,-5,2,0,-4,0,7,0,8,-2,5,0,0,0,10,-8,-14,0,1,-2
2020-03-07,-4,0,0,5,-10,4,-3,-9,-5,-8,-2,12,0,5,0,10,9,0,0,0,0,10,0,-13,0,-9,-6
2020-03-08,-4,0,0,9,-4,7,-4,-12,1,-2,0,0,0,-5,0,2,10,-2,0,0,0,-2,-8,-8,2,-2,-7
2020-03-09,-6,0,0,4,-4,6,-6,-11,-2,-10,0,-13,0,-5,0,-2,-1,-7,0,0,0,4,-14,-14,-5,-2,-11
2020-03-10,-3,0,0,7,-5,4,-5,-4,-5,4,0,-3,0,2,0,0,4,-3,0,0,0,-4,-14,-18,0,6,-2
2020-03-11,-9,0,-14,1,-10,-4,-11,-15,-5,-6,-7,-11,0,-7,0,-4,0,-10,0,0,0,-4,-12,-9,-6,0,-6
2020-03-12,-14,0,0,2,-11,-3,-17,-13,-8,-16,-9,-10,0,-10,0,-3,0,-8,0,0,0,-11,-11,-9,-1,-10,-11
2020-03-13,-30,0,-20,-13,-30,-6,-34,-20,-20,-33,-24,-28,0,-26,0,-16,-26,-23,0,0,0,-8,-24,-35,-21,-16,-30
2020-03-14,-34,0,-25,-19,-35,-10,-36,-28,-15,-39,-38,-33,0,-35,0,-26,-27,-28,0,0,0,-19,-34,-30,-34,-20,-33
2020-03-15,-35,0,0,-21,-31,-4,-39,-30,-31,-41,-31,-41,0,-39,0,-29,-34,-27,0,0,0,-35,-39,-29,-37,-18,-24
2020-03-16,-45,0,-32,-32,-41,-20,-50,-41,-22,-53,-35,-54,0,-40,0,-34,-29,-44,0,0,0,-31,-38,-36,-42,-19,-39
2020-03-17,-62,0,-62,-45,-60,-44,-65,-64,-53,-72,-58,-67,0,-64,0,-56,-51,-61,-67,-63,0,-57,-64,-58,-64,-44,-45
2020-03-18,-52,0,-43,-32,-46,-27,-57,-44,-39,-56,-50,-58,0,-48,0,-40,-22,-44,0,-47,0,-36,-47,-42,-44,-34,-49
2020-03-19,-54,0,-40,-32,-47,-22,-61,-40,-47,-54,-42,-49,0,-52,0,-38,-37,-37,0,0,0,-42,-46,-39,-43,-28,-46
2020-03-20,-57,-64,-41,-42,-54,-19,-64,-42,-59,-58,-49,-59,0,-54,0,-43,-58,-40,-39,-53,0,-33,-45,-53,-51,-38,-48
2020-03-21,-59,0,-40,-54,-57,-26,-65,-55,-58,-52,-49,-51,0,-58,0,-51,-58,-36,-45,-50,0,-44,-44,-41,-54,-33,-48
2020-03-22,-53,0,0,-45,-47,-2,-63,-41,-56,-41,-41,-57,0,-57,0,-32,-61,-23,0,0,0,-31,-46,-33,-47,-23,-26
2020-03-23,-61,0,-45,-52,-53,-42,-67,-50,-49,-60,-42,-57,0,-54,0,-46,-50,-44,0,-46,0,-43,-50,-42,-51,-36,-53
2020-03-24,-62,0,-43,-43,-57,-38,-69,-48,-53,-62,-49,-61,0,-56,0,-48,-42,-46,0,-50,0,-45,-46,-56,-50,-38,-56
2020-03-25,-63,0,-43,-49,-59,-44,-70,-55,-59,-62,-50,-59,0,-56,0,-54,-55,-45,0,-47,0,-42,-45,-48,-53,-40,-55
2020-03-26,-65,0,-40,-50,-57,-37,-72,-49,-58,-62,-49,-59,0,-59,0,-54,-52,-42,0,-49,0,-49,-50,-49,-56,-43,-56
2020-03-27,-66,-64,-46,-58,-59,-34,-74,-51,-64,-60,-51,-65,0,-59,0,-53,-62,-44,-46,-50,0,-43,-52,-54,-57,-45,-56
2020-03-28,-75,0,-57,-66,-73,-57,-80,-65,-75,-70,-71,-76,0,-68,0,-73,-70,-58,-58,-65,0,-56,-65,-67,-69,-62,-74
2020-03-29,-78,0,0,-74,-73,-56,-82,-68,-76,-71,-77,-77,0,-74,0,-84,-78,-59,0,0,0,-69,-73,-77,-75,-71,-76
2020-03-30,-76,0,-55,-63,-73,-51,-81,-62,-70,-72,-60,-74,0,-67,0,-68,-68,-63,-58,-60,0,-57,-61,-66,-68,-60,-71
2020-03-31,-74,0,-55,-58,-72,-47,-80,-61,-64,-69,-60,-71,0,-64,0,-65,-60,-60,-61,-61,0,-61,-59,-67,-67,-53,-66
2020-04-01,-75,0,-52,-62,-72,-56,-81,-64,-66,-70,-59,-73,0,-68,0,-66,-60,-62,-65,-58,0,-58,-65,-66,-67,-57,-68
2020-04-02,-76,-70,-55,-65,-72,-55,-82,-64,-73,-73,-67,-68,0,-71,0,-69,-63,-60,-63,-54,0,-64,-59,-64,-69,-54,-68
2020-04-03,-76,-70,-54,-69,-74,-53,-82,-64,-78,-69,-65,-74,0,-69,0,-68,-75,-56,-59,-55,0,-60,-65,-68,-69,-59,-68
2020-04-04,-74,0,-57,-72,-72,-52,-79,-63,-72,-63,-67,-71,0,-70,0,-70,-69,-50,-61,-62,0,-60,-66,-67,-71,-59,-66
2020-04-05,-79,0,0,-81,-83,-62,-81,-71,-85,-70,-74,-84,0,-77,0,-75,-85,-53,-74,0,0,-79,-81,-81,-81,-72,-73
2020-04-06,-74,-72,-55,-67,-68,-46,-80,-59,-68,-67,-53,-74,0,-66,0,-66,-66,-57,-61,-57,0,-59,-62,-59,-66,-54,-64
2020-04-07,-71,0,-57,-60,-68,-47,-77,-59,-60,-65,-56,-73,0,-61,0,-62,-55,-52,-55,-58,0,-55,-59,-63,-64,-51,-64
2020-04-08,-72,-79,-57,-59,-70,-54,-79,-62,-66,-65,-57,-68,0,-62,0,-63,-58,-53,-56,-56,0,-54,-60,-59,-67,-49,-67
2020-04-09,-73,-73,-50,-61,-70,-52,-80,-60,-67,-66,-51,-71,0,-64,0,-67,-60,-54,-51,-51,0,-55,-55,-51,-69,-53,-65
2020-04-10,-76,-73,-54,-69,-74,-58,-81,-64,-77,-67,-71,-72,0,-68,0,-69,-75,-57,-59,-61,0,-63,-64,-68,-72,-57,-66
2020-04-11,-70,0,-50,-68,-68,-49,-76,-54,-69,-57,-69,-67,0,-63,0,-68,-67,-43,-50,-56,0,-58,-61,-61,-66,-50,-63
