date,BZ
2020-02-15,19
2020-02-16,16
2020-02-17,7
2020-02-18,5
2020-02-19,4
2020-02-20,10
2020-02-21,2
2020-02-22,10
2020-02-23,18
2020-02-24,5
2020-02-25,10
2020-02-26,7
2020-02-27,8
2020-02-28,9
2020-02-29,19
2020-03-01,16
2020-03-02,9
2020-03-03,4
2020-03-04,9
2020-03-05,12
2020-03-06,4
2020-03-07,10
2020-03-08,2
2020-03-09,-26
2020-03-10,9
2020-03-11,5
2020-03-12,7
2020-03-13,3
2020-03-14,8
2020-03-15,-2
2020-03-16,-6
2020-03-17,-8
2020-03-18,-11
2020-03-19,-12
2020-03-20,-12
2020-03-21,-11
2020-03-22,-27
2020-03-23,-29
2020-03-24,-54
2020-03-25,-60
2020-03-26,-62
2020-03-27,-64
2020-03-28,-65
2020-03-29,-68
2020-03-30,-62
2020-03-31,-60
2020-04-01,-61
2020-04-02,-75
2020-04-03,-75
2020-04-04,-78
2020-04-05,-82
2020-04-06,-77
2020-04-07,-78
2020-04-08,-76
2020-04-09,-71
2020-04-10,-94
2020-04-11,-81
