date,IQ
2020-02-15,14
2020-02-16,12
2020-02-17,13
2020-02-18,11
2020-02-19,11
2020-02-20,9
2020-02-21,11
2020-02-22,13
2020-02-23,13
2020-02-24,13
2020-02-25,7
2020-02-26,7
2020-02-27,2
2020-02-28,13
2020-02-29,10
2020-03-01,5
2020-03-02,5
2020-03-03,3
2020-03-04,1
2020-03-05,-4
2020-03-06,9
2020-03-07,8
2020-03-08,1
2020-03-09,-1
2020-03-10,-3
2020-03-11,-7
2020-03-12,-7
2020-03-13,6
2020-03-14,-8
2020-03-15,-20
2020-03-16,-22
2020-03-17,-25
2020-03-18,-49
2020-03-19,-49
2020-03-20,-27
2020-03-21,-49
2020-03-22,-57
2020-03-23,-56
2020-03-24,-56
2020-03-25,-57
2020-03-26,-56
2020-03-27,-33
2020-03-28,-48
2020-03-29,-55
2020-03-30,-57
2020-03-31,-55
2020-04-01,-55
2020-04-02,-54
2020-04-03,-29
2020-04-04,-45
2020-04-05,-55
2020-04-06,-56
2020-04-07,-53
2020-04-08,-52
2020-04-09,-52
2020-04-10,-27
2020-04-11,-38
