date,ID,Aceh,Bali,Bangka Belitung Islands,Banten,Bengkulu,Central Java,Central Kalimantan,Central Sulawesi,East Java,East Kalimantan,East Nusa Tenggara,Gorontalo,Jakarta,Jambi,Lampung,Maluku,North Kalimantan,North Maluku,North Sulawesi,North Sumatra,Papua,Riau,Riau Islands,South East Sulawesi,South Kalimantan,South Sulawesi,South Sumatra,Special Region of Yogyakarta,West Java,West Kalimantan,West Nusa Tenggara,West Papua,West Sulawesi,West Sumatra
2020-02-15,-8,-7,-7,-2,8,-10,-16,2,0,-11,-5,8,24,16,9,-11,-11,-26,-8,-6,-13,2,-2,4,0,-7,2,-4,-13,-11,-4,22,6,-8,-11
2020-02-16,-7,5,-16,9,-9,-16,-7,-9,0,-9,-1,2,20,-15,8,-9,-9,3,1,-11,-6,4,-2,3,1,-3,0,-5,-3,-9,-7,-5,11,-8,-8
2020-02-17,-7,5,-5,-10,-1,-3,-6,-4,-3,-13,-9,-2,37,-6,-13,-13,-23,0,2,-2,-1,-1,-6,-4,-9,-14,-8,1,-8,-6,1,-20,-3,-24,-11
2020-02-18,-4,0,-6,1,5,-5,-8,3,-4,-6,-5,0,19,-3,-1,-17,-13,-2,-1,-4,-10,-4,-4,2,-5,4,-7,0,12,-7,1,-10,0,-7,-6
2020-02-19,-3,2,34,-2,0,2,-11,-14,0,-8,-5,-1,30,-2,-7,-9,-23,-3,0,-2,-6,-4,-5,-2,-5,-4,-3,-5,-18,-1,-1,-7,2,0,3
2020-02-20,-1,7,45,-1,5,-8,-6,5,-4,-1,1,-3,31,-2,-3,-4,-11,2,-4,-8,-1,3,-2,3,-13,4,5,0,-17,-2,-5,-12,-1,0,-1
2020-02-21,-5,8,-6,-4,10,10,-9,-2,-2,-16,0,-15,32,18,-3,3,-6,2,4,-9,-6,0,-3,0,-6,-1,-2,9,-24,1,-12,-17,3,-16,-7
2020-02-22,-5,4,-9,-14,12,7,-10,-3,-5,-10,1,0,34,11,-2,-3,-4,1,-5,-10,-11,-3,1,2,-7,-2,9,5,-5,-5,-7,1,-3,1,-2
2020-02-23,-5,3,-2,-3,7,4,-6,5,-4,-9,6,-1,19,-11,-2,-6,-8,4,-2,-17,-6,0,-2,-1,-2,3,0,4,-8,-8,-10,-2,-1,7,-3
2020-02-24,-4,1,2,0,5,-2,-8,-4,-3,-3,-3,1,25,-3,-11,-7,-2,0,0,-10,0,7,-5,-12,-8,4,-5,0,-13,-6,0,-7,8,6,-1
2020-02-25,-6,1,-2,-1,0,-5,-7,-12,-2,-10,0,1,10,-17,-1,-12,-6,5,-4,-6,0,5,-2,2,-7,5,-1,-2,-17,-4,-7,-8,9,-9,-3
2020-02-26,-3,2,-10,3,9,-13,-9,-10,-2,-11,-5,-1,42,3,-2,-1,-4,0,-11,-7,13,4,-2,0,-8,-5,1,5,-20,-3,-9,-10,3,-6,3
2020-02-27,-3,1,-6,5,10,-1,-9,-8,-7,-4,1,-3,35,1,-1,-1,-12,3,-5,-9,-6,2,-3,-1,-7,12,-2,2,-9,0,-1,-11,0,-5,2
2020-02-28,-5,0,-10,-4,8,1,-14,-12,-2,-11,0,-11,35,7,1,-3,-8,8,3,-8,-10,-4,-1,1,-5,18,-6,10,-6,-4,-11,-10,6,0,-2
2020-02-29,-7,4,-2,0,7,-11,-17,-16,0,-13,1,-3,37,-1,3,-10,-11,3,-9,-7,-7,-11,0,8,-4,20,-1,2,-16,-4,2,2,-2,-7,2
2020-03-01,-8,12,-20,9,6,-11,-18,-14,0,-11,3,-4,34,-11,13,-6,-11,6,-9,-27,-10,-1,-2,5,-3,27,-4,5,-20,-6,-15,-32,-1,-2,-5
2020-03-02,0,5,-3,0,12,-2,-3,2,-5,-4,-1,-6,7,5,-8,-7,-7,-4,-11,-20,-4,4,-3,8,-7,44,-9,8,-17,6,-1,-4,2,-11,-10
2020-03-03,-2,5,-8,1,13,-10,-4,-8,-5,-5,0,-3,19,-1,-3,-5,-4,0,-6,-7,0,0,-7,3,-6,9,-3,4,-13,0,-7,-4,6,-15,0
2020-03-04,-5,8,-6,-1,0,2,-13,-1,-9,-5,-2,-2,24,-8,-11,-8,-9,-10,-1,-7,-2,-1,-3,1,-14,11,-10,-1,-24,-3,3,-10,8,-12,6
2020-03-05,-1,3,-5,-1,13,3,-2,2,-3,1,-7,-6,44,1,-7,-5,-5,3,-3,-7,-1,2,-13,-1,-9,-8,-9,3,-16,4,-5,-10,5,-9,-10
2020-03-06,-3,4,-14,-8,13,34,-7,6,-4,-13,-4,-5,4,19,1,0,-10,5,-6,-10,-8,-2,-7,3,-4,6,-9,7,-10,2,-5,-16,3,-11,5
2020-03-07,-4,14,-21,-6,19,12,-14,0,5,-12,-4,-3,27,15,-2,-3,-24,4,3,-8,-1,-6,-7,2,-3,-2,-1,3,-15,5,5,-9,-7,-11,5
2020-03-08,-4,10,-20,0,15,-1,-8,18,-2,-7,1,-8,25,1,4,-11,-13,-1,-2,-6,-8,-3,-5,3,-3,9,-6,-3,-16,-2,1,-12,3,-3,-6
2020-03-09,-1,8,-16,7,12,2,-1,11,-3,-4,-8,-4,22,7,-6,-5,-2,-1,-2,-2,-1,2,-6,1,-3,1,0,4,-26,4,4,-11,5,-7,2
2020-03-10,2,-3,-6,2,12,6,4,6,-1,3,-3,2,32,2,2,-4,-6,-5,-3,-3,-3,-2,-4,4,-3,9,0,3,0,2,3,-7,14,-8,-1
2020-03-11,2,4,-4,1,10,15,3,4,2,-1,2,0,53,3,0,-6,-4,4,0,-2,-2,-2,-6,3,0,5,-1,3,-17,6,7,-1,9,-7,7
2020-03-12,0,3,-15,7,8,2,6,1,-1,3,-1,-3,43,-7,0,-6,-3,3,-8,-8,-1,1,-7,2,-2,14,-3,4,-6,3,3,-9,-2,-12,-10
2020-03-13,-2,4,-17,0,18,6,-4,-15,-3,-11,-2,-4,34,16,2,2,-6,4,3,-7,-6,-1,-6,2,-6,-3,-4,7,-9,5,-18,-14,1,-5,0
2020-03-14,-6,3,-18,1,3,-8,-7,1,-4,-3,-2,6,40,-17,-4,-6,-11,8,-2,-3,-9,-3,-4,6,-18,1,-2,4,-16,-8,3,0,-4,-5,4
