date,CM
2020-02-15,1
2020-02-16,-1
2020-02-17,4
2020-02-18,1
2020-02-19,0
2020-02-20,0
2020-02-21,-2
2020-02-22,-4
2020-02-23,-7
2020-02-24,-2
2020-02-25,-3
2020-02-26,1
2020-02-27,3
2020-02-28,3
2020-02-29,0
2020-03-01,2
2020-03-02,5
2020-03-03,6
2020-03-04,7
2020-03-05,7
2020-03-06,7
2020-03-07,4
2020-03-08,8
2020-03-09,2
2020-03-10,3
2020-03-11,1
2020-03-12,0
2020-03-13,-1
2020-03-14,-3
2020-03-15,-2
2020-03-16,1
2020-03-17,0
2020-03-18,-5
2020-03-19,-9
2020-03-20,-14
2020-03-21,-13
2020-03-22,-20
2020-03-23,-12
2020-03-24,-18
2020-03-25,-17
2020-03-26,-16
2020-03-27,-19
2020-03-28,-20
2020-03-29,-23
2020-03-30,-18
2020-03-31,-17
2020-04-01,-21
2020-04-02,-24
2020-04-03,-25
2020-04-04,-22
2020-04-05,-25
2020-04-06,-21
2020-04-07,-22
2020-04-08,-26
2020-04-09,-25
2020-04-10,-30
2020-04-11,-27
