date,ZM
2020-02-15,-5
2020-02-16,-7
2020-02-17,-8
2020-02-18,-4
2020-02-19,-7
2020-02-20,-8
2020-02-21,-11
2020-02-22,-9
2020-02-23,-11
2020-02-24,-11
2020-02-25,-7
2020-02-26,-6
2020-02-27,-2
2020-02-28,-4
2020-02-29,2
2020-03-01,0
2020-03-02,0
2020-03-03,3
2020-03-04,1
2020-03-05,5
2020-03-06,3
2020-03-07,4
2020-03-08,3
2020-03-09,-5
2020-03-10,1
2020-03-11,1
2020-03-12,-5
2020-03-13,-6
2020-03-14,-7
2020-03-15,-9
2020-03-16,-10
2020-03-17,-9
2020-03-18,-8
2020-03-19,-5
2020-03-20,-4
2020-03-21,-10
2020-03-22,-15
2020-03-23,-12
2020-03-24,-9
2020-03-25,-10
2020-03-26,-9
2020-03-27,-17
2020-03-28,-17
2020-03-29,-24
2020-03-30,-17
2020-03-31,-14
2020-04-01,-14
2020-04-02,-15
2020-04-03,-20
2020-04-04,-23
2020-04-05,-28
2020-04-06,-22
2020-04-07,-20
2020-04-08,-21
2020-04-09,-18
2020-04-10,-27
2020-04-11,-28
