date,total,Riga
2020-02-29,3.622384499978091,2.549039711523311
2020-03-01,3.0191927952942392,1.2338691286548111
2020-03-02,2.2623731765488166,2.260180427140557
2020-03-03,2.43217244998529,2.2238338946685547
2020-03-04,1.498276446084688,1.4691651020261935
2020-03-05,2.1063195585810104,1.9961898228702255
2020-03-06,1.674544263271122,2.1253156619154963
2020-03-07,3.439648139041696,2.549039711523311
2020-03-08,7.366054195267948,6.323340162431748
2020-03-09,1.2872402062422146,1.3496041399472392
2020-03-10,1.8783033913948897,1.3457781891607126
2020-03-11,0.3379814109354558,0.11764798668569128
2020-03-12,0.14554223437411973,-0.1759937361802211
2020-03-13,-19.179232218634,-15.790655383691687
2020-03-14,-8.667040056978829,-9.036895757775701
2020-03-15,-7.9094118702646625,-6.169345643274055
2020-03-16,-30.048002854505764,-28.789323180915627
2020-03-17,-34.473295347447745,-34.44025249261533
2020-03-18,-37.49248814274199,-37.70857095200564
2020-03-19,-38.428001282580084,-39.454160998358375
2020-03-20,-38.596991988047805,-39.780323302909764
2020-03-21,-18.572806242075167,-22.12834286157291
2020-03-22,-19.92473188581699,-22.51763335410199
2020-03-23,-39.38615432554303,-40.82193840454161
2020-03-24,-40.90302783490886,-42.51683460297287
2020-03-25,-40.93617912162741,-42.49866133673687
2020-03-26,-41.15206676928236,-43.006556303648274
2020-03-27,-40.79548829506576,-42.6354390773552
2020-03-28,-22.92937045767382,-29.774505508446214
2020-03-29,-25.720547085781934,-29.766853606873156
2020-03-30,-41.311354659125136,-43.66844578971737
2020-03-31,-42.23959068724453,-44.79901424713596
2020-04-01,-43.280217663019485,-45.58524713376716
2020-04-02,-44.07018856848345,-46.529300490342585
2020-04-03,-43.244640672394695,-46.036709326577295
2020-04-04,-25.86366361624982,-32.32354521996952
2020-04-05,-24.392069913133724,-30.229793652042872
2020-04-06,-42.09404845287041,-44.843012681181015
2020-04-07,-42.672983118491906,-45.38438471747452
2020-04-08,-42.50641811693041,-45.232303173710086
2020-04-09,-43.62224191379867,-46.6172973584327
2020-04-10,-77.50528264406249,-78.43773004997398
2020-04-11,-30.999687353718755,-38.00029969947828
