date,CO,Amazonas Department,Antioquia,Arauca,Atlantico,Bogota,Bolivar,Boyaca,Caldas,Caquetá,Casanare,Cauca,Cesar,Choco,Cordoba,Cundinamarca,Guaviare,Huila,La Guajira,Magdalena,Meta,Narino,North Santander,Putumayo,Quindio,Risaralda,San Andrés and Providencia,Santander,Sucre,Tolima,Valle del Cauca,Vichada
2020-02-15,1,0,0,0,-2,-1,0,2,1,1,4,6,5,4,2,0,0,1,5,2,1,3,3,5,1,1,0,1,3,1,1,0
2020-02-16,2,0,2,0,0,1,0,4,3,2,6,7,6,0,4,1,0,2,5,3,3,4,5,0,2,2,0,3,3,3,2,0
2020-02-17,-1,0,-1,-2,-2,-2,-1,-1,-1,-1,0,0,0,0,-2,-2,0,-1,-1,-1,-1,-1,1,0,-2,-2,0,-1,-2,-1,-1,NA
2020-02-18,-1,0,-2,-1,-2,-2,-1,-1,-1,0,0,-1,-1,1,-2,-2,0,-1,-1,-2,-1,-1,0,0,-2,-2,0,-2,-1,-1,-2,NA
2020-02-19,-2,0,-2,-1,-3,-2,-1,-2,-1,0,-1,-2,-2,-1,-2,-2,0,-2,-2,-2,0,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,0
2020-02-20,-1,0,-1,0,-3,-1,-1,0,1,0,1,0,0,2,-1,-1,0,0,0,-1,0,-1,0,0,0,0,0,-1,0,0,-1,0
2020-02-21,-1,0,0,2,-3,-1,-1,-1,1,0,0,0,-1,3,-1,-1,0,0,-1,-2,-1,-1,0,0,-1,0,0,-1,-2,0,-1,0
2020-02-22,0,0,0,0,0,0,-1,2,2,-1,1,1,0,2,0,1,0,1,-1,0,0,0,0,1,1,1,0,0,0,1,1,0
2020-02-23,2,0,1,0,-2,3,1,4,2,3,2,2,1,0,1,3,0,3,-1,-1,4,0,2,0,3,2,0,2,2,3,2,0
2020-02-24,0,0,-1,0,8,-1,-1,-1,-1,0,0,0,-1,0,-1,-1,0,0,4,5,-1,-1,-1,-1,0,-1,0,0,-1,0,-1,NA
2020-02-25,0,0,-1,0,10,-1,-1,0,0,0,0,-1,-1,1,-1,-1,0,0,3,2,-1,-1,-1,-1,0,0,0,-1,0,0,-1,0
2020-02-26,-2,0,-2,-1,-2,-2,-2,-1,0,0,-1,0,-1,-1,-2,-2,0,0,-2,-1,-1,-2,-2,-1,0,-1,0,-1,-1,-1,-1,NA
2020-02-27,-2,0,-1,-1,-3,-3,-1,-1,0,-1,0,-1,0,1,-2,-2,0,-1,-1,-1,-1,-1,-2,-1,-1,0,0,-1,-1,-1,-2,0
2020-02-28,-3,0,-2,-1,-3,-3,-2,-3,-1,-1,-2,-2,-2,-2,-4,-3,0,-2,-2,-2,-3,-3,-3,-2,-2,-2,0,-2,-2,-3,-2,0
2020-02-29,-1,0,-1,0,0,-2,-2,-1,-1,-1,0,-1,0,1,-2,-1,0,-2,0,0,-1,-1,-1,-1,0,-1,0,-1,-2,-2,-1,0
2020-03-01,1,0,1,0,2,0,1,1,1,3,2,2,1,0,1,0,0,0,1,2,2,-1,1,0,2,0,0,1,1,1,1,0
2020-03-02,-2,0,-1,1,-3,-3,-2,-1,-2,-1,-1,-2,-2,-1,-2,-2,0,-2,-1,-2,-2,-1,-2,0,-2,-2,0,-1,-2,-1,-2,NA
2020-03-03,-2,0,-1,0,-2,-3,-2,0,-2,-1,-1,-2,-2,0,-2,-2,0,-2,0,-2,-2,-1,-1,0,-1,-2,0,-2,-2,-1,-2,0
2020-03-04,-2,0,-1,0,-3,-3,-2,-2,-1,-1,-1,-3,-2,-1,-4,-3,0,-2,-3,-2,-1,-2,-2,-1,-2,-2,0,-2,-2,-2,-2,0
2020-03-05,-2,0,-2,-1,-3,-4,-2,-2,-1,-1,-1,-2,-1,0,-3,-3,0,-2,-1,-1,-2,-2,-2,-1,-2,-2,0,-1,-2,-2,-3,0
2020-03-06,-3,0,-1,0,-3,-3,-2,-4,-1,-1,-2,-2,-1,0,-3,-4,0,-2,-1,-2,-3,-3,-3,-2,-2,-2,0,-3,-3,-2,-2,0
2020-03-07,0,0,0,0,0,0,0,-1,1,-1,0,0,0,1,-2,0,0,-1,1,0,-1,-2,-1,-1,1,0,0,-1,0,-1,0,0
2020-03-08,1,0,1,0,2,2,1,1,2,0,1,0,1,0,1,1,0,0,-1,1,2,-2,0,0,1,1,0,1,1,0,0,0
2020-03-09,-1,0,0,1,-2,-2,-1,-1,-1,1,0,-1,-1,0,-2,-1,0,0,-1,-1,0,-1,-1,-1,-2,-1,0,0,-2,0,-1,NA
2020-03-10,-1,0,0,1,-2,-2,-1,0,-1,0,0,-1,-2,-1,-2,-1,0,-1,-1,-2,-1,-1,-1,0,-1,-2,0,-2,-1,0,-1,0
2020-03-11,-2,0,0,1,-2,-2,-1,-1,-1,0,-1,-1,-2,-1,-2,-2,0,-1,-1,-2,-1,-2,-2,-1,-1,-1,0,-1,-2,-1,-1,0
2020-03-12,-1,0,0,-1,-2,-2,-1,-1,0,0,0,-1,-1,0,-2,-2,0,-1,-1,-1,-1,-2,-1,-1,-1,-1,0,-1,-1,-1,-1,0
2020-03-13,-1,0,1,1,-2,-1,0,-2,0,0,-1,-1,-1,0,-3,-1,0,-1,-1,-1,-1,-3,-2,-3,-1,-1,0,-1,-2,-1,-1,0
2020-03-14,1,0,1,0,0,3,1,2,2,0,2,2,0,0,0,2,0,1,1,1,0,0,0,-2,2,2,0,1,0,1,1,0
2020-03-15,4,0,3,0,0,5,4,4,5,2,5,4,2,0,2,4,0,4,2,3,6,1,4,0,5,5,0,4,3,4,4,0
2020-03-16,5,0,5,4,4,7,6,4,6,2,4,5,3,3,5,5,0,6,3,3,5,4,5,2,5,5,0,5,3,6,4,NA
2020-03-17,9,0,9,6,8,11,12,7,10,6,7,6,4,3,8,9,0,9,5,7,9,6,9,5,8,8,0,7,7,8,7,0
2020-03-18,11,0,12,8,11,12,14,10,15,8,9,8,6,4,8,10,0,11,6,9,11,7,14,6,11,12,0,10,8,12,9,0
2020-03-19,11,0,14,8,13,10,16,12,17,10,12,10,8,7,9,8,0,12,8,11,7,8,16,8,13,15,0,11,10,13,10,0
2020-03-20,25,0,16,12,16,47,17,24,18,8,12,15,11,7,11,41,0,12,11,13,36,10,16,10,17,15,0,14,12,15,12,0
2020-03-21,30,0,32,0,18,36,26,31,30,0,25,19,13,0,12,34,0,30,11,15,32,24,31,0,21,33,0,32,13,31,31,0
2020-03-22,25,0,25,0,18,27,22,26,27,0,23,24,20,0,14,27,0,26,12,18,27,21,25,0,28,27,0,26,16,26,26,0
2020-03-23,37,0,37,0,30,45,32,33,34,0,30,31,27,0,19,43,0,33,19,25,32,28,33,0,35,36,0,37,21,35,35,0
2020-03-24,28,0,29,0,19,36,23,25,27,18,23,23,18,11,12,32,0,23,16,21,27,16,25,20,28,27,0,27,14,27,24,0
2020-03-25,35,0,35,0,31,42,29,30,32,23,35,29,27,0,26,38,0,30,26,26,33,29,29,0,32,34,0,33,27,31,32,0
2020-03-26,35,0,36,0,31,42,29,31,32,27,36,29,28,0,26,38,0,30,27,27,33,30,30,0,32,34,0,33,27,30,32,0
2020-03-27,38,0,38,0,33,46,31,33,35,29,36,30,30,0,27,40,0,32,28,28,34,31,31,0,34,36,0,35,27,32,34,0
2020-03-28,31,0,31,0,28,36,26,31,30,0,33,27,27,0,25,34,0,29,25,25,31,27,28,0,31,32,0,30,24,29,30,0
2020-03-29,26,0,25,0,23,28,22,27,26,0,29,25,24,0,23,28,0,26,20,22,28,25,24,0,28,28,0,26,23,26,26,0
2020-03-30,34,0,34,0,31,41,29,30,30,27,32,28,27,0,26,37,0,29,24,25,31,30,28,0,30,32,0,32,25,30,31,0
2020-03-31,34,0,34,0,30,41,28,30,30,27,31,26,25,17,24,37,0,28,23,24,30,28,28,0,30,31,0,31,25,29,30,0
2020-04-01,33,0,34,0,30,41,28,29,30,26,31,27,25,0,25,36,0,27,24,24,31,28,27,0,30,32,0,31,24,29,30,0
2020-04-02,34,0,35,0,31,40,28,30,32,28,31,27,26,17,25,36,0,28,25,25,30,29,28,0,32,33,0,31,25,29,30,0
2020-04-03,36,0,37,0,32,44,30,31,34,27,32,29,28,0,26,39,0,31,26,26,33,31,29,0,33,34,0,34,26,30,32,0
2020-04-04,31,0,31,0,29,35,26,29,29,0,30,27,25,0,25,33,0,31,24,25,31,27,27,0,30,32,0,31,24,28,29,0
2020-04-05,26,0,25,0,23,27,22,27,26,0,27,24,23,0,23,28,0,27,21,22,29,24,23,0,27,28,0,26,22,25,24,0
2020-04-06,34,0,34,0,30,40,27,31,30,27,30,27,27,0,26,36,0,29,24,25,31,30,30,0,30,32,0,32,25,30,31,0
2020-04-07,33,0,33,0,30,40,27,29,29,26,28,26,25,16,24,35,0,28,22,23,29,28,29,0,29,31,0,30,23,29,30,0
2020-04-08,32,0,32,0,29,39,26,27,29,26,28,25,23,15,22,34,0,26,21,23,30,26,27,0,29,31,0,30,22,27,29,0
2020-04-09,38,0,38,0,33,45,30,35,35,0,35,30,28,0,25,41,0,32,25,27,35,30,32,0,33,37,0,35,26,32,35,0
2020-04-10,42,0,43,0,37,52,34,39,39,0,39,34,32,0,29,48,0,36,28,31,39,34,35,0,37,40,0,39,28,37,39,0
2020-04-11,32,0,32,0,30,36,27,33,29,0,31,28,26,0,25,35,0,30,21,24,31,29,32,0,31,33,0,33,30,29,30,0
