date,FR,Auvergne-Rhône-Alpes,Bourgogne-Franche-Comté,Brittany,Centre-Val de Loire,Corsica,Grand Est,Hauts-de-France,Île-de-France,Normandy,Nouvelle-Aquitaine,Occitanie,Pays de la Loire,Provence-Alpes-Côte d'Azur
2020-02-15,-2,5,5,-6,0,2,2,-3,-12,0,5,-4,-4,1
2020-02-16,6,15,16,-1,13,11,14,-1,-6,3,17,2,-5,5
2020-02-17,1,2,1,6,2,2,0,5,-2,6,0,0,4,1
2020-02-18,5,8,5,9,4,4,3,4,-1,6,6,6,5,7
2020-02-19,-4,-1,-2,-2,-2,-2,-5,-3,-7,-3,0,-3,-4,0
2020-02-20,-2,6,2,1,-4,0,-2,-4,-3,-2,1,2,-4,3
2020-02-21,-1,7,6,-6,-4,0,-2,-5,-4,-4,3,1,-5,2
2020-02-22,-6,1,-2,-13,-9,-3,-6,-12,-8,-10,-3,-4,-13,-3
2020-02-23,8,25,15,8,4,8,2,-4,-2,7,10,17,-6,14
2020-02-24,3,14,6,-1,-3,0,4,1,-1,0,2,3,-1,6
2020-02-25,1,6,1,3,-3,1,0,0,-3,-1,1,2,0,5
2020-02-26,-5,-2,-8,-4,-7,-13,-9,-4,-4,-7,-6,-4,-4,-3
2020-02-27,-5,-2,-5,1,-6,-5,-11,-10,-2,-4,-6,-2,-3,-3
2020-02-28,-1,4,0,-7,-4,1,0,-6,-2,-7,-4,7,-6,3
2020-02-29,-7,-12,-12,-9,-6,-4,-7,-10,-4,-8,-10,2,-10,-10
2020-03-01,1,6,7,2,-2,-8,6,1,-11,10,-2,12,-8,0
2020-03-02,-6,-6,-4,-4,-4,-12,-6,-5,-6,-2,-5,-4,-3,-10
2020-03-03,-1,1,1,-2,-1,-3,-1,-2,-4,0,-4,-3,-1,0
2020-03-04,-6,-3,-4,-8,-4,-1,-5,-6,-8,-4,-8,-3,-5,-2
2020-03-05,-8,-7,-5,-5,-7,-4,-7,-7,-8,-4,-7,-3,-5,-7
2020-03-06,-2,-3,-2,-5,0,2,-4,-1,-6,0,-6,1,-1,5
2020-03-07,-4,-8,-6,-4,1,0,-2,-4,-8,1,-7,0,-2,-1
2020-03-08,0,8,6,3,3,7,0,-3,-11,5,-8,7,-5,7
2020-03-09,-5,-3,-3,-5,-2,-9,-5,-1,-7,-1,-4,-4,-4,-5
2020-03-10,-5,-5,-7,-3,-3,-4,-9,-6,-10,-3,-2,0,-3,-1
2020-03-11,-6,-1,-5,-6,-3,-9,-9,-7,-9,-4,-5,-1,-3,-2
2020-03-12,-8,-5,-5,-5,-7,-12,-10,-8,-9,-5,-6,-6,-5,-5
2020-03-13,-8,-4,-4,-10,-5,-15,-9,-8,-14,-7,-4,-4,-6,-6
2020-03-14,-21,-18,-19,-20,-18,-29,-23,-22,-28,-16,-21,-18,-20,-18
2020-03-15,-38,-32,-27,-32,-23,-38,-36,-39,-53,-31,-30,-34,-33,-38
2020-03-16,-43,-42,-39,-42,-41,-43,-44,-40,-47,-40,-39,-43,-40,-42
2020-03-17,-68,-68,-64,-67,-64,-65,-68,-68,-73,-66,-65,-67,-66,-66
2020-03-18,-83,-82,-82,-84,-82,-81,-84,-83,-84,-82,-82,-82,-83,-81
2020-03-19,-82,-82,-81,-83,-81,-80,-83,-83,-83,-81,-81,-82,-82,-81
2020-03-20,-83,-83,-83,-84,-82,-81,-84,-85,-84,-83,-82,-83,-83,-82
2020-03-21,-88,-88,-89,-88,-88,-85,-89,-89,-88,-88,-87,-87,-88,-87
2020-03-22,-86,-86,-84,-85,-83,-83,-87,-86,-89,-84,-84,-85,-86,-86
2020-03-23,-81,-82,-81,-82,-80,-80,-82,-81,-83,-80,-79,-81,-81,-80
2020-03-24,-83,-83,-83,-82,-81,-82,-84,-83,-84,-81,-81,-82,-82,-82
2020-03-25,-84,-85,-84,-84,-83,-84,-85,-84,-85,-83,-83,-84,-84,-83
2020-03-26,-84,-84,-83,-84,-82,-84,-84,-83,-84,-82,-82,-84,-83,-82
2020-03-27,-84,-84,-83,-84,-83,-82,-85,-84,-85,-83,-82,-83,-84,-82
2020-03-28,-87,-88,-88,-88,-87,-85,-88,-88,-88,-87,-87,-87,-88,-86
2020-03-29,-88,-87,-87,-87,-86,-84,-89,-88,-91,-86,-86,-86,-88,-87
2020-03-30,-84,-84,-83,-84,-83,-81,-84,-83,-86,-82,-83,-83,-83,-82
2020-03-31,-90,-90,-88,-89,-88,-91,-89,-90,-92,-89,-88,-88,-89,-89
2020-04-01,-90,-90,-89,-90,-89,-90,-90,-91,-92,-90,-89,-89,-90,-89
2020-04-02,-90,-89,-88,-89,-88,-90,-89,-90,-92,-89,-89,-88,-90,-88
2020-04-03,-86,-86,-85,-86,-84,-86,-86,-84,-88,-85,-85,-84,-86,-84
2020-04-04,-88,-89,-89,-89,-87,-89,-88,-87,-89,-88,-88,-88,-89,-88
2020-04-05,-85,-85,-83,-84,-81,-86,-84,-83,-90,-82,-84,-84,-84,-87
2020-04-06,-83,-83,-81,-84,-83,-83,-82,-81,-86,-83,-83,-81,-84,-81
2020-04-07,-82,-82,-81,-83,-81,-82,-82,-81,-85,-82,-81,-81,-83,-80
2020-04-08,-84,-83,-83,-84,-83,-83,-83,-83,-86,-84,-83,-83,-84,-82
2020-04-09,-83,-83,-81,-83,-81,-82,-80,-81,-85,-82,-82,-82,-83,-81
2020-04-10,-83,-82,-81,-83,-81,-81,-88,-81,-85,-82,-81,-81,-83,-80
2020-04-11,-86,-86,-86,-86,-84,-85,-85,-85,-87,-86,-85,-85,-86,-84
