date,BG,Blagoevgrad Province,Burgas,Dobrich Province,Gabrovo,Haskovo Province,Jambol,Kardzhali Province,Kyustendil Province,Lovec,Montana Province,Pazardzhik,Pernik,Pleven Province,Plovdiv Province,Razgrad,Ruse,Shumen Province,Silistra,Sliven Province,Smoljan,Sofia City Province,Sofia Province,Stara Zagora,Targovishte Province,Varna,Veliko Tarnovo Province,Vidin,Vraca
2020-02-15,-7,-1,-23,-3,-15,-19,0,-25,1,-15,6,-15,0,-18,-19,0,-12,-15,0,-21,-3,16,-19,-23,0,-14,-16,0,-10
2020-02-16,68,64,37,24,0,40,0,34,55,40,0,77,0,61,105,0,0,0,0,0,1,97,43,63,0,36,45,0,40
2020-02-17,22,25,1,6,0,9,0,10,0,0,0,10,0,38,20,0,0,0,0,18,9,36,22,16,0,21,32,0,19
2020-02-18,26,26,16,21,0,13,0,23,0,0,0,17,0,19,34,0,0,0,0,14,10,29,20,22,0,17,23,0,13
2020-02-19,15,25,6,5,0,16,0,15,0,0,0,11,0,-1,30,0,4,0,0,0,4,20,7,13,0,16,2,0,-8
2020-02-20,-10,-4,-29,-8,0,-8,0,-12,0,-17,0,-12,0,-6,-5,0,9,0,0,-9,-5,-3,-14,-15,0,-14,-17,0,-19
2020-02-21,-1,9,-7,-10,-4,-8,0,-7,12,2,0,6,0,-5,1,0,13,-4,0,-4,-4,6,0,-4,0,6,-11,0,-11
2020-02-22,-7,15,-37,-11,-23,-17,0,-18,6,131,8,-4,0,-10,-12,0,19,-27,0,-19,-5,8,-9,-18,0,-26,-20,0,-6
2020-02-23,61,61,40,11,0,33,0,43,52,52,0,68,0,51,93,0,39,0,0,0,-4,82,49,44,0,41,40,0,40
2020-02-24,4,6,3,-11,0,5,0,5,0,0,0,2,0,-2,8,0,6,0,0,-6,6,7,-3,3,0,20,5,0,0
2020-02-25,24,10,26,5,0,13,0,8,0,0,0,18,0,27,22,0,0,0,0,12,-1,27,17,19,0,28,24,0,13
2020-02-26,29,18,25,22,0,14,0,-3,0,0,0,16,0,38,28,0,0,0,0,11,4,31,30,21,0,75,34,0,15
2020-02-27,-3,-4,-3,3,0,0,0,10,0,0,0,2,0,-2,-2,0,2,0,0,-2,-7,-5,-6,-1,0,13,-6,0,-7
