date,BZ
2020-02-15,4
2020-02-16,1
2020-02-17,-2
2020-02-18,-1
2020-02-19,-5
2020-02-20,1
2020-02-21,-2
2020-02-22,1
2020-02-23,1
2020-02-24,-1
2020-02-25,0
2020-02-26,-1
2020-02-27,5
2020-02-28,3
2020-02-29,7
2020-03-01,3
2020-03-02,1
2020-03-03,0
2020-03-04,1
2020-03-05,7
2020-03-06,2
2020-03-07,3
2020-03-08,4
2020-03-09,-25
2020-03-10,7
2020-03-11,6
2020-03-12,25
2020-03-13,27
2020-03-14,22
2020-03-15,5
2020-03-16,9
2020-03-17,8
2020-03-18,6
2020-03-19,17
2020-03-20,31
2020-03-21,24
2020-03-22,-13
2020-03-23,15
2020-03-24,-16
2020-03-25,-11
2020-03-26,-37
2020-03-27,-34
2020-03-28,-40
2020-03-29,-49
2020-03-30,-29
2020-03-31,-20
2020-04-01,-20
2020-04-02,-50
2020-04-03,-47
2020-04-04,-51
2020-04-05,-64
2020-04-06,-47
2020-04-07,-48
2020-04-08,-47
2020-04-09,-27
2020-04-10,-92
2020-04-11,-50
