date,PL,Greater Poland Voivodeship,Kuyavian-Pomeranian Voivodeship,Lesser Poland Voivodeship,Łódź Voivodeship,Lower Silesian Voivodeship,Lublin Voivodeship,Lubusz Voivodeship,Masovian Voivodeship,Opole Voivodeship,Podkarpackie Voivodeship,Podlaskie Voivodeship,Pomeranian Voivodeship,Silesian Voivodeship,Swietokrzyskie,Warmian-Masurian Voivodeship,West Pomeranian Voivodeship
2020-02-15,4,11,5,14,6,7,6,12,-7,12,1,5,8,13,14,10,6
2020-02-16,6,4,10,17,7,8,5,6,2,15,6,7,6,14,18,4,1
2020-02-17,1,15,12,17,7,-9,14,17,-6,-3,19,14,13,11,25,13,-4
2020-02-18,-1,0,5,8,2,-10,7,2,-10,-7,7,11,3,7,15,-1,-7
2020-02-19,-1,-1,9,6,-1,-10,6,4,-9,-6,4,4,3,4,15,0,-9
2020-02-20,3,3,9,9,2,-7,5,10,-7,-3,9,7,9,5,15,3,-4
2020-02-21,-3,-1,9,6,6,-12,10,2,-13,-10,1,12,13,1,11,10,-7
2020-02-22,2,6,1,8,3,3,10,5,-2,7,4,8,5,5,13,2,1
2020-02-23,-2,2,5,2,-1,-5,2,0,-1,4,3,8,6,-6,11,5,-1
2020-02-24,3,14,8,9,6,0,5,13,0,1,11,11,12,5,13,11,1
2020-02-25,5,3,1,7,4,2,5,2,2,0,5,10,5,5,8,0,4
2020-02-26,3,2,6,4,1,-1,3,1,1,1,1,4,2,1,12,-2,0
2020-02-27,5,3,5,8,4,1,9,5,1,4,8,2,5,3,13,-2,2
2020-02-28,5,2,8,8,8,1,17,6,0,3,6,16,14,6,14,13,2
2020-02-29,1,2,-2,2,1,0,8,1,2,3,2,4,4,2,5,4,1
2020-03-01,10,11,14,7,15,12,5,9,11,12,4,8,13,8,10,9,10
2020-03-02,3,14,9,9,6,0,6,16,0,2,16,13,11,6,12,7,2
2020-03-03,2,-2,0,4,1,-4,9,-3,-1,0,6,13,-1,4,11,-3,0
2020-03-04,4,3,7,1,3,0,5,3,-1,2,-5,2,5,4,10,0,3
2020-03-05,7,2,9,6,9,0,8,3,2,3,8,4,5,6,14,1,5
2020-03-06,3,3,6,3,11,-1,17,1,-2,2,6,15,12,7,13,11,1
2020-03-07,0,5,-6,-4,2,-6,12,-7,1,1,5,7,3,2,6,5,-2
2020-03-08,13,25,13,7,13,13,15,15,10,17,12,9,22,11,5,9,17
2020-03-09,3,13,4,9,9,-3,11,9,0,2,17,12,9,8,19,12,3
2020-03-10,3,-1,1,0,4,-3,11,-3,-3,0,8,11,2,8,8,1,0
