date,MK
2020-02-15,0
2020-02-16,5
2020-02-17,10
2020-02-18,7
2020-02-19,5
2020-02-20,-1
2020-02-21,5
2020-02-22,0
2020-02-23,3
2020-02-24,7
2020-02-25,5
2020-02-26,5
2020-02-27,-3
2020-02-28,-6
2020-02-29,-5
2020-03-01,6
2020-03-02,8
2020-03-03,4
2020-03-04,2
2020-03-05,9
2020-03-06,5
2020-03-07,-9
2020-03-08,4
2020-03-09,2
2020-03-10,-1
2020-03-11,-11
2020-03-12,-15
2020-03-13,-24
2020-03-14,-30
2020-03-15,-48
2020-03-16,-34
2020-03-17,-40
2020-03-18,-43
2020-03-19,-48
2020-03-20,-53
2020-03-21,-56
2020-03-22,-64
2020-03-23,-64
2020-03-24,-64
2020-03-25,-64
2020-03-26,-65
2020-03-27,-64
2020-03-28,-73
2020-03-29,-69
2020-03-30,-55
2020-03-31,-60
2020-04-01,-67
2020-04-02,-60
2020-04-03,-60
2020-04-04,-74
2020-04-05,-75
2020-04-06,-55
2020-04-07,-50
2020-04-08,-63
2020-04-09,-60
2020-04-10,-59
2020-04-11,-93
