date,total,Riga
2020-02-29,15.505879596141462,6.266106525607411
2020-03-01,37.88439632931688,38.79428948346239
2020-03-02,6.388229274196527,4.421725017687798
2020-03-03,7.008625390886983,3.261441378160187
2020-03-04,-0.508547789556897,-4.974560409931755
2020-03-05,7.077021849925488,8.31744201051956
2020-03-06,26.00352906221627,15.240819037131052
2020-03-07,5.76380983638616,-2.013968794621831
2020-03-08,83.7454291109716,73.9410151224313
2020-03-09,14.154043699850977,8.527270348303663
2020-03-10,8.17619317988549,2.283200588764902
2020-03-11,-1.144232526503018,-5.596380461173224
2020-03-12,-7.192893498178958,-14.052749909951665
2020-03-13,-11.753730319711382,-28.269338385022422
2020-03-14,-21.837782374659216,-49.678535680847745
2020-03-15,56.49467050158256,8.952675745454991
2020-03-16,-17.787102671131656,-34.110039513478505
2020-03-17,25.69695199287896,-2.9356804884497105
2020-03-18,-13.733204310708166,-38.24241221148229
2020-03-19,28.887445640969304,-8.030005931363258
2020-03-20,3.224289545497604,-33.6779272744802
2020-03-21,10.066349442020222,-38.937049402776694
2020-03-22,47.41162074126887,-8.289656522867785
2020-03-23,8.893149003453837,-23.68760728327095
2020-03-24,16.22283541970981,-16.30816501106479
2020-03-25,34.07833454987997,-7.151409649408825
2020-03-26,36.659697380415615,-6.309221937480856
2020-03-27,34.84517955533523,-15.48705594494162
2020-03-28,46.84111380646533,-27.5248789400076
2020-03-29,-18.166904184851365,-50.06753250797261
2020-03-30,-11.14781815905261,-38.5317645311663
2020-03-31,4.9317870287883245,-26.744969045230164
2020-04-01,-8.26551090874754,-34.51149190403348
2020-04-02,-21.926295439297284,-47.894515749550955
2020-04-03,-16.330660425723455,-46.952683530182135
2020-04-04,-0.7306351153760482,-42.293344687058465
2020-04-05,71.56039876720563,20.225918769965205
2020-04-06,38.579626218837696,0.6314012538800128
2020-04-07,61.128731767497385,16.9606449107496
2020-04-08,49.59226078826126,8.083660666139101
2020-04-09,2.088103661234411,-37.569811786256544
2020-04-10,36.61383151964862,-29.498606683547546
2020-04-11,22.00032454790367,-32.00025869247124
