date,CL,Antofagasta,Araucania,Arica y Parinacota,Atacama,Aysén,Bio Bio,Coquimbo,Los Lagos,Los Ríos,Magallanes and Chilean Antarctica,Maule,Ñuble,O'Higgins,Santiago Metropolitan Region,Tarapacá,Valparaíso
2020-02-15,4,-1,12,-3,4,6,7,17,13,20,-1,9,13,4,-7,-1,9
2020-02-16,5,-1,16,2,2,3,7,17,13,21,-1,11,14,6,-3,-1,10
2020-02-17,6,0,19,-3,5,9,6,18,16,22,-5,13,19,7,-3,-1,13
2020-02-18,5,1,14,-2,4,5,6,19,12,20,-6,10,14,7,-4,0,13
2020-02-19,8,-3,17,1,5,7,8,20,16,20,-3,11,17,8,-4,2,14
2020-02-20,5,-1,15,-4,3,7,6,18,14,19,0,11,13,9,-2,0,12
2020-02-21,5,-2,11,-4,3,10,6,16,13,22,2,10,12,7,-3,1,10
2020-02-22,5,3,7,-2,1,6,6,13,11,18,1,10,7,5,-3,1,6
2020-02-23,4,3,7,0,2,6,4,13,5,15,-2,8,5,6,1,2,6
2020-02-24,3,-1,7,-3,0,9,5,8,7,10,0,8,9,2,-1,-2,7
2020-02-25,3,1,2,-2,3,6,3,7,5,9,-4,8,3,2,2,0,5
2020-02-26,3,-3,1,-3,-1,3,2,5,2,6,-5,5,3,1,0,0,3
2020-02-27,3,2,0,-2,-1,6,2,4,2,6,-1,5,0,3,6,-3,4
2020-02-28,9,10,3,1,-3,11,5,9,8,13,-4,5,3,6,12,3,5
2020-02-29,12,14,-1,0,-1,8,10,8,10,21,2,9,0,6,18,4,1
2020-03-01,15,21,3,-1,4,10,9,8,9,13,4,11,2,7,29,10,0
2020-03-02,9,13,-1,-3,-6,11,4,3,8,1,-2,7,-4,3,20,3,0
2020-03-03,10,14,-2,9,1,7,7,1,7,3,-1,7,-2,5,21,7,-2
2020-03-04,9,8,-4,13,3,9,8,0,4,-3,3,2,1,6,15,8,-3
2020-03-05,4,8,-5,8,-1,6,4,-4,0,-8,4,1,-4,7,14,-7,-4
2020-03-06,5,7,-5,7,-1,5,2,-3,1,-2,1,0,-4,5,12,-2,-7
2020-03-07,7,9,-5,9,3,7,8,-7,4,-3,6,2,-5,9,15,2,-9
2020-03-08,7,26,-4,9,6,2,8,-8,1,-8,11,4,-2,9,16,6,-11
2020-03-09,2,9,-8,8,-3,3,3,-10,0,-10,1,-3,-6,-1,12,-3,-8
2020-03-10,1,9,-11,7,-3,-1,0,-10,-4,-11,1,-4,-9,-3,11,-2,-9
2020-03-11,0,2,-11,3,-6,-2,-1,-11,-4,-11,-4,-4,-9,-3,6,-5,-15
2020-03-12,-1,1,-11,3,-5,-7,-4,-12,-9,-14,-4,-5,-12,-3,10,-4,-12
2020-03-13,5,5,-8,9,0,-1,1,-6,-1,-3,5,-1,-6,1,15,0,-10
2020-03-14,9,9,-7,10,7,4,10,-5,2,-5,9,3,-4,3,19,1,-8
2020-03-15,17,22,3,16,12,9,22,0,4,0,16,11,2,10,30,13,0
2020-03-16,16,20,2,22,8,11,14,-2,5,0,9,9,3,9,31,13,4
2020-03-17,1,6,-15,11,-7,-11,-2,-14,-9,-12,-5,-2,-13,-1,14,-1,-10
2020-03-18,2,3,-12,17,-13,-10,-3,-15,-10,-14,-12,-3,-16,3,12,2,-10
2020-03-19,-17,-14,-30,-11,-24,-21,-21,-33,-25,-30,-25,-20,-34,-14,-6,-14,-26
2020-03-20,-21,-36,-34,-14,-29,-22,-25,-38,-26,-29,-28,-25,-39,-23,-11,-18,-31
2020-03-21,-31,-37,-46,-22,-34,-32,-33,-48,-36,-41,-39,-34,-49,-34,-21,-22,-45
2020-03-22,-45,-44,-59,-36,-44,-46,-49,-57,-53,-56,-47,-47,-54,-47,-36,-35,-56
2020-03-23,-38,-38,-47,-26,-41,-34,-40,-50,-45,-49,-39,-36,-47,-36,-30,-37,-42
2020-03-24,-38,-38,-52,-27,-40,-34,-42,-51,-41,-47,-41,-37,-53,-36,-30,-37,-44
2020-03-25,-36,-39,-51,-28,-36,-35,-42,-50,-41,-46,-43,-38,-52,-34,-28,-39,-45
2020-03-26,-32,-38,-48,-29,-36,-35,-42,-49,-41,-47,-44,-37,-50,-32,-14,-38,-43
2020-03-27,-41,-38,-41,-27,-36,-28,-43,-50,-42,-43,-41,-38,-52,-36,-40,-38,-47
2020-03-28,-41,-37,-50,-28,-32,-34,-43,-51,-41,-47,-42,-39,-54,-39,-38,-37,-52
2020-03-29,-55,-53,-77,-41,-51,-53,-59,-64,-54,-64,-70,-53,-56,-51,-48,-55,-60
2020-03-30,-39,-34,-61,-26,-33,-28,-38,-47,-35,-45,-38,-35,-35,-34,-35,-37,-41
2020-03-31,-34,-30,-56,-22,-23,-28,-32,-43,-46,-42,-25,-29,-66,-27,-27,-30,-36
2020-04-01,-32,-32,-54,-18,-29,-31,-34,-41,-43,-40,-26,-29,-61,-26,-27,-29,-36
2020-04-02,-36,-32,-56,-22,-29,-32,-37,-44,-45,-43,-71,-31,-63,-30,-29,-33,-38
2020-04-03,-36,-33,-54,-23,-31,-32,-37,-45,-44,-39,-65,-32,-60,-31,-29,-34,-42
2020-04-04,-38,-32,-59,-25,-27,-33,-37,-47,-43,-43,-70,-34,-63,-34,-30,-35,-49
2020-04-05,-49,-47,-71,-40,-47,-51,-52,-60,-60,-63,-83,-46,-73,-45,-39,-47,-56
2020-04-06,-37,-29,-59,-28,-30,-26,-31,-44,-43,-43,-65,-31,-62,-30,-32,-32,-39
2020-04-07,-35,-31,-53,-26,-30,-24,-39,-42,-42,-43,-58,-31,-54,-27,-27,-32,-38
2020-04-08,-34,-33,-54,-26,-31,-22,-38,-42,-42,-44,-63,-29,-55,-26,-29,-31,-39
2020-04-09,-29,-26,-48,-26,-28,-8,-32,-39,-34,-38,-55,-21,-53,-17,-21,-25,-33
2020-04-10,-56,-47,-70,-47,-47,-52,-62,-61,-61,-58,-77,-58,-72,-57,-49,-43,-62
2020-04-11,-51,-47,-70,-41,-43,-44,-55,-59,-55,-56,-75,-52,-73,-49,-43,-45,-58
