date,total,Andalusia,Aragon,Asturias,Balearic Islands,Basque Country,Canary Islands,Cantabria,Castile and León,Castile-La Mancha,Catalonia,Ceuta,Community of Madrid,Extremadura,Galicia,La Rioja,Melilla,Navarre,Region of Murcia,Valencian Community
2020-02-29,18.578223368609507,29.73540863750189,28.08917734338698,0.614357786708926,37.96683329236537,-14.973504231330944,27.775975398596408,-5.239941754125315,11.805408764130798,25.223068738948186,15.331037892832793,38.754297470550455,-5.966766958744894,21.400254672462918,-21.0403626801338,15.855480046368,6.488134676047049,15.393048495794682,52.73885738173316,48.398742531202224
2020-03-01,5.840554867554799,10.001614858215083,10.624978456007177,-10.864482725765471,38.152471462053576,-6.958676858935072,6.114323737119371,-3.2638173341340484,8.467733716598763,11.43188568619556,14.674309807730605,-3.8927457208933767,-18.225185874470228,-3.2181842897505812,-29.80342079897779,10.498717524352054,-2.4533259243802905,4.724627445503884,18.43318527176142,16.022732865607757
2020-03-02,-6.915440067600014,-2.437344239903198,0.817379573500642,-32.5408981333322,-0.8918287327288991,-40.221171464854244,-4.440990820426664,-34.210635276704714,1.3947196193417548,-10.7653793573767,-9.046862697265505,-13.841298867015329,-13.102736566007097,2.6508331582638798,-1.0991019329692595,-1.9265549421285417,-0.8042583608849988,-4.253216530581113,-16.397117736791525,-12.6673275782493
2020-03-03,-2.5919952229407586,4.326262139663536,2.035322937991657,-5.104042451942585,6.47819798344919,-19.595964622365013,-0.7903458239742367,-10.321678496460938,3.1166433569927516,-8.650113975177335,-2.171439636224983,-9.615627240280002,-6.226483284768001,3.2066839289772022,-9.6423396652194,-8.344888554705113,2.3027085122577695,-9.231239295465391,9.48659498478422,6.03819210359695
2020-03-04,9.215009146421725,14.389981025943577,32.94183081132763,33.68744454709691,34.24163022743661,3.4173532537457696,-2.3623523529779384,21.44397023440305,14.708742061694812,4.647217789072748,5.016940356865703,-2.693064439497384,9.560627558695641,14.149277204847403,-8.475083813262527,16.943902076888605,3.928604166195751,10.943809170975907,16.158823848791272,18.117458961381367
2020-03-05,1.556153295543591,2.023635868332016,57.294962104140915,-14.843954236873833,21.441208598987597,-30.222818469361844,-9.575826143218988,-16.498385684031895,-1.1428014043603028,-3.170486690054405,2.1743284694439073,-15.073507392085537,-5.26045355550124,2.160151098599705,-3.2397109377914854,6.525737372416489,NA,-3.9300179722770627,13.625029563885368,11.587294490336667
2020-03-06,0.2685220996406504,12.185765752930374,-9.725382925405885,-18.108745150068856,0.49471615324124546,-36.20222565294063,-10.109478451714415,-30.518226183358586,2.056849487070781,2.517484107405536,-2.5614321207798025,-12.171885919618195,-3.2507667080087823,12.893821153753521,-3.850216465624192,5.48430448682585,-13.538188158858889,-17.803650760541757,2.8441528567771996,5.307920620666701
2020-03-07,16.499368300471655,23.810684360104897,3.593602124899314,12.51073228486264,16.740926694304815,-17.421197914483496,-1.8682655863420297,1.746966857459529,20.287620539061827,21.889572541556028,14.653125030791823,18.981560051178544,17.351158976562207,33.546552375946796,0.8783216320234695,25.369343451473654,14.274861783535064,-0.8940551834742223,19.32102217705268,25.826627523946346
2020-03-08,19.006902566255413,22.095657738926445,23.25468786596856,-5.006586006772586,33.4014739749302,-7.910077230478468,-3.2598146439376947,-20.689380269078875,26.018036026973245,37.030165658009935,23.660507007398692,23.356474325360264,24.20153646148166,27.49832097254718,-3.520005928557445,32.99692832439074,21.46394672369077,38.582066949734106,21.2898293404096,22.636494203777364
2020-03-09,11.783100324884089,9.931867257465207,12.254957605502609,13.959202587585395,24.473617669822232,-28.303680548177844,-2.482979004988658,3.18902951037892,27.72451650240316,13.610811586053456,3.429045030863487,-7.381770946771516,19.06662843627203,17.14895463990378,27.360438773295026,12.933522401437354,11.264444533547756,NA,1.3211858709691384,12.6067919158485
2020-03-10,12.135286580199125,12.837380324319627,30.28224019907174,23.0560929254636,23.115779717309024,13.984624451211596,1.4610300091538395,34.15214736325519,32.09689011874789,17.476741203862417,2.005813198339973,-2.6222698503240958,15.33093013797656,27.218478860394956,25.783299493060532,15.95329418479364,16.121856074499053,20.569006472421382,13.505882619885242,15.389510619224817
2020-03-11,16.45315381448009,12.248825227580948,34.9637697563029,43.572585544438354,43.623056081164215,29.977760797903695,-5.438814485859339,47.882424750094074,42.301990835218746,19.696178342230287,7.539854701393177,NA,24.719052387874566,18.52708120591371,17.985915212266388,34.39317720230969,15.714416664783004,30.769841442798928,12.863065639755531,18.932288194966695
2020-03-12,1.0908212296974789,1.9204476370856243,13.565632921607147,-22.355744157722317,25.60084325689803,-24.126168007673662,-10.719366804280613,-11.048462732440258,14.410494060050103,8.636610229007346,-2.8272047769208646,-8.374808562472504,-1.1193677815313259,10.951218546450235,6.007144014429368,3.012100086224863,9.830682629689147,NA,-1.7679869109696107,4.731390502563874
